,pvalues,tstats
I(NEE;VPD)13,0.04643685940505685,2.060470307616202
I(NEE;T)13,0.14582426585854882,1.4857217878302396
I(NEE;u)13,0.2439329411588437,1.1840790447877994
I(NEE;R)13,0.31202842062717756,-1.0249779032470558
I(NEE;C13),0.013019143769368887,-2.6092016449852147
I(LH;VPD)13,0.48233155582499543,0.7097122758883724
I(LH;T)13,0.38465659914817973,0.879780892701032
I(LH;u)13,0.8309105313513501,-0.2150484277601622
I(LH;R)13,0.48968481085605475,-0.6977671471156878
I(LH;C13),0.06194146568578027,-1.9250148273822059
U(NEE;C13),0.030499114313733998,-2.24976974495801
S(NEE;C13),0.0392834332697569,2.13689939570474
R(NEE;C13),0.009600189153187897,-2.731647003068398
U+S(NEE;C13),0.09245316500883284,-1.727306233319764
U(LH;C13),0.1513617951596384,-1.4650203070409695
S(LH;C13),0.030447860731081938,2.2505093761112134
R(LH;C13),0.022440734561294414,-2.3826106633942215
U+S(LH;C13),0.46987874646575,-0.7301793962747737
I(NEE;VPD)2,0.4520346602457841,0.7697113022864157
I(NEE;T)2,0.34065893943349246,-0.9803523567574411
I(NEE;u)2,0.06444562290782287,-1.9773827099100099
I(NEE;R)2,0.9410291532668645,0.07507789714688583
I(NEE;H2),0.8026762557604337,-0.2538236109885038
I(LH;VPD)2,0.06038996104982838,2.0116035678673945
I(LH;T)2,0.14723740235334865,-1.5186150322631442
I(LH;u)2,0.5298606226728412,-0.641330100761306
I(LH;R)2,0.13560779906463066,1.5667050110292824
I(LH;H2),0.5216149816896336,-0.6543918133422391
U(NEE;H2),0.8799426185417702,-0.1533309867572596
S(NEE;H2),0.5781617164900141,0.5669445130587979
R(NEE;H2),0.6541323919091189,-0.45604096839284547
U+S(NEE;H2),0.9891427279625253,0.013809510633464429
U(LH;H2),0.5056299477044798,-0.6800485822703178
S(LH;H2),0.35872028202419926,0.9433425186191543
R(LH;H2),0.7817442283684436,-0.28147414867934306
U+S(LH;H2),0.7627801263045471,-0.3067218829658077
I(NEE;VPD)dx,0.38549523819877396,0.8938968936195546
I(NEE;T)dx,0.9772240647760918,-0.029029136854777846
I(NEE;u)dx,0.5112620517986061,-0.6728729130641402
I(NEE;R)dx,0.7578810148425165,0.3139525104137146
I(NEE;dEx),0.47964178657685785,0.7249467354713773
I(LH;VPD)dx,0.5176355939959436,0.6626058809930346
I(LH;T)dx,0.2437450164950888,-1.2133832452427875
I(LH;u)dx,0.766092437322762,-0.3029452167052951
I(LH;R)dx,0.47535349949698713,-0.7321643900905741
I(LH;dEx),0.3410824610419564,0.9832428254875437
U(NEE;dEx),0.40837706637346327,0.850577381594243
S(NEE;dEx),0.4995910769954721,-0.6918667897909847
R(NEE;dEx),0.8862256877281437,0.145535594875205
U+S(NEE;dEx),0.5299977042949376,0.6428950739415713
U(LH;dEx),0.20697463064678384,1.318929308056776
S(LH;dEx),0.5920644632841975,0.5475368389729898
R(LH;dEx),0.7846244941291103,0.278243245170997
U+S(LH;dEx),0.09317660149634814,1.7928851025818442
