HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100518,"Bartlett Experimental Forest 2D Wind L1","2010-01-01T00:00:00Z","2015-08-18T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,0.56,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.010",CFGLOC100518,"Bartlett Experimental Forest 2D Wind L1","2015-08-19T00:00:00Z","2017-04-17T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,0.56,0.00,0.00,0.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.010",CFGLOC100518,"Bartlett Experimental Forest 2D Wind L1","2017-04-18T00:00:00Z",,TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,0.56,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.020",CFGLOC100521,"Bartlett Experimental Forest 2D Wind L2","2010-01-01T00:00:00Z","2015-08-18T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,2.48,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.020",CFGLOC100521,"Bartlett Experimental Forest 2D Wind L2","2015-08-19T00:00:00Z","2017-04-17T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,2.48,0.00,0.00,0.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.020",CFGLOC100521,"Bartlett Experimental Forest 2D Wind L2","2017-04-18T00:00:00Z",,TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,2.48,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.030",CFGLOC100524,"Bartlett Experimental Forest 2D Wind L3","2010-01-01T00:00:00Z","2015-08-18T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.50,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.030",CFGLOC100524,"Bartlett Experimental Forest 2D Wind L3","2015-08-19T00:00:00Z","2017-04-17T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.50,0.00,0.00,0.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.030",CFGLOC100524,"Bartlett Experimental Forest 2D Wind L3","2017-04-18T00:00:00Z","2019-08-26T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.50,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.030",CFGLOC100524,"Bartlett Experimental Forest 2D Wind L3","2019-08-27T00:00:00Z","2020-03-16T16:29:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.50,0.00,0.00,90.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.030",CFGLOC100524,"Bartlett Experimental Forest 2D Wind L3","2020-03-16T16:30:00Z",,TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.50,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.040",CFGLOC100528,"Bartlett Experimental Forest 2D Wind L4","2010-01-01T00:00:00Z","2015-08-18T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,19.20,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.040",CFGLOC100528,"Bartlett Experimental Forest 2D Wind L4","2015-08-19T00:00:00Z","2017-04-17T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,19.20,0.00,0.00,0.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.040",CFGLOC100528,"Bartlett Experimental Forest 2D Wind L4","2017-04-18T00:00:00Z",,TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,19.20,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.050",CFGLOC100531,"Bartlett Experimental Forest 2D Wind L5","2010-01-01T00:00:00Z","2015-08-18T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,25.48,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.050",CFGLOC100531,"Bartlett Experimental Forest 2D Wind L5","2015-08-19T00:00:00Z","2017-04-17T23:59:59Z",TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,25.48,0.00,0.00,0.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
"000.050",CFGLOC100531,"Bartlett Experimental Forest 2D Wind L5","2017-04-18T00:00:00Z",,TOWER100501,"Bartlett Experimental Forest Tower","2010-01-01T00:00:00Z",,2.36,6.22,25.48,0.00,0.00,180.00,44.063889,-71.287375,274.05,-2.36,-6.22,270.00,180.00
