startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",2.68,0.25,8.23,2.60,1800.00,0.29,0.04,0,339.39,708.04,1800.00,4.64,0.63,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",2.34,0.06,8.74,1.79,1800.00,0.31,0.03,0,335.81,857.64,1800.00,4.68,0.69,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",1.89,0.25,4.70,0.65,1796.00,0.10,0.02,0,331.45,443.13,1796.00,4.58,0.50,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",1.50,0.17,3.71,0.31,1800.00,0.08,0.01,0,341.53,383.30,1800.00,4.57,0.46,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",1.20,0.14,3.19,0.22,1800.00,0.07,0.01,0,349.41,553.37,1800.00,4.61,0.55,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",1.05,0.22,2.27,0.12,1800.00,0.05,0.01,0,321.32,252.62,1800.00,4.53,0.37,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",1.52,0.51,3.39,0.16,1800.00,0.07,0.01,0,283.55,122.44,1800.00,4.50,0.26,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",1.21,0.22,3.11,0.28,1798.00,0.07,0.01,0,282.73,472.45,1798.00,4.59,0.51,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.40,0.01,1.23,0.07,1800.00,0.03,0.01,0,152.34,9055.27,1800.00,6.33,2.24,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.49,0.04,1.03,0.05,1800.00,0.03,0.01,0,17.34,3131.42,1800.00,5.19,1.32,1
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.84,0.03,1.47,0.09,1800.00,0.03,0.01,0,294.53,276.51,1800.00,4.54,0.39,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",1.23,0.32,2.42,0.10,1800.00,0.05,0.01,0,275.37,90.03,1800.00,4.49,0.22,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",1.31,0.22,2.98,0.20,1797.00,0.06,0.01,0,308.35,227.26,1797.00,4.53,0.36,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",1.38,0.28,2.72,0.22,1800.00,0.06,0.01,0,289.80,277.47,1800.00,4.54,0.39,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",1.19,0.50,2.21,0.09,1800.00,0.05,0.01,0,271.11,135.86,1800.00,4.51,0.27,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",1.38,0.47,2.44,0.13,1800.00,0.05,0.01,0,290.42,131.62,1800.00,4.50,0.27,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",1.59,0.59,3.20,0.17,1800.00,0.07,0.01,0,287.05,165.87,1800.00,4.51,0.30,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",1.56,0.53,2.78,0.21,1797.00,0.06,0.01,0,284.89,237.85,1797.00,4.53,0.36,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",1.57,0.32,3.32,0.26,1800.00,0.07,0.01,0,286.38,224.46,1800.00,4.53,0.35,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",1.56,0.50,2.99,0.19,1800.00,0.06,0.01,0,316.50,315.41,1800.00,4.55,0.42,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",2.04,0.12,4.71,0.68,1800.00,0.10,0.02,0,300.80,665.60,1800.00,4.63,0.61,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",1.91,0.19,4.72,0.73,1797.00,0.10,0.02,0,308.79,731.93,1797.00,4.65,0.64,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",2.03,0.03,5.04,0.87,1800.00,0.11,0.02,0,309.38,897.97,1800.00,4.69,0.71,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",1.64,0.02,5.45,1.07,1800.00,0.13,0.02,0,321.27,1525.80,1800.00,4.84,0.92,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",2.36,0.02,5.74,1.55,1800.00,0.15,0.03,0,324.89,1213.41,1800.00,4.76,0.82,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",2.61,0.10,7.92,1.99,1800.00,0.27,0.03,0,326.64,1035.79,1800.00,4.72,0.76,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",2.72,0.04,6.71,1.72,1796.00,0.20,0.03,0,312.71,1108.68,1796.00,4.74,0.79,0
