HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100472,"Harvard Forest 2D Wind L1","2014-10-01T00:00:00Z","2017-04-09T23:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.18,0.00,0.00,90.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
"000.010",CFGLOC100472,"Harvard Forest 2D Wind L1","2017-04-10T00:00:00Z",,TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.18,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
"000.020",CFGLOC100475,"Harvard Forest 2D Wind L2","2014-10-01T00:00:00Z","2017-04-13T14:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,5.26,0.00,0.00,90.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
"000.020",CFGLOC100475,"Harvard Forest 2D Wind L2","2017-04-13T15:00:00Z",,TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,5.26,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
"000.030",CFGLOC100478,"Harvard Forest 2D Wind L3","2014-10-01T00:00:00Z","2017-04-10T17:29:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,16.23,0.00,0.00,90.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.030",CFGLOC100478,"Harvard Forest 2D Wind L3","2017-04-10T17:30:00Z","2017-04-17T17:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,16.23,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.030",CFGLOC100478,"Harvard Forest 2D Wind L3","2017-04-17T18:00:00Z","2019-07-01T15:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,16.23,0.00,0.00,282.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.030",CFGLOC100478,"Harvard Forest 2D Wind L3","2019-07-01T16:00:00Z",,TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,16.23,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.040",CFGLOC100481,"Harvard Forest 2D Wind L4","2014-10-01T00:00:00Z","2017-03-31T23:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,22.49,0.00,0.00,90.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.040",CFGLOC100481,"Harvard Forest 2D Wind L4","2017-04-01T00:00:00Z","2017-12-31T23:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,22.49,0.00,0.00,332.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.040",CFGLOC100481,"Harvard Forest 2D Wind L4","2018-01-01T00:00:00Z","2019-06-15T23:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,22.49,0.00,0.00,242.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.040",CFGLOC100481,"Harvard Forest 2D Wind L4","2019-06-16T00:00:00Z",,TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.22,2.36,22.49,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.22,-2.36,270.00,180.00
"000.050",CFGLOC100484,"Harvard Forest 2D Wind L5","2014-10-01T00:00:00Z","2017-04-10T15:59:59Z",TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,29.58,0.00,0.00,90.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
"000.050",CFGLOC100484,"Harvard Forest 2D Wind L5","2017-04-10T16:00:00Z",,TOWER100450,"Harvard Forest Tower","2010-01-01T00:00:00Z",,6.23,2.36,29.58,0.00,0.00,270.00,42.536910,-72.172650,348.13,-6.23,-2.36,270.00,180.00
