startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.33,0.00,0.91,0.03,1800.00,0.02,0.00,0,324.47,2584.57,1800.00,5.07,1.20,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.30,0.00,1.28,0.03,1797.00,0.03,0.00,0,313.76,3780.36,1797.00,5.33,1.45,1
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.28,0.00,0.92,0.02,1800.00,0.02,0.00,0,314.70,4433.14,1800.00,5.46,1.57,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.34,0.00,0.87,0.03,1800.00,0.02,0.00,0,306.51,2775.57,1800.00,5.12,1.24,1
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.36,0.00,1.16,0.03,1800.00,0.03,0.00,0,323.13,1995.17,1800.00,4.94,1.05,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.34,0.00,1.35,0.04,1800.00,0.03,0.00,0,307.96,4482.33,1800.00,5.47,1.58,1
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.23,0.00,1.23,0.02,1800.00,0.03,0.00,0,73.42,7802.42,1800.00,6.11,2.08,1
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.25,0.00,0.86,0.02,1800.00,0.02,0.00,0,303.17,5283.34,1800.00,5.63,1.71,1
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.21,0.00,0.60,0.01,1797.00,0.02,0.00,0,280.35,6042.70,1797.00,5.78,1.83,1
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.18,0.00,0.54,0.01,1800.00,0.02,0.00,0,184.20,5830.73,1800.00,5.74,1.80,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.17,0.00,0.42,0.01,1800.00,0.02,0.00,0,245.70,4034.25,1800.00,5.38,1.50,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.17,0.00,0.49,0.01,1800.00,0.02,0.00,0,226.13,6874.88,1800.00,5.94,1.95,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.19,0.00,0.62,0.01,1800.00,0.02,0.00,0,239.00,7116.39,1800.00,5.98,1.99,1
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.19,0.00,0.59,0.01,1800.00,0.02,0.00,0,274.06,6808.72,1800.00,5.93,1.94,1
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.15,0.00,0.45,0.01,1800.00,0.02,0.00,0,273.88,8219.61,1800.00,6.19,2.14,1
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.17,0.00,0.50,0.01,1797.00,0.02,0.00,0,243.80,5770.94,1797.00,5.73,1.79,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.17,0.00,0.46,0.01,1800.00,0.02,0.00,0,251.15,6726.50,1800.00,5.91,1.93,1
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.12,0.00,0.49,0.01,1800.00,0.02,0.00,0,282.41,7585.70,1800.00,6.07,2.05,1
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.15,0.00,0.52,0.01,1800.00,0.02,0.00,0,251.63,6594.33,1800.00,5.89,1.91,1
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.10,0.00,0.27,0.00,1800.00,0.02,0.00,0,269.21,5562.08,1800.00,5.69,1.76,1
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.10,0.00,0.28,0.00,1800.00,0.02,0.00,0,202.80,6323.04,1800.00,5.84,1.87,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.10,0.00,0.28,0.00,1800.00,0.02,0.00,0,239.23,4028.63,1800.00,5.38,1.50,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.12,0.00,0.29,0.00,1795.00,0.02,0.00,0,261.65,1609.43,1795.00,4.86,0.95,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.12,0.00,0.35,0.00,1800.00,0.02,0.00,0,272.59,3112.72,1800.00,5.19,1.32,1
