startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.14,0.00,0.57,0.01,1796.00,0.02,0.00,0,242.63,6755.10,1796.00,5.92,1.94,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.22,0.00,0.97,0.03,1800.00,0.02,0.00,0,147.14,4396.70,1800.00,5.46,1.56,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.32,0.00,1.08,0.05,1800.00,0.03,0.01,0,147.39,1875.36,1800.00,4.92,1.02,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.32,0.00,0.98,0.04,1800.00,0.02,0.00,0,148.56,2977.50,1800.00,5.16,1.29,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.23,0.00,0.57,0.02,1800.00,0.02,0.00,0,174.02,4683.50,1800.00,5.51,1.61,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.28,0.00,0.62,0.02,1800.00,0.02,0.00,0,271.30,1525.80,1800.00,4.84,0.92,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.22,0.00,0.62,0.02,1800.00,0.02,0.00,0,215.86,5955.55,1800.00,5.76,1.82,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.20,0.00,0.51,0.01,1800.00,0.02,0.00,0,283.11,1955.26,1800.00,4.93,1.04,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.20,0.01,0.53,0.01,1796.00,0.02,0.00,0,245.49,6129.21,1796.00,5.80,1.85,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.18,0.00,0.50,0.01,1800.00,0.02,0.00,0,202.70,5815.71,1800.00,5.74,1.80,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.16,0.00,0.36,0.00,1800.00,0.02,0.00,0,238.82,3667.01,1800.00,5.31,1.43,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.23,0.00,0.52,0.01,1800.00,0.02,0.00,0,267.04,2449.68,1800.00,5.04,1.17,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.22,0.00,0.55,0.01,1800.00,0.02,0.00,0,267.24,2676.04,1800.00,5.09,1.22,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.17,0.00,0.36,0.00,1800.00,0.02,0.00,0,277.75,702.66,1800.00,4.64,0.62,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.19,0.00,0.53,0.01,1800.00,0.02,0.00,0,263.29,5860.90,1800.00,5.75,1.80,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.28,0.03,0.73,0.01,1800.00,0.02,0.00,0,291.34,1204.96,1800.00,4.76,0.82,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.21,0.00,0.51,0.01,1799.00,0.02,0.00,0,270.09,2612.62,1799.00,5.08,1.21,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.28,0.00,0.82,0.02,1800.00,0.02,0.00,0,268.67,2274.67,1800.00,5.01,1.12,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.33,0.01,0.67,0.02,1800.00,0.02,0.00,0,253.62,4433.95,1800.00,5.46,1.57,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.37,0.00,0.81,0.03,1800.00,0.02,0.00,0,287.37,1767.91,1800.00,4.89,0.99,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.36,0.00,0.77,0.02,1800.00,0.02,0.00,0,295.86,827.13,1800.00,4.67,0.68,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.32,0.01,0.60,0.01,1800.00,0.02,0.00,0,313.02,440.60,1800.00,4.58,0.49,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.24,0.00,0.51,0.01,1800.00,0.02,0.00,0,323.72,306.84,1800.00,4.55,0.41,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.26,0.03,1.06,0.03,1800.00,0.03,0.00,0,356.74,2936.90,1800.00,5.15,1.28,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.34,0.00,1.28,0.06,1800.00,0.03,0.01,0,76.71,4942.83,1800.00,5.57,1.66,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.46,0.00,1.88,0.08,1798.00,0.04,0.01,0,261.51,7035.94,1798.00,5.97,1.98,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.52,0.01,1.51,0.08,1800.00,0.04,0.01,0,120.63,5318.65,1800.00,5.64,1.72,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.58,0.00,1.74,0.08,1800.00,0.04,0.01,0,186.47,6938.49,1800.00,5.95,1.96,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.76,0.00,2.44,0.14,1800.00,0.05,0.01,0,174.45,4318.13,1800.00,5.44,1.55,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.77,0.01,2.38,0.17,1800.00,0.05,0.01,0,137.02,4004.75,1800.00,5.38,1.49,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.68,0.02,2.05,0.13,1800.00,0.05,0.01,0,167.09,7992.83,1800.00,6.15,2.11,0
