startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.30,0.00,1.00,0.02,1800.00,0.02,0.00,0,162.60,4014.01,1800.00,5.38,1.49,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.26,0.00,1.23,0.02,1800.00,0.03,0.00,0,169.72,3364.13,1800.00,5.24,1.37,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.28,0.00,1.28,0.03,1800.00,0.03,0.00,0,158.13,3948.95,1800.00,5.36,1.48,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.23,0.00,0.78,0.02,1800.00,0.02,0.00,0,174.03,4598.10,1800.00,5.50,1.60,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.18,0.00,0.78,0.01,1795.00,0.02,0.00,0,167.04,6178.28,1795.00,5.81,1.86,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.16,0.00,0.53,0.01,1800.00,0.02,0.00,0,174.10,7484.02,1800.00,6.05,2.04,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.22,0.00,0.94,0.02,1800.00,0.02,0.00,0,329.59,7579.29,1800.00,6.07,2.05,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.22,0.01,0.80,0.02,1800.00,0.02,0.00,0,156.04,2661.28,1800.00,5.09,1.22,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.36,0.04,0.86,0.02,1800.00,0.02,0.00,0,159.44,314.94,1800.00,4.55,0.42,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.25,0.00,0.81,0.02,1800.00,0.02,0.00,0,252.42,6971.35,1800.00,5.96,1.97,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.18,0.00,0.76,0.02,1800.00,0.02,0.00,0,307.26,5663.42,1800.00,5.71,1.77,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.18,0.00,0.47,0.01,1800.00,0.02,0.00,0,149.88,2365.44,1800.00,5.03,1.15,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.16,0.00,0.42,0.01,1794.00,0.02,0.00,0,154.39,2889.19,1794.00,5.14,1.27,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.19,0.00,0.60,0.01,1800.00,0.02,0.00,0,161.41,933.03,1800.00,4.70,0.72,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.16,0.00,0.48,0.01,1800.00,0.02,0.00,0,158.79,1014.32,1800.00,4.72,0.75,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.24,0.01,0.52,0.01,1800.00,0.02,0.00,0,173.06,193.49,1800.00,4.52,0.33,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.29,0.12,0.57,0.00,1800.00,0.02,0.00,0,173.19,73.48,1800.00,4.49,0.20,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.30,0.10,0.67,0.01,1800.00,0.02,0.00,0,168.23,147.97,1800.00,4.51,0.29,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.28,0.12,0.55,0.01,1800.00,0.02,0.00,0,168.74,119.82,1800.00,4.50,0.26,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.33,0.14,0.65,0.01,1800.00,0.02,0.00,0,156.49,163.65,1800.00,4.51,0.30,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.30,0.15,0.59,0.00,1800.00,0.02,0.00,0,161.18,102.30,1800.00,4.50,0.24,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.24,0.09,0.49,0.00,1795.00,0.02,0.00,0,171.40,104.72,1795.00,4.50,0.24,0
