startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.38,0.26,0.54,0.00,120.00,0.02,0.01,0,296.97,156.81,120.00,5.02,1.14,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.34,0.24,0.47,0.00,120.00,0.02,0.01,0,295.99,217.55,120.00,5.22,1.35,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.41,0.30,0.55,0.00,120.00,0.02,0.01,0,286.62,73.66,120.00,4.74,0.78,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.44,0.23,0.62,0.01,120.00,0.02,0.01,0,303.36,66.66,120.00,4.71,0.75,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.49,0.30,0.70,0.01,120.00,0.02,0.01,0,308.68,64.38,120.00,4.71,0.73,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.52,0.32,0.75,0.01,120.00,0.03,0.01,0,309.81,102.27,120.00,4.84,0.92,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.58,0.34,0.83,0.01,120.00,0.03,0.01,0,315.56,62.09,120.00,4.70,0.72,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.57,0.30,0.92,0.01,120.00,0.03,0.01,0,308.85,104.04,120.00,4.84,0.93,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.47,0.27,0.72,0.01,120.00,0.03,0.01,0,301.23,266.68,120.00,5.37,1.49,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.58,0.33,1.02,0.03,120.00,0.04,0.01,0,318.86,60.43,120.00,4.69,0.71,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.47,0.23,0.73,0.01,120.00,0.03,0.01,0,312.72,82.38,120.00,4.77,0.83,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.53,0.41,0.80,0.00,120.00,0.02,0.01,0,311.98,59.64,120.00,4.69,0.70,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.46,0.31,0.62,0.00,120.00,0.02,0.01,0,303.83,64.27,120.00,4.71,0.73,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.48,0.28,0.76,0.01,120.00,0.03,0.01,0,310.27,116.98,120.00,4.89,0.99,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.43,0.14,0.71,0.02,120.00,0.03,0.01,0,294.60,378.70,120.00,5.71,1.78,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.48,0.28,0.65,0.01,120.00,0.02,0.01,0,288.62,88.65,120.00,4.79,0.86,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.47,0.23,0.60,0.01,120.00,0.02,0.01,0,289.68,156.60,120.00,5.02,1.14,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.58,0.38,0.80,0.01,120.00,0.03,0.01,0,291.01,150.64,120.00,5.00,1.12,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.49,0.38,0.68,0.00,120.00,0.02,0.01,0,285.70,21.00,120.00,4.55,0.42,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.45,0.34,0.61,0.00,120.00,0.02,0.01,0,288.91,40.25,120.00,4.62,0.58,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.39,0.25,0.51,0.00,120.00,0.02,0.00,0,300.00,47.85,120.00,4.65,0.63,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.33,0.17,0.47,0.01,120.00,0.02,0.01,0,293.05,58.28,120.00,4.68,0.70,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.30,0.16,0.42,0.00,120.00,0.02,0.01,0,290.86,164.96,120.00,5.05,1.17,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.18,0.03,0.36,0.01,120.00,0.02,0.01,0,283.19,325.68,120.00,5.55,1.65,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.36,0.22,0.58,0.01,120.00,0.02,0.01,0,290.69,35.63,120.00,4.60,0.54,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.37,0.24,0.52,0.01,120.00,0.02,0.01,0,295.91,141.86,120.00,4.97,1.09,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.37,0.26,0.46,0.00,120.00,0.02,0.00,0,313.99,24.25,120.00,4.56,0.45,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.32,0.18,0.51,0.01,120.00,0.02,0.01,0,318.75,67.32,120.00,4.72,0.75,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.47,0.31,0.63,0.01,120.00,0.02,0.01,0,306.00,26.53,120.00,4.57,0.47,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.42,0.11,0.59,0.02,120.00,0.03,0.01,0,298.43,95.51,120.00,4.81,0.89,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.26,0.13,0.50,0.01,120.00,0.02,0.01,0,281.12,53.23,120.00,4.67,0.67,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.58,0.36,0.79,0.01,120.00,0.03,0.01,0,295.60,62.97,120.00,4.70,0.72,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.46,0.13,0.64,0.01,120.00,0.03,0.01,0,295.50,29.73,120.00,4.58,0.50,0
