HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC101566,"Smithsonian Environmental 2D Wind L1","2016-02-01T00:00:00Z","2017-04-26T18:29:59Z",TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,0.29,0.00,0.00,50.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.010",CFGLOC101566,"Smithsonian Environmental 2D Wind L1","2017-04-26T18:30:00Z",,TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,0.29,0.00,0.00,230.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.020",CFGLOC101571,"Smithsonian Environmental 2D Wind L2","2016-02-01T00:00:00Z","2017-04-26T18:29:59Z",TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,0.29,0.00,0.00,50.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.020",CFGLOC101571,"Smithsonian Environmental 2D Wind L2","2017-04-26T18:30:00Z",,TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,0.29,0.00,0.00,230.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.030",CFGLOC101576,"Smithsonian Environmental 2D Wind L3","2016-02-01T00:00:00Z","2017-04-26T18:29:59Z",TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,18.82,0.00,0.00,50.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.030",CFGLOC101576,"Smithsonian Environmental 2D Wind L3","2017-04-26T18:30:00Z",,TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,18.82,0.00,0.00,230.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.040",CFGLOC101581,"Smithsonian Environmental 2D Wind L4","2016-02-01T00:00:00Z","2017-04-26T18:29:59Z",TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,35.20,0.00,0.00,50.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.040",CFGLOC101581,"Smithsonian Environmental 2D Wind L4","2017-04-26T18:30:00Z",,TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,35.20,0.00,0.00,230.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.050",CFGLOC101586,"Smithsonian Environmental 2D Wind L5","2016-02-01T00:00:00Z","2017-04-26T18:29:59Z",TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,40.70,0.00,0.00,50.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
"000.050",CFGLOC101586,"Smithsonian Environmental 2D Wind L5","2017-04-26T18:30:00Z",,TOWER101561,"Smithsonian Environmental Tower","2010-01-01T00:00:00Z",,6.22,2.36,40.70,0.00,0.00,230.00,38.890131,-76.560014,32.53,-3.25,-5.81,230.00,140.00
