startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.67,0.58,0.80,0.00,120.00,0.02,0.00,0,157.09,80.46,120.00,4.76,0.82,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.62,0.44,0.80,0.00,120.00,0.02,0.01,0,140.75,203.83,120.00,5.18,1.30,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.47,0.37,0.64,0.00,120.00,0.02,0.01,0,163.20,34.80,120.00,4.60,0.54,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.48,0.32,0.63,0.00,120.00,0.02,0.01,0,191.88,131.69,120.00,4.94,1.05,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.88,0.38,1.17,0.04,120.00,0.05,0.02,0,177.20,107.95,120.00,4.86,0.95,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",1.17,1.07,1.30,0.00,120.00,0.03,0.01,0,170.16,19.06,120.00,4.54,0.40,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",1.18,1.04,1.41,0.01,120.00,0.03,0.01,0,170.97,36.18,120.00,4.61,0.55,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",1.16,1.05,1.43,0.01,120.00,0.03,0.01,0,164.47,35.88,120.00,4.60,0.55,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",1.16,1.02,1.31,0.00,120.00,0.03,0.01,0,160.30,10.17,120.00,4.51,0.29,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",1.08,0.81,1.50,0.03,120.00,0.05,0.02,0,159.12,58.90,120.00,4.69,0.70,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",1.05,0.86,1.32,0.01,120.00,0.03,0.01,0,148.02,83.49,120.00,4.77,0.83,0
