HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100311,"Disney 2D Wind L1","2014-09-01T00:00:00Z","2016-04-14T23:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,0.29,0.00,0.00,270.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.010",CFGLOC100311,"Disney 2D Wind L1","2016-04-15T00:00:00Z","2016-08-14T23:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,0.29,0.00,0.00,0.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.010",CFGLOC100311,"Disney 2D Wind L1","2016-08-15T00:00:00Z","2017-04-18T23:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,0.29,0.00,0.00,270.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.010",CFGLOC100311,"Disney 2D Wind L1","2017-04-19T00:00:00Z",,TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,0.29,0.00,0.00,90.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.020",CFGLOC100316,"Disney 2D Wind L2","2014-09-01T00:00:00Z","2017-04-18T23:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,2.00,0.00,0.00,270.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.020",CFGLOC100316,"Disney 2D Wind L2","2017-04-19T00:00:00Z","2019-01-30T16:29:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,2.00,0.00,0.00,90.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.020",CFGLOC100316,"Disney 2D Wind L2","2019-01-30T16:30:00Z","2019-04-23T18:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,2.00,0.00,0.00,270.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.020",CFGLOC100316,"Disney 2D Wind L2","2019-04-23T19:00:00Z",,TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,2.00,0.00,0.00,90.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.030",CFGLOC100321,"Disney 2D Wind L3","2014-09-01T00:00:00Z","2017-04-18T23:59:59Z",TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,4.19,0.00,0.00,270.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
"000.030",CFGLOC100321,"Disney 2D Wind L3","2017-04-19T00:00:00Z",,TOWER100302,"Disney Tower","2010-01-01T00:00:00Z",,-4.25,2.36,4.19,0.00,0.00,90.00,28.125053,-81.436193,20.33,4.25,-2.36,270.00,180.00
