startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.90,0.54,1.38,0.04,120.00,0.05,0.02,0,350.72,175.78,120.00,5.09,1.21,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.86,0.46,1.22,0.02,120.00,0.04,0.01,0,356.68,227.31,120.00,5.25,1.38,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.72,0.42,1.12,0.02,120.00,0.04,0.01,0,2.53,64.18,120.00,4.71,0.73,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.42,0.22,0.64,0.01,120.00,0.03,0.01,0,343.60,147.59,120.00,4.99,1.11,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.62,0.34,0.93,0.01,120.00,0.03,0.01,0,341.16,123.23,120.00,4.91,1.01,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.59,0.44,0.73,0.00,120.00,0.02,0.01,0,329.42,95.51,120.00,4.81,0.89,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.61,0.31,0.88,0.01,120.00,0.03,0.01,0,324.38,139.04,120.00,4.96,1.08,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.66,0.51,0.91,0.01,120.00,0.03,0.01,0,321.06,141.34,120.00,4.97,1.09,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.67,0.47,0.94,0.01,120.00,0.03,0.01,0,314.80,41.51,120.00,4.62,0.59,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.78,0.61,0.90,0.00,120.00,0.02,0.01,0,319.78,25.67,120.00,4.57,0.46,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.70,0.47,0.84,0.01,120.00,0.03,0.01,0,313.45,28.81,120.00,4.58,0.49,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.82,0.58,0.91,0.00,116.00,0.02,0.01,0,301.47,37.19,116.00,4.61,0.57,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.76,0.44,0.92,0.01,120.00,0.03,0.01,0,294.72,28.22,120.00,4.58,0.48,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.65,0.29,0.81,0.01,120.00,0.03,0.01,0,295.05,19.28,120.00,4.54,0.40,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.62,0.30,0.88,0.01,120.00,0.03,0.01,0,293.73,32.00,120.00,4.59,0.52,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.61,0.26,0.88,0.01,120.00,0.03,0.01,0,293.51,60.35,120.00,4.69,0.71,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.61,0.18,0.81,0.01,120.00,0.03,0.01,0,291.04,36.97,120.00,4.61,0.56,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.54,0.28,0.72,0.01,120.00,0.03,0.01,0,297.95,43.59,120.00,4.63,0.60,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.56,0.29,0.73,0.01,120.00,0.02,0.01,0,296.00,32.45,120.00,4.59,0.52,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.71,0.55,0.84,0.00,120.00,0.02,0.01,0,293.61,17.70,120.00,4.54,0.38,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.64,0.43,0.91,0.01,120.00,0.03,0.01,0,303.77,54.78,120.00,4.67,0.68,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.68,0.56,0.78,0.00,120.00,0.02,0.00,0,309.44,26.63,120.00,4.57,0.47,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.63,0.48,0.77,0.00,120.00,0.02,0.01,0,306.99,29.94,120.00,4.58,0.50,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.62,0.42,0.75,0.00,120.00,0.02,0.01,0,306.54,32.11,120.00,4.59,0.52,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.57,0.46,0.69,0.00,120.00,0.02,0.01,0,300.37,36.89,120.00,4.61,0.55,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.61,0.46,0.76,0.00,120.00,0.02,0.01,0,291.51,12.20,120.00,4.52,0.32,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.62,0.37,0.76,0.01,120.00,0.03,0.01,0,290.55,15.88,120.00,4.53,0.36,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.56,0.30,0.72,0.01,120.00,0.03,0.01,0,288.70,21.89,120.00,4.55,0.43,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.46,0.17,0.73,0.02,120.00,0.03,0.01,0,293.38,54.72,120.00,4.67,0.68,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.52,0.24,0.76,0.01,120.00,0.03,0.01,0,292.29,65.65,120.00,4.71,0.74,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.66,0.31,0.79,0.01,120.00,0.03,0.01,0,296.76,20.89,120.00,4.55,0.42,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.62,0.48,0.78,0.00,120.00,0.02,0.01,0,303.42,19.71,120.00,4.54,0.41,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.66,0.50,0.78,0.00,120.00,0.02,0.01,0,309.17,36.35,120.00,4.61,0.55,0
