HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100392,"Jones 2D Wind L1","2014-09-01T00:00:00Z","2017-04-11T12:59:59Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,0.22,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.010",CFGLOC100392,"Jones 2D Wind L1","2017-04-11T13:00:00Z",,TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,0.22,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.020",CFGLOC100397,"Jones 2D Wind L2","2014-09-01T00:00:00Z","2017-04-11T12:59:59Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,6.12,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.020",CFGLOC100397,"Jones 2D Wind L2","2017-04-11T13:00:00Z","2022-02-26T00:00:00Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,6.12,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.020",CFGLOC100397,"Jones 2D Wind L2","2022-02-26T00:00:00Z",,TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,5.50,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.030",CFGLOC100402,"Jones 2D Wind L3","2014-09-01T00:00:00Z","2017-04-11T12:59:59Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.29,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.030",CFGLOC100402,"Jones 2D Wind L3","2017-04-11T13:00:00Z",,TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.29,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.040",CFGLOC100408,"Jones 2D Wind L4","2014-09-01T00:00:00Z","2017-04-11T12:59:59Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,22.63,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.040",CFGLOC100408,"Jones 2D Wind L4","2017-04-11T13:00:00Z","2022-05-25T00:00:00Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,22.63,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.040",CFGLOC100408,"Jones 2D Wind L4","2022-05-25T00:00:00Z","2022-08-16T15:30:00Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,22.06,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.040",CFGLOC100408,"Jones 2D Wind L4","2022-08-16T15:30:00Z",,TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.22,22.06,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.73,135.00,45.00
"000.050",CFGLOC100413,"Jones 2D Wind L5","2014-09-01T00:00:00Z","2017-04-11T12:59:59Z",TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,28.74,0.00,0.00,225.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
"000.050",CFGLOC100413,"Jones 2D Wind L5","2017-04-11T13:00:00Z",,TOWER100381,"Jones Tower","2010-01-01T00:00:00Z",,2.36,6.23,28.74,0.00,0.00,45.00,31.194846,-84.468629,46.65,6.07,2.74,135.00,45.00
