startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.20,0.02,0.46,0.01,34.00,0.04,0.02,1,218.88,463.21,34.00,8.63,3.69,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.61,0.56,0.67,0.01,2.00,0.11,0.05,1,176.60,7.15,2.00,5.86,1.89,1
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.22,0.03,0.41,0.01,27.00,0.04,0.02,1,218.02,65.80,27.00,5.45,1.56,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.19,0.01,0.46,0.01,105.00,0.03,0.01,1,207.83,558.52,105.00,6.42,2.31,1
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.19,0.04,0.63,0.01,111.00,0.03,0.01,1,177.23,988.96,111.00,7.46,2.98,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.11,0.00,0.46,0.01,267.00,0.02,0.00,1,205.65,1722.92,267.00,6.77,2.54,1
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.07,0.00,0.37,0.00,128.00,0.02,0.00,1,181.49,2192.32,128.00,9.41,4.14,1
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.13,0.00,0.84,0.01,904.00,0.02,0.00,1,159.68,1155.93,904.00,5.01,1.13,1
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.10,0.00,0.39,0.00,737.00,0.02,0.00,1,183.83,3195.26,737.00,6.11,2.08,1
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.10,0.00,1.73,0.01,885.00,0.04,0.00,1,168.85,2073.97,885.00,5.42,1.53,1
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.09,0.00,0.49,0.01,1596.00,0.02,0.00,1,158.32,7901.81,1596.00,6.31,2.23,1
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",,,,,,,,1,,,,,,1
