startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.37,0.00,1.57,0.06,1800.00,0.04,0.01,0,213.06,9259.00,1800.00,6.37,2.27,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.38,0.00,1.29,0.07,1800.00,0.03,0.01,0,65.94,9197.29,1800.00,6.36,2.26,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.37,0.01,1.31,0.04,1800.00,0.03,0.00,0,60.11,1943.41,1800.00,4.93,1.04,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.40,0.01,0.91,0.03,1800.00,0.02,0.00,0,84.35,2655.22,1800.00,5.09,1.21,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.36,0.01,1.29,0.03,1800.00,0.03,0.00,0,69.67,4275.12,1800.00,5.43,1.54,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.46,0.01,1.64,0.06,1800.00,0.04,0.01,0,81.64,3791.54,1800.00,5.33,1.45,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.65,0.01,2.38,0.17,1796.00,0.05,0.01,0,49.81,2946.35,1796.00,5.15,1.28,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.64,0.01,2.77,0.20,1800.00,0.06,0.01,0,54.97,2509.48,1800.00,5.06,1.18,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.50,0.01,1.56,0.07,1800.00,0.04,0.01,0,83.82,3801.96,1800.00,5.33,1.45,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.55,0.01,1.69,0.08,1800.00,0.04,0.01,0,70.27,3329.09,1800.00,5.23,1.36,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.53,0.00,2.46,0.10,1800.00,0.05,0.01,0,56.18,3269.50,1800.00,5.22,1.35,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.74,0.00,2.16,0.13,1800.00,0.05,0.01,0,51.22,4411.75,1800.00,5.46,1.57,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.67,0.02,1.83,0.13,1800.00,0.04,0.01,0,41.21,4107.97,1800.00,5.40,1.51,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.59,0.00,1.97,0.13,1800.00,0.04,0.01,0,43.15,4406.29,1800.00,5.46,1.56,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.64,0.01,2.26,0.14,1797.00,0.05,0.01,0,44.90,8121.54,1797.00,6.17,2.13,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.46,0.00,1.43,0.07,1800.00,0.03,0.01,0,28.39,7681.76,1800.00,6.09,2.07,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.45,0.00,1.30,0.06,1800.00,0.03,0.01,0,27.33,7837.85,1800.00,6.12,2.09,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.38,0.01,0.88,0.03,1800.00,0.02,0.00,0,85.42,6382.78,1800.00,5.85,1.88,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.37,0.01,1.05,0.04,1800.00,0.03,0.00,0,104.69,6657.39,1800.00,5.90,1.92,0
