startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.49,0.21,1.01,0.03,120.00,0.04,0.01,0,65.68,1895.82,120.00,9.12,3.97,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.44,0.08,0.77,0.03,120.00,0.04,0.02,0,91.71,2511.39,120.00,10.18,4.57,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.47,0.03,0.84,0.04,120.00,0.04,0.02,0,96.75,3980.43,120.00,12.36,5.76,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.65,0.09,2.00,0.11,120.00,0.07,0.03,0,67.74,4510.59,120.00,13.05,6.13,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.43,0.05,0.83,0.03,120.00,0.04,0.02,0,45.37,4124.08,120.00,12.55,5.86,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.38,0.11,0.59,0.02,120.00,0.03,0.01,0,82.85,1698.68,120.00,8.75,3.76,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.40,0.03,1.13,0.06,120.00,0.05,0.02,0,102.30,3510.97,120.00,11.71,5.41,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.49,0.05,0.97,0.04,120.00,0.04,0.02,0,38.08,1454.83,120.00,8.28,3.48,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.55,0.04,1.47,0.09,120.00,0.06,0.03,0,130.45,4677.31,120.00,13.26,6.24,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.42,0.01,0.86,0.03,120.00,0.04,0.02,0,76.97,1156.55,120.00,7.65,3.10,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.46,0.08,0.78,0.02,120.00,0.03,0.01,0,73.04,1963.92,120.00,9.24,4.05,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.59,0.13,1.36,0.07,120.00,0.06,0.02,0,56.13,1952.92,120.00,9.22,4.03,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.55,0.12,0.97,0.03,120.00,0.04,0.02,0,47.61,1337.21,120.00,8.04,3.34,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.50,0.02,1.32,0.06,120.00,0.05,0.02,0,138.63,3787.41,120.00,12.09,5.62,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.54,0.05,1.13,0.03,120.00,0.04,0.02,0,81.00,954.96,120.00,7.20,2.82,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.59,0.15,1.72,0.09,120.00,0.07,0.03,0,133.11,4133.44,120.00,12.56,5.87,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.62,0.12,1.60,0.10,116.00,0.07,0.03,0,111.48,1919.11,116.00,9.28,4.07,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.52,0.03,1.09,0.05,120.00,0.05,0.02,0,84.14,3628.86,120.00,11.87,5.50,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.66,0.07,2.41,0.16,120.00,0.09,0.04,0,83.72,3745.61,120.00,12.04,5.59,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.60,0.06,1.19,0.07,120.00,0.05,0.02,0,78.32,1745.02,120.00,8.84,3.81,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.55,0.08,1.18,0.06,120.00,0.05,0.02,0,137.70,6559.15,120.00,15.45,7.39,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.62,0.17,1.64,0.07,120.00,0.06,0.02,0,102.25,3040.42,120.00,11.02,5.03,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.32,0.05,0.65,0.03,120.00,0.03,0.01,0,71.81,2105.22,120.00,9.50,4.19,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.37,0.16,0.58,0.01,120.00,0.03,0.01,0,83.69,965.32,120.00,7.22,2.84,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.54,0.20,1.02,0.04,120.00,0.04,0.02,0,40.70,370.72,120.00,5.69,1.76,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.45,0.11,0.97,0.04,120.00,0.04,0.02,0,82.45,2530.84,120.00,10.22,4.59,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.50,0.19,0.98,0.04,120.00,0.04,0.02,0,78.38,1451.67,120.00,8.27,3.48,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.43,0.02,1.16,0.05,120.00,0.05,0.02,0,118.08,1682.14,120.00,8.72,3.74,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.65,0.24,1.32,0.05,120.00,0.05,0.02,0,69.04,722.96,120.00,6.64,2.45,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.54,0.09,1.11,0.06,120.00,0.05,0.02,0,116.52,4205.52,120.00,12.66,5.92,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.58,0.23,1.16,0.04,120.00,0.04,0.02,0,129.73,4624.23,120.00,13.20,6.21,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.42,0.01,0.94,0.05,120.00,0.05,0.02,0,115.27,4618.74,120.00,13.19,6.20,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.46,0.25,0.85,0.02,120.00,0.03,0.01,0,72.98,1676.63,120.00,8.71,3.74,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",0.41,0.10,0.76,0.02,120.00,0.03,0.01,0,111.69,2003.61,120.00,9.32,4.09,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",0.52,0.13,1.31,0.07,120.00,0.06,0.02,0,88.26,1225.19,120.00,7.80,3.20,0
