startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.90,0.42,1.37,0.03,120.00,0.04,0.01,0,83.72,233.21,120.00,5.27,1.39,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.83,0.48,1.20,0.02,120.00,0.04,0.01,0,86.72,203.17,120.00,5.17,1.30,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.75,0.46,1.04,0.01,120.00,0.03,0.01,0,86.24,178.24,120.00,5.09,1.22,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.74,0.42,1.28,0.04,120.00,0.04,0.02,0,57.83,336.90,120.00,5.59,1.68,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.98,0.60,1.42,0.03,120.00,0.05,0.02,0,17.68,77.49,120.00,4.75,0.80,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.99,0.57,1.46,0.05,120.00,0.05,0.02,0,6.91,84.97,120.00,4.78,0.84,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",1.58,0.85,2.12,0.07,120.00,0.06,0.02,0,6.22,30.61,120.00,4.58,0.51,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",1.30,0.57,2.01,0.10,120.00,0.07,0.03,0,2.69,82.56,120.00,4.77,0.83,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",1.31,0.69,1.91,0.08,120.00,0.07,0.03,0,20.26,180.02,120.00,5.10,1.22,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",1.02,0.46,1.54,0.08,120.00,0.06,0.03,0,31.74,106.64,120.00,4.85,0.94,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",1.23,0.61,1.92,0.07,120.00,0.06,0.02,0,13.92,76.08,120.00,4.75,0.80,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",1.13,0.65,1.85,0.07,120.00,0.06,0.02,0,14.26,90.98,120.00,4.80,0.87,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",1.09,0.60,1.94,0.07,120.00,0.06,0.02,0,355.12,222.62,120.00,5.24,1.36,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",1.66,0.94,1.96,0.05,120.00,0.06,0.02,0,343.50,15.56,120.00,4.53,0.36,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",1.06,0.59,1.54,0.05,120.00,0.05,0.02,0,338.58,104.29,120.00,4.85,0.93,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.64,0.13,1.26,0.07,120.00,0.05,0.02,0,350.16,380.51,120.00,5.72,1.78,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.91,0.52,1.33,0.03,120.00,0.04,0.02,0,345.23,77.11,120.00,4.75,0.80,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.76,0.41,1.09,0.02,120.00,0.04,0.01,0,0.05,64.12,120.00,4.71,0.73,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",1.02,0.39,1.44,0.09,120.00,0.06,0.03,0,1.25,49.44,120.00,4.65,0.64,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.87,0.29,1.66,0.10,120.00,0.07,0.03,0,10.52,264.49,120.00,5.37,1.48,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.68,0.32,1.10,0.03,120.00,0.04,0.02,0,357.75,87.24,120.00,4.79,0.85,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.70,0.43,0.95,0.01,120.00,0.03,0.01,0,1.63,51.91,120.00,4.66,0.66,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.64,0.37,0.94,0.02,120.00,0.03,0.01,0,27.33,430.18,120.00,5.86,1.89,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.79,0.40,1.34,0.04,120.00,0.05,0.02,0,47.62,178.33,120.00,5.09,1.22,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.63,0.33,1.29,0.05,120.00,0.05,0.02,0,51.43,364.67,120.00,5.67,1.74,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.80,0.33,1.67,0.08,120.00,0.06,0.03,0,68.79,280.48,120.00,5.42,1.53,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.88,0.31,1.33,0.04,120.00,0.05,0.02,0,47.20,187.94,120.00,5.12,1.25,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.71,0.40,1.15,0.03,120.00,0.04,0.02,0,23.95,188.44,120.00,5.13,1.25,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.87,0.48,1.27,0.03,120.00,0.04,0.02,0,33.70,125.89,120.00,4.92,1.02,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.66,0.30,1.00,0.03,120.00,0.04,0.01,0,34.39,181.32,120.00,5.10,1.23,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.58,0.39,0.79,0.01,120.00,0.03,0.01,0,56.53,135.76,120.00,4.95,1.06,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.55,0.35,0.84,0.01,120.00,0.03,0.01,0,66.88,108.75,120.00,4.86,0.95,0
