startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.43,0.01,1.48,0.05,1800.00,0.03,0.01,0,253.86,1020.11,1800.00,4.72,0.75,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.10,0.00,0.40,0.00,1798.00,0.02,0.00,0,252.00,5993.02,1798.00,5.77,1.83,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.16,0.00,0.45,0.01,1800.00,0.02,0.00,0,164.83,4116.06,1800.00,5.40,1.51,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.18,0.00,0.44,0.01,1800.00,0.02,0.00,0,12.55,4564.48,1800.00,5.49,1.59,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.17,0.00,0.52,0.01,1800.00,0.02,0.00,0,31.06,2619.14,1800.00,5.08,1.21,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.18,0.00,0.43,0.01,1800.00,0.02,0.00,0,58.98,2347.67,1800.00,5.02,1.14,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.30,0.00,0.56,0.01,1800.00,0.02,0.00,0,50.97,1423.72,1800.00,4.81,0.89,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.32,0.02,0.59,0.01,1797.00,0.02,0.00,0,21.31,993.26,1797.00,4.71,0.74,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.20,0.00,0.54,0.01,1800.00,0.02,0.00,0,41.62,3285.73,1800.00,5.23,1.35,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.23,0.00,0.54,0.01,1800.00,0.02,0.00,0,56.25,6067.59,1800.00,5.79,1.84,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.25,0.00,0.66,0.02,1800.00,0.02,0.00,0,257.64,3858.95,1800.00,5.35,1.46,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.29,0.00,0.72,0.02,1800.00,0.02,0.00,0,260.77,3285.70,1800.00,5.23,1.35,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.24,0.02,0.66,0.01,1800.00,0.02,0.00,0,292.86,2541.34,1800.00,5.06,1.19,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.31,0.00,1.15,0.03,1800.00,0.03,0.00,0,270.55,2785.81,1800.00,5.12,1.24,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.31,0.00,1.24,0.07,1797.00,0.03,0.01,0,217.79,7611.40,1797.00,6.08,2.06,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.31,0.00,1.08,0.03,1800.00,0.03,0.00,0,144.04,4216.46,1800.00,5.42,1.53,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.45,0.00,1.31,0.08,1800.00,0.03,0.01,0,193.07,4052.87,1800.00,5.39,1.50,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.60,0.00,1.73,0.12,1800.00,0.04,0.01,0,214.98,1857.12,1800.00,4.91,1.02,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.70,0.00,2.19,0.12,1800.00,0.05,0.01,0,201.23,1520.17,1800.00,4.84,0.92,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.61,0.01,2.50,0.18,1800.00,0.06,0.01,0,199.42,2993.05,1800.00,5.16,1.29,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.41,0.00,0.92,0.03,1798.00,0.02,0.00,0,79.44,798.09,1798.00,4.67,0.67,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.43,0.03,0.99,0.03,1800.00,0.02,0.00,0,102.25,516.04,1800.00,4.60,0.54,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.48,0.00,2.50,0.08,1800.00,0.05,0.01,0,139.43,2407.59,1800.00,5.03,1.16,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.57,0.01,2.04,0.10,1800.00,0.05,0.01,0,167.50,2169.72,1800.00,4.98,1.10,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.58,0.01,1.91,0.12,1800.00,0.04,0.01,0,173.06,1488.78,1800.00,4.83,0.91,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.85,0.01,2.68,0.25,1800.00,0.06,0.01,0,171.57,1019.59,1800.00,4.72,0.75,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",1.38,0.07,3.84,0.39,1796.00,0.08,0.01,0,185.43,406.64,1796.00,4.57,0.48,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",1.52,0.05,4.45,0.47,1800.00,0.10,0.02,0,185.16,500.64,1800.00,4.59,0.53,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",2.02,0.05,6.23,0.97,1800.00,0.17,0.02,0,198.28,641.10,1800.00,4.63,0.60,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",2.45,0.14,6.47,1.04,1800.00,0.19,0.02,0,198.22,437.96,1800.00,4.58,0.49,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",2.90,0.05,7.11,1.42,1800.00,0.22,0.03,0,196.11,492.05,1800.00,4.59,0.52,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",3.33,0.20,7.13,1.34,1800.00,0.22,0.03,0,212.50,571.25,1800.00,4.61,0.56,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",2.84,0.37,7.40,0.94,1796.00,0.23,0.02,0,210.41,436.00,1796.00,4.58,0.49,0
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",2.85,0.62,6.99,1.01,1800.00,0.21,0.02,0,213.18,616.00,1800.00,4.62,0.58,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",2.43,0.28,6.67,0.95,1800.00,0.20,0.02,0,210.17,607.32,1800.00,4.62,0.58,0
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",2.56,0.23,6.07,0.95,1800.00,0.16,0.02,0,218.20,565.11,1800.00,4.61,0.56,0
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",1.83,0.02,6.53,1.08,1800.00,0.19,0.02,0,208.76,2104.28,1800.00,4.97,1.08,0
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",1.44,0.04,4.11,0.44,1800.00,0.09,0.02,0,200.48,738.74,1800.00,4.65,0.64,0
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",1.10,0.01,3.63,0.40,1800.00,0.08,0.01,0,175.44,1330.72,1800.00,4.79,0.86,0
"2020-06-01T19:30:00Z","2020-06-01T20:00:00Z",1.93,0.17,6.10,0.70,1796.00,0.16,0.02,0,190.88,354.42,1796.00,4.56,0.44,0
"2020-06-01T20:00:00Z","2020-06-01T20:30:00Z",2.26,0.01,6.83,1.02,1800.00,0.20,0.02,0,198.43,609.90,1800.00,4.62,0.58,0
