startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.85,0.02,2.16,0.21,1800.00,0.05,0.01,0,188.42,775.93,1800.00,4.66,0.66,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.79,0.07,1.95,0.10,1800.00,0.04,0.01,0,195.21,210.05,1800.00,4.52,0.34,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.39,0.00,1.04,0.03,1800.00,0.03,0.00,0,188.21,569.90,1800.00,4.61,0.56,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.24,0.00,0.86,0.02,1800.00,0.02,0.00,0,145.41,1676.61,1800.00,4.87,0.97,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.30,0.01,0.69,0.01,1800.00,0.02,0.00,0,143.63,527.31,1800.00,4.60,0.54,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.40,0.00,1.53,0.03,1796.00,0.03,0.00,0,155.72,360.70,1796.00,4.56,0.45,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.75,0.09,1.81,0.14,1800.00,0.04,0.01,0,183.66,203.99,1800.00,4.52,0.34,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.51,0.00,1.73,0.05,1800.00,0.04,0.01,0,172.37,573.68,1800.00,4.61,0.56,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.40,0.00,1.15,0.04,1800.00,0.03,0.00,0,166.47,878.14,1800.00,4.69,0.70,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.41,0.00,1.50,0.04,1800.00,0.03,0.00,0,167.72,540.46,1800.00,4.60,0.55,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.46,0.00,1.41,0.05,1800.00,0.03,0.01,0,174.95,839.09,1800.00,4.68,0.68,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.16,0.00,0.73,0.01,1800.00,0.02,0.00,0,138.70,4649.58,1800.00,5.51,1.61,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.31,0.00,1.20,0.04,1800.00,0.03,0.00,0,175.17,2019.68,1800.00,4.95,1.06,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.60,0.01,1.77,0.12,1795.00,0.04,0.01,0,179.34,1556.59,1795.00,4.84,0.93,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.83,0.22,1.90,0.07,1800.00,0.04,0.01,0,189.29,131.98,1800.00,4.50,0.27,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.47,0.01,1.35,0.07,1800.00,0.03,0.01,0,191.23,772.76,1800.00,4.66,0.66,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.11,0.00,0.37,0.00,1800.00,0.02,0.00,0,264.44,6131.89,1800.00,5.80,1.85,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.14,0.00,0.67,0.01,1800.00,0.02,0.00,0,116.47,8560.72,1800.00,6.25,2.18,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.13,0.00,0.44,0.01,1800.00,0.02,0.00,0,130.69,8622.13,1800.00,6.26,2.19,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.22,0.00,1.06,0.02,1800.00,0.03,0.00,0,142.60,4530.84,1800.00,5.48,1.59,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.71,0.00,2.21,0.12,1800.00,0.05,0.01,0,175.77,369.79,1800.00,4.56,0.45,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",1.24,0.22,3.61,0.33,1796.00,0.08,0.01,0,183.51,172.77,1796.00,4.51,0.31,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",1.49,0.31,3.71,0.46,1800.00,0.08,0.02,0,187.02,197.71,1800.00,4.52,0.33,0
