HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100710,"UNDERC 2D Wind L1","2014-12-01T00:00:00Z","2016-10-14T00:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.27,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.010",CFGLOC100710,"UNDERC 2D Wind L1","2016-10-14T00:00:00Z","2016-10-18T16:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.27,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.010",CFGLOC100710,"UNDERC 2D Wind L1","2016-10-18T16:00:00Z","2017-06-06T22:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.27,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.010",CFGLOC100710,"UNDERC 2D Wind L1","2017-06-06T22:00:00Z",,TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.27,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.020",CFGLOC100713,"UNDERC 2D Wind L2","2014-12-01T00:00:00Z","2016-10-14T00:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,7.49,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.020",CFGLOC100713,"UNDERC 2D Wind L2","2016-10-14T00:00:00Z","2017-06-06T22:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,7.49,0.00,0.00,290.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.020",CFGLOC100713,"UNDERC 2D Wind L2","2017-06-06T22:00:00Z",,TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,7.49,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.030",CFGLOC100716,"UNDERC 2D Wind L3","2014-12-01T00:00:00Z","2016-10-14T00:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,15.44,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.030",CFGLOC100716,"UNDERC 2D Wind L3","2016-10-14T00:00:00Z",,TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,15.44,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.040",CFGLOC100719,"UNDERC 2D Wind L4","2014-12-01T00:00:00Z","2016-10-14T00:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,22.87,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.040",CFGLOC100719,"UNDERC 2D Wind L4","2016-10-14T00:00:00Z","2017-06-06T22:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,22.87,0.00,0.00,290.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.040",CFGLOC100719,"UNDERC 2D Wind L4","2017-06-06T22:00:00Z",,TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.23,2.36,22.87,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.41,-5.73,170.00,80.00
"000.050",CFGLOC100722,"UNDERC 2D Wind L5","2014-12-01T00:00:00Z","2016-10-14T00:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.22,2.36,26.27,0.00,0.00,20.00,46.233910,-89.537254,520.97,3.40,-5.72,170.00,80.00
"000.050",CFGLOC100722,"UNDERC 2D Wind L5","2016-10-14T00:00:00Z","2017-06-06T22:00:00Z",TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.22,2.36,26.27,0.00,0.00,290.00,46.233910,-89.537254,520.97,3.40,-5.72,170.00,80.00
"000.050",CFGLOC100722,"UNDERC 2D Wind L5","2017-06-06T22:00:00Z",,TOWER100688,"UNDERC Tower","2010-01-01T00:00:00Z",,6.22,2.36,26.27,0.00,0.00,200.00,46.233910,-89.537254,520.97,3.40,-5.72,170.00,80.00
