startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.58,0.01,1.57,0.05,1800.00,0.04,0.01,0,345.98,1470.42,1800.00,4.82,0.90,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.61,0.04,2.91,0.07,1793.00,0.06,0.01,0,338.06,2042.93,1793.00,4.96,1.07,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.48,0.00,1.84,0.05,1800.00,0.04,0.01,0,348.57,1914.01,1800.00,4.92,1.03,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.54,0.00,1.46,0.05,1800.00,0.03,0.01,0,1.46,1440.66,1800.00,4.82,0.89,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.57,0.03,1.21,0.04,1800.00,0.03,0.00,0,1.86,1002.95,1800.00,4.71,0.75,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.60,0.02,1.58,0.06,1800.00,0.04,0.01,0,3.55,2233.26,1800.00,5.00,1.11,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.64,0.01,1.95,0.08,1800.00,0.04,0.01,0,7.28,3047.45,1800.00,5.17,1.30,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.66,0.00,2.42,0.11,1800.00,0.05,0.01,0,1.97,3704.85,1800.00,5.31,1.43,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.68,0.00,2.09,0.12,1796.00,0.05,0.01,0,4.22,4700.77,1796.00,5.52,1.62,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.74,0.00,3.05,0.16,1800.00,0.06,0.01,0,13.65,4721.37,1800.00,5.52,1.62,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.69,0.03,2.05,0.09,1800.00,0.04,0.01,0,9.45,4416.87,1800.00,5.46,1.57,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.80,0.00,4.67,0.23,1800.00,0.10,0.01,0,9.25,4914.30,1800.00,5.56,1.65,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.74,0.02,2.98,0.13,1800.00,0.06,0.01,0,6.40,4048.69,1800.00,5.38,1.50,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.72,0.00,2.52,0.13,1800.00,0.05,0.01,0,354.68,4453.05,1800.00,5.47,1.57,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.66,0.03,2.13,0.13,1800.00,0.05,0.01,0,354.37,4988.76,1800.00,5.58,1.66,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.64,0.01,3.20,0.14,1795.00,0.07,0.01,0,344.44,5442.62,1795.00,5.67,1.74,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.60,0.01,2.63,0.10,1800.00,0.06,0.01,0,333.65,3797.41,1800.00,5.33,1.45,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.69,0.00,3.43,0.26,1800.00,0.07,0.01,0,70.34,7469.50,1800.00,6.05,2.04,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.38,0.00,1.63,0.05,1800.00,0.04,0.01,0,309.67,5545.75,1800.00,5.69,1.76,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.40,0.01,1.05,0.03,1800.00,0.03,0.00,0,309.46,2385.28,1800.00,5.03,1.15,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.30,0.00,1.07,0.03,1800.00,0.03,0.00,0,351.91,3845.03,1800.00,5.34,1.46,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.49,0.00,2.43,0.10,1800.00,0.05,0.01,0,17.14,8232.24,1800.00,6.19,2.14,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.68,0.00,3.76,0.23,1800.00,0.08,0.01,0,101.80,3819.71,1800.00,5.34,1.46,0
