startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",3.83,2.46,5.55,0.51,120.00,0.18,0.07,0,144.74,81.18,120.00,4.77,0.82,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",3.62,2.33,5.50,0.40,120.00,0.17,0.06,0,147.23,59.03,120.00,4.69,0.70,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",3.45,1.98,4.84,0.43,120.00,0.15,0.06,0,151.81,60.33,120.00,4.69,0.71,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",4.63,2.47,7.29,0.83,120.00,0.28,0.08,0,149.05,61.82,120.00,4.70,0.72,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",3.45,1.96,5.64,0.50,120.00,0.19,0.06,0,150.23,52.21,120.00,4.66,0.66,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",3.52,2.09,5.59,0.67,120.00,0.20,0.07,0,147.15,60.77,120.00,4.69,0.71,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",4.13,2.51,5.95,0.74,120.00,0.22,0.08,0,148.56,56.42,120.00,4.68,0.69,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",3.39,1.53,5.85,0.55,120.00,0.20,0.07,0,148.00,77.69,120.00,4.75,0.80,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",3.37,1.98,5.19,0.52,120.00,0.17,0.07,0,148.03,72.08,120.00,4.73,0.78,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",2.83,1.33,4.87,0.50,120.00,0.16,0.06,0,150.03,43.10,120.00,4.63,0.60,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",3.48,1.78,4.98,0.42,120.00,0.15,0.06,0,157.92,52.44,120.00,4.66,0.66,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",4.29,2.23,7.00,1.18,120.00,0.29,0.10,0,153.88,65.17,120.00,4.71,0.74,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",4.23,2.01,6.42,1.06,120.00,0.26,0.09,0,155.46,61.23,120.00,4.69,0.71,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",3.68,1.92,6.62,1.22,120.00,0.28,0.10,0,160.03,69.53,120.00,4.72,0.76,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",5.67,3.85,7.86,1.15,120.00,0.32,0.10,0,158.93,48.41,120.00,4.65,0.64,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",3.70,2.00,6.01,0.45,120.00,0.20,0.06,0,153.86,81.56,120.00,4.77,0.82,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",3.36,1.99,6.45,0.70,120.00,0.24,0.08,0,157.04,70.73,120.00,4.73,0.77,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",3.66,1.36,6.15,1.25,120.00,0.26,0.10,0,154.70,45.34,120.00,4.64,0.61,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",4.76,2.45,7.35,1.41,120.00,0.31,0.11,0,155.84,81.92,120.00,4.77,0.83,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",3.67,2.00,6.24,0.87,120.00,0.24,0.09,0,158.56,44.07,120.00,4.63,0.61,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",3.19,1.49,4.98,0.42,120.00,0.16,0.06,0,157.40,92.02,120.00,4.80,0.88,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",3.95,2.28,6.14,0.70,120.00,0.22,0.08,0,156.25,50.49,120.00,4.66,0.65,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",3.82,2.06,6.25,0.78,120.00,0.23,0.08,0,155.62,41.91,120.00,4.63,0.59,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",3.80,2.41,6.05,0.42,120.00,0.20,0.06,0,157.74,92.62,120.00,4.80,0.88,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",3.64,1.85,6.02,0.88,120.00,0.23,0.09,0,159.74,71.79,120.00,4.73,0.77,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",3.07,1.79,4.56,0.35,120.00,0.14,0.05,0,155.77,59.71,120.00,4.69,0.71,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",3.96,2.05,6.62,0.80,120.00,0.25,0.08,0,154.74,44.76,120.00,4.64,0.61,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",2.78,1.43,4.37,0.24,120.00,0.13,0.04,0,155.67,132.74,120.00,4.94,1.05,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",3.40,1.85,5.71,0.73,120.00,0.21,0.08,0,158.33,54.62,120.00,4.67,0.67,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",3.39,2.01,5.16,0.57,120.00,0.18,0.07,0,159.97,42.66,120.00,4.63,0.60,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",3.30,2.14,5.67,0.47,120.00,0.19,0.06,0,155.50,61.19,120.00,4.69,0.71,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",4.17,2.29,6.72,0.78,120.00,0.25,0.08,0,161.21,34.14,120.00,4.60,0.53,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",3.98,2.30,5.45,0.56,120.00,0.18,0.07,0,155.02,65.92,120.00,4.71,0.74,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",4.03,2.23,6.12,0.57,120.00,0.21,0.07,0,161.59,51.52,120.00,4.66,0.66,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",4.59,2.09,7.01,1.14,120.00,0.29,0.10,0,158.96,58.76,120.00,4.69,0.70,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",3.77,2.03,6.47,1.07,120.00,0.26,0.09,0,155.16,35.94,120.00,4.60,0.55,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",3.35,1.62,5.51,0.60,120.00,0.19,0.07,0,163.22,33.58,120.00,4.60,0.53,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",3.47,1.64,5.39,0.74,120.00,0.20,0.08,0,158.55,26.25,120.00,4.57,0.47,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",3.94,2.00,5.40,0.66,120.00,0.19,0.07,0,156.79,78.24,120.00,4.75,0.81,0
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",3.79,2.29,5.37,0.56,120.00,0.18,0.07,0,159.60,36.32,120.00,4.61,0.55,0
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",4.25,2.22,6.24,1.18,120.00,0.26,0.10,0,158.83,30.06,120.00,4.58,0.50,0
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",4.14,2.36,6.72,0.99,120.00,0.27,0.09,0,157.90,29.15,120.00,4.58,0.49,0
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",3.90,2.17,7.07,1.30,120.00,0.30,0.10,0,157.60,51.01,120.00,4.66,0.65,0
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",3.63,2.02,5.17,0.57,120.00,0.18,0.07,0,157.83,36.86,120.00,4.61,0.55,0
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",2.96,1.68,4.40,0.31,120.00,0.13,0.05,0,160.20,45.31,120.00,4.64,0.61,0
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",3.70,2.02,6.49,0.72,120.00,0.24,0.08,0,160.08,70.57,120.00,4.73,0.77,0
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",3.72,2.69,6.07,0.41,120.00,0.20,0.06,0,155.88,54.23,120.00,4.67,0.67,0
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",3.57,2.25,5.73,0.46,120.00,0.19,0.06,0,157.09,62.46,120.00,4.70,0.72,0
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",3.19,1.96,4.46,0.27,120.00,0.13,0.05,0,158.64,45.97,120.00,4.64,0.62,0
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",3.16,1.88,5.71,0.55,120.00,0.19,0.07,0,159.84,61.49,120.00,4.70,0.72,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",3.73,2.13,5.25,0.56,120.00,0.18,0.07,0,158.16,62.73,120.00,4.70,0.72,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",3.45,1.82,5.66,0.54,120.00,0.19,0.07,0,159.49,39.79,120.00,4.62,0.58,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",3.53,1.93,5.43,0.55,120.00,0.18,0.07,0,162.03,63.23,120.00,4.70,0.73,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",3.48,2.18,5.11,0.42,120.00,0.16,0.06,0,158.24,57.98,120.00,4.68,0.70,0
"2020-06-01T01:48:00Z","2020-06-01T01:50:00Z",3.69,1.77,5.80,0.82,120.00,0.22,0.08,0,159.11,37.33,120.00,4.61,0.56,0
"2020-06-01T01:50:00Z","2020-06-01T01:52:00Z",3.53,2.17,5.49,0.44,120.00,0.17,0.06,0,161.22,61.69,120.00,4.70,0.72,0
"2020-06-01T01:52:00Z","2020-06-01T01:54:00Z",3.53,1.70,6.29,1.01,120.00,0.25,0.09,0,163.50,57.39,120.00,4.68,0.69,0
"2020-06-01T01:54:00Z","2020-06-01T01:56:00Z",3.70,2.16,5.60,0.43,120.00,0.18,0.06,0,162.75,55.27,120.00,4.67,0.68,0
"2020-06-01T01:56:00Z","2020-06-01T01:58:00Z",3.90,2.08,5.93,0.96,120.00,0.23,0.09,0,162.29,48.08,120.00,4.65,0.63,0
"2020-06-01T01:58:00Z","2020-06-01T02:00:00Z",3.80,2.48,5.63,0.48,120.00,0.18,0.06,0,164.08,40.60,120.00,4.62,0.58,0
