startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.74,0.20,3.48,0.44,120.00,0.14,0.06,0,142.90,372.35,120.00,5.69,1.76,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",1.74,0.74,3.45,0.43,120.00,0.14,0.06,0,143.57,383.18,120.00,5.72,1.79,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",2.71,0.88,5.23,0.81,120.00,0.20,0.08,0,135.19,277.93,120.00,5.41,1.52,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",2.65,1.02,4.54,0.65,120.00,0.17,0.07,0,136.32,465.04,120.00,5.96,1.97,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",2.74,0.68,6.58,1.07,120.00,0.27,0.09,0,143.05,460.00,120.00,5.94,1.96,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",2.92,0.49,5.54,0.97,120.00,0.22,0.09,0,136.65,407.75,120.00,5.80,1.84,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",2.48,0.60,6.66,1.42,120.00,0.29,0.11,0,142.61,456.26,120.00,5.93,1.95,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",2.47,0.25,6.22,1.59,120.00,0.28,0.12,0,137.00,445.98,120.00,5.90,1.93,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",2.95,0.88,4.94,0.88,120.00,0.20,0.09,0,132.53,308.87,120.00,5.50,1.60,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",2.65,1.28,5.24,0.68,120.00,0.19,0.08,0,138.52,765.33,120.00,6.75,2.53,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",2.68,0.35,5.63,2.21,120.00,0.30,0.14,0,143.15,359.85,120.00,5.66,1.73,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",2.25,0.91,4.70,0.71,120.00,0.18,0.08,0,137.32,413.81,120.00,5.81,1.86,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.49,0.73,5.06,0.89,120.00,0.20,0.09,0,157.26,424.64,120.00,5.84,1.88,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",2.86,0.50,5.79,1.16,120.00,0.24,0.10,0,138.22,244.78,120.00,5.31,1.43,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",2.03,0.20,4.14,0.65,120.00,0.17,0.07,0,132.89,778.07,120.00,6.78,2.55,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",2.55,0.35,4.86,1.07,120.00,0.21,0.09,0,139.92,521.60,120.00,6.11,2.08,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",2.24,0.39,4.69,0.81,120.00,0.19,0.08,0,146.48,471.75,120.00,5.98,1.98,0
