startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.15,0.00,0.43,0.00,1800.00,0.02,0.00,0,120.51,1820.17,1800.00,4.90,1.01,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.13,0.00,0.31,0.00,1800.00,0.02,0.00,0,122.46,863.19,1800.00,4.68,0.69,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.13,0.00,0.31,0.00,1800.00,0.02,0.00,0,116.50,1603.99,1800.00,4.85,0.94,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.15,0.00,0.33,0.00,1800.00,0.02,0.00,0,115.76,1634.44,1800.00,4.86,0.95,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.11,0.00,0.37,0.00,1800.00,0.02,0.00,0,105.05,3401.95,1800.00,5.25,1.37,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.10,0.00,0.34,0.00,1800.00,0.02,0.00,0,113.19,2620.32,1800.00,5.08,1.21,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.10,0.00,0.26,0.00,1800.00,0.02,0.00,0,109.03,1358.64,1800.00,4.80,0.87,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.11,0.00,0.26,0.00,1795.00,0.01,0.00,0,117.82,1114.01,1795.00,4.74,0.79,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.12,0.00,0.27,0.00,1800.00,0.02,0.00,0,123.49,1090.92,1800.00,4.74,0.78,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.11,0.00,0.30,0.00,1800.00,0.02,0.00,0,118.83,1639.72,1800.00,4.86,0.95,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.11,0.00,0.26,0.00,1800.00,0.02,0.00,0,124.25,2317.34,1800.00,5.01,1.13,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.12,0.00,0.29,0.00,1800.00,0.02,0.00,0,126.91,1760.36,1800.00,4.89,0.99,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.09,0.00,0.22,0.00,1800.00,0.02,0.00,0,128.77,3655.84,1800.00,5.30,1.43,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.11,0.00,0.48,0.00,1800.00,0.02,0.00,0,151.48,3908.66,1800.00,5.36,1.47,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.10,0.00,0.38,0.00,1800.00,0.02,0.00,0,144.85,4702.05,1800.00,5.52,1.62,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.11,0.00,0.36,0.00,1796.00,0.02,0.00,0,146.43,2536.63,1796.00,5.06,1.19,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.12,0.00,0.36,0.00,1800.00,0.02,0.00,0,157.97,5617.82,1800.00,5.70,1.77,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.08,0.00,0.22,0.00,1800.00,0.02,0.00,0,146.37,5796.42,1800.00,5.73,1.79,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.08,0.00,0.31,0.00,1800.00,0.02,0.00,0,41.59,8094.46,1800.00,6.16,2.12,1
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.08,0.00,0.25,0.00,1800.00,0.02,0.00,0,136.01,7972.59,1800.00,6.14,2.10,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.08,0.00,0.22,0.00,1800.00,0.02,0.00,0,172.51,4631.21,1800.00,5.50,1.60,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.07,0.00,0.20,0.00,1800.00,0.02,0.00,0,323.68,6407.25,1800.00,5.85,1.89,1
