startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.44,0.12,0.72,0.02,120.00,0.03,0.01,0,231.46,69.86,120.00,4.73,0.76,1
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.21,0.08,0.37,0.00,120.00,0.02,0.01,0,177.78,4937.69,120.00,13.59,6.41,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.36,0.12,0.55,0.01,120.00,0.02,0.01,0,187.45,393.32,120.00,5.75,1.81,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.17,0.02,0.32,0.00,120.00,0.02,0.01,0,175.71,441.67,120.00,5.89,1.92,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.21,0.04,0.29,0.00,120.00,0.02,0.00,0,174.81,116.64,120.00,4.89,0.99,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.37,0.10,0.60,0.01,120.00,0.03,0.01,0,139.22,68.75,120.00,4.72,0.76,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.36,0.27,0.48,0.00,120.00,0.02,0.00,0,122.71,47.27,120.00,4.64,0.63,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.29,0.15,0.50,0.01,120.00,0.02,0.01,0,136.30,59.14,120.00,4.69,0.70,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.43,0.20,0.68,0.01,120.00,0.03,0.01,0,129.46,87.61,120.00,4.79,0.85,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.31,0.19,0.49,0.00,120.00,0.02,0.01,0,143.38,96.84,120.00,4.82,0.90,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.41,0.27,0.66,0.01,120.00,0.02,0.01,0,147.30,149.11,120.00,5.00,1.11,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.35,0.22,0.65,0.00,120.00,0.02,0.01,0,156.26,188.72,120.00,5.13,1.25,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.37,0.17,0.64,0.01,120.00,0.03,0.01,0,146.12,127.65,120.00,4.92,1.03,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.32,0.16,0.50,0.00,120.00,0.02,0.00,0,167.84,44.52,120.00,4.64,0.61,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.37,0.25,0.60,0.00,120.00,0.02,0.00,0,169.59,24.47,120.00,4.56,0.45,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.35,0.28,0.49,0.00,120.00,0.02,0.00,0,170.35,24.47,120.00,4.56,0.45,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.33,0.25,0.44,0.00,120.00,0.02,0.00,0,170.62,29.45,120.00,4.58,0.50,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.33,0.22,0.46,0.00,120.00,0.02,0.00,0,174.55,32.77,120.00,4.59,0.52,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.34,0.20,0.51,0.00,120.00,0.02,0.01,0,175.12,43.55,120.00,4.63,0.60,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.30,0.18,0.45,0.00,120.00,0.02,0.01,0,182.26,185.10,120.00,5.12,1.24,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.36,0.25,0.49,0.00,120.00,0.02,0.00,0,178.22,47.08,120.00,4.64,0.63,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.33,0.21,0.52,0.00,120.00,0.02,0.00,0,173.53,28.11,120.00,4.58,0.48,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.33,0.14,0.58,0.01,120.00,0.02,0.01,0,178.58,83.58,120.00,4.77,0.83,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.27,0.17,0.37,0.00,120.00,0.02,0.00,0,170.73,113.83,120.00,4.88,0.97,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.29,0.20,0.41,0.00,120.00,0.02,0.00,0,174.66,67.23,120.00,4.72,0.75,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.30,0.19,0.47,0.00,120.00,0.02,0.01,0,182.90,172.80,120.00,5.08,1.20,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.30,0.13,0.45,0.00,120.00,0.02,0.01,0,182.04,83.10,120.00,4.77,0.83,0
