startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.65,0.01,2.72,0.10,1800.00,0.06,0.01,0,174.77,7211.38,1800.00,6.00,2.00,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.61,0.01,2.70,0.13,1800.00,0.06,0.01,0,166.92,8659.82,1800.00,6.26,2.19,1
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.53,0.00,1.87,0.10,1800.00,0.04,0.01,0,168.54,7098.20,1800.00,5.98,1.99,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.58,0.00,2.22,0.12,1800.00,0.05,0.01,0,188.94,6494.82,1800.00,5.87,1.90,1
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.51,0.01,1.33,0.05,1794.00,0.03,0.01,0,158.19,3193.29,1794.00,5.21,1.33,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.51,0.00,2.13,0.08,1800.00,0.05,0.01,0,189.44,4736.62,1800.00,5.53,1.62,1
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.47,0.01,1.40,0.05,1800.00,0.03,0.01,0,168.18,2985.43,1800.00,5.16,1.29,1
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.47,0.01,1.21,0.06,1800.00,0.03,0.01,0,200.13,1031.04,1800.00,4.72,0.76,1
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.67,0.01,1.37,0.07,1800.00,0.03,0.01,0,213.17,566.34,1800.00,4.61,0.56,1
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.65,0.13,1.29,0.05,1800.00,0.03,0.01,0,214.26,342.51,1800.00,4.56,0.44,1
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.68,0.07,1.31,0.05,1800.00,0.03,0.01,0,220.29,395.44,1800.00,4.57,0.47,1
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.60,0.01,1.27,0.06,1800.00,0.03,0.01,0,215.54,460.38,1800.00,4.59,0.51,1
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.53,0.06,1.41,0.04,1795.00,0.03,0.00,0,227.82,464.11,1795.00,4.59,0.51,1
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.43,0.01,1.17,0.04,1800.00,0.03,0.00,0,237.76,1447.09,1800.00,4.82,0.90,1
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.47,0.01,1.17,0.03,1800.00,0.03,0.00,0,320.25,873.33,1800.00,4.68,0.70,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.33,0.00,0.88,0.03,1800.00,0.02,0.00,0,286.43,6049.58,1800.00,5.78,1.83,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.37,0.00,1.02,0.04,1800.00,0.03,0.00,0,186.23,4143.17,1800.00,5.40,1.52,1
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.28,0.00,0.77,0.02,1800.00,0.02,0.00,0,250.94,3652.03,1800.00,5.30,1.42,1
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.43,0.05,0.88,0.02,1800.00,0.02,0.00,0,246.15,1188.29,1800.00,4.76,0.81,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.31,0.01,0.91,0.02,1800.00,0.02,0.00,0,288.36,2732.33,1800.00,5.11,1.23,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.29,0.00,0.82,0.02,1800.00,0.02,0.00,0,277.52,2683.46,1800.00,5.10,1.22,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.35,0.02,0.87,0.02,1795.00,0.02,0.00,0,213.73,2067.36,1795.00,4.96,1.07,1
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.32,0.01,0.94,0.02,1800.00,0.02,0.00,0,321.71,3442.38,1800.00,5.26,1.38,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.62,0.08,1.43,0.05,1800.00,0.03,0.01,0,24.45,760.04,1800.00,4.66,0.65,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.70,0.00,2.34,0.10,1800.00,0.05,0.01,0,16.62,966.01,1800.00,4.71,0.73,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.68,0.01,1.91,0.10,1800.00,0.04,0.01,0,20.78,3432.26,1800.00,5.26,1.38,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.73,0.02,1.63,0.10,1800.00,0.04,0.01,0,69.49,4578.73,1800.00,5.49,1.59,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.84,0.02,2.07,0.14,1800.00,0.05,0.01,0,109.40,4348.59,1800.00,5.45,1.55,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.82,0.00,2.34,0.16,1800.00,0.05,0.01,0,72.40,5649.16,1800.00,5.71,1.77,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.73,0.00,2.21,0.15,1793.00,0.05,0.01,0,104.79,6453.88,1793.00,5.86,1.90,1
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.88,0.01,2.07,0.13,1800.00,0.05,0.01,0,40.69,4249.02,1800.00,5.43,1.54,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",1.01,0.01,2.48,0.19,1800.00,0.06,0.01,0,137.81,5000.97,1800.00,5.58,1.67,1
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",0.89,0.02,2.48,0.22,1800.00,0.06,0.01,0,111.29,6853.99,1800.00,5.94,1.95,1
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",1.08,0.04,3.18,0.23,1800.00,0.07,0.01,0,132.07,5385.44,1800.00,5.65,1.73,1
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",0.91,0.02,2.52,0.19,1800.00,0.06,0.01,0,224.74,5602.72,1800.00,5.70,1.76,1
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",0.85,0.00,2.29,0.21,1800.00,0.05,0.01,0,209.72,7422.59,1800.00,6.04,2.03,1
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",0.80,0.01,2.43,0.18,1800.00,0.05,0.01,0,233.70,7436.55,1800.00,6.04,2.03,1
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",0.89,0.03,2.50,0.22,1795.00,0.06,0.01,0,268.89,8171.87,1795.00,6.18,2.13,0
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",0.86,0.02,2.61,0.15,1800.00,0.06,0.01,0,288.34,7967.28,1800.00,6.14,2.10,0
"2020-06-01T19:30:00Z","2020-06-01T20:00:00Z",1.02,0.04,3.40,0.25,1800.00,0.07,0.01,0,278.01,4271.55,1800.00,5.43,1.54,1
"2020-06-01T20:00:00Z","2020-06-01T20:30:00Z",0.86,0.00,2.84,0.21,1800.00,0.06,0.01,0,322.37,7065.07,1800.00,5.97,1.98,0
"2020-06-01T20:30:00Z","2020-06-01T21:00:00Z",0.85,0.02,2.83,0.20,1800.00,0.06,0.01,0,297.98,4792.73,1800.00,5.54,1.63,0
"2020-06-01T21:00:00Z","2020-06-01T21:30:00Z",0.68,0.01,2.24,0.14,1800.00,0.05,0.01,0,284.74,4751.25,1800.00,5.53,1.62,0
"2020-06-01T21:30:00Z","2020-06-01T22:00:00Z",0.68,0.02,1.81,0.10,1800.00,0.04,0.01,0,289.12,4384.98,1800.00,5.45,1.56,0
"2020-06-01T22:00:00Z","2020-06-01T22:30:00Z",0.53,0.01,1.61,0.07,1800.00,0.04,0.01,0,295.00,4147.73,1800.00,5.41,1.52,0
"2020-06-01T22:30:00Z","2020-06-01T23:00:00Z",0.59,0.00,1.56,0.08,1795.00,0.04,0.01,0,279.01,6875.70,1795.00,5.94,1.96,0
"2020-06-01T23:00:00Z","2020-06-01T23:30:00Z",0.44,0.00,1.10,0.04,1800.00,0.03,0.00,0,220.40,4586.81,1800.00,5.49,1.60,1
"2020-06-01T23:30:00Z","2020-06-02T00:00:00Z",0.43,0.00,1.21,0.04,1800.00,0.03,0.00,0,235.75,2144.97,1800.00,4.98,1.09,1
"2020-06-02T00:00:00Z","2020-06-02T00:30:00Z",0.33,0.00,0.95,0.02,1800.00,0.02,0.00,0,246.96,1202.18,1800.00,4.76,0.82,0
"2020-06-02T00:30:00Z","2020-06-02T01:00:00Z",0.48,0.02,1.06,0.03,1800.00,0.03,0.00,0,238.45,1137.67,1800.00,4.75,0.80,1
"2020-06-02T01:00:00Z","2020-06-02T01:30:00Z",0.44,0.09,1.01,0.03,1800.00,0.02,0.00,0,206.22,525.16,1800.00,4.60,0.54,1
"2020-06-02T01:30:00Z","2020-06-02T02:00:00Z",0.43,0.09,1.02,0.03,1800.00,0.02,0.00,0,206.78,356.51,1800.00,4.56,0.45,1
"2020-06-02T02:00:00Z","2020-06-02T02:30:00Z",0.46,0.09,0.94,0.03,1800.00,0.02,0.00,0,213.51,374.89,1800.00,4.56,0.46,1
"2020-06-02T02:30:00Z","2020-06-02T03:00:00Z",0.38,0.05,0.88,0.02,1800.00,0.02,0.00,0,202.60,444.86,1800.00,4.58,0.50,1
"2020-06-02T03:00:00Z","2020-06-02T03:30:00Z",0.30,0.11,0.62,0.01,1796.00,0.02,0.00,0,204.70,128.43,1796.00,4.50,0.27,1
"2020-06-02T03:30:00Z","2020-06-02T04:00:00Z",0.45,0.05,0.93,0.03,1800.00,0.02,0.00,0,211.83,86.10,1800.00,4.49,0.22,1
"2020-06-02T04:00:00Z","2020-06-02T04:30:00Z",0.56,0.09,1.05,0.02,1800.00,0.03,0.00,0,229.07,176.48,1800.00,4.52,0.31,0
"2020-06-02T04:30:00Z","2020-06-02T05:00:00Z",0.55,0.02,1.26,0.05,1800.00,0.03,0.01,0,222.38,338.56,1800.00,4.56,0.43,1
"2020-06-02T05:00:00Z","2020-06-02T05:30:00Z",0.28,0.00,1.08,0.04,1800.00,0.03,0.00,0,203.77,1318.42,1800.00,4.79,0.86,1
"2020-06-02T05:30:00Z","2020-06-02T06:00:00Z",0.27,0.00,0.72,0.01,1800.00,0.02,0.00,0,220.60,951.52,1800.00,4.70,0.73,1
"2020-06-02T06:00:00Z","2020-06-02T06:30:00Z",0.25,0.00,0.80,0.02,1800.00,0.02,0.00,0,234.78,2907.49,1800.00,5.14,1.27,1
"2020-06-02T06:30:00Z","2020-06-02T07:00:00Z",0.37,0.01,0.96,0.02,1800.00,0.02,0.00,0,293.34,1290.60,1800.00,4.78,0.85,0
"2020-06-02T07:00:00Z","2020-06-02T07:30:00Z",0.52,0.01,1.15,0.03,1795.00,0.03,0.00,0,295.19,627.43,1795.00,4.63,0.59,0
"2020-06-02T07:30:00Z","2020-06-02T08:00:00Z",0.63,0.02,2.10,0.05,1800.00,0.04,0.01,0,290.97,986.71,1800.00,4.71,0.74,0
"2020-06-02T08:00:00Z","2020-06-02T08:30:00Z",0.64,0.00,1.21,0.04,1800.00,0.03,0.00,0,275.07,681.31,1800.00,4.64,0.62,0
"2020-06-02T08:30:00Z","2020-06-02T09:00:00Z",0.79,0.03,1.56,0.04,1800.00,0.03,0.00,0,246.88,359.00,1800.00,4.56,0.45,0
"2020-06-02T09:00:00Z","2020-06-02T09:30:00Z",0.78,0.07,1.50,0.05,1800.00,0.03,0.01,0,242.11,471.76,1800.00,4.59,0.51,0
"2020-06-02T09:30:00Z","2020-06-02T10:00:00Z",0.84,0.01,1.60,0.06,1800.00,0.04,0.01,0,245.81,633.33,1800.00,4.63,0.59,0
"2020-06-02T10:00:00Z","2020-06-02T10:30:00Z",0.82,0.03,2.11,0.08,1800.00,0.05,0.01,0,245.03,1328.32,1800.00,4.79,0.86,0
"2020-06-02T10:30:00Z","2020-06-02T11:00:00Z",0.87,0.02,1.74,0.05,1800.00,0.04,0.01,0,247.70,626.43,1800.00,4.63,0.59,0
"2020-06-02T11:00:00Z","2020-06-02T11:30:00Z",0.85,0.07,2.37,0.07,1797.00,0.05,0.01,0,252.74,852.84,1797.00,4.68,0.69,0
"2020-06-02T11:30:00Z","2020-06-02T12:00:00Z",0.89,0.01,2.21,0.10,1800.00,0.05,0.01,0,254.53,692.66,1800.00,4.64,0.62,0
"2020-06-02T12:00:00Z","2020-06-02T12:30:00Z",1.00,0.02,3.08,0.18,1800.00,0.07,0.01,0,271.82,1532.31,1800.00,4.84,0.92,0
"2020-06-02T12:30:00Z","2020-06-02T13:00:00Z",1.10,0.07,3.98,0.19,1800.00,0.08,0.01,0,277.67,1744.30,1800.00,4.89,0.98,0
"2020-06-02T13:00:00Z","2020-06-02T13:30:00Z",1.17,0.03,3.90,0.35,1800.00,0.08,0.01,0,280.01,3009.05,1800.00,5.17,1.29,0
"2020-06-02T13:30:00Z","2020-06-02T14:00:00Z",1.11,0.02,4.16,0.30,1800.00,0.09,0.01,0,286.58,2738.37,1800.00,5.11,1.23,0
"2020-06-02T14:00:00Z","2020-06-02T14:30:00Z",1.17,0.04,5.12,0.33,1800.00,0.11,0.01,0,274.25,3106.57,1800.00,5.19,1.31,0
"2020-06-02T14:30:00Z","2020-06-02T15:00:00Z",1.26,0.03,5.18,0.44,1800.00,0.11,0.02,0,281.15,3919.99,1800.00,5.36,1.48,0
"2020-06-02T15:00:00Z","2020-06-02T15:30:00Z",1.20,0.03,4.51,0.34,1796.00,0.09,0.01,0,286.15,3880.30,1796.00,5.35,1.47,0
"2020-06-02T15:30:00Z","2020-06-02T16:00:00Z",1.24,0.01,3.86,0.34,1800.00,0.08,0.01,0,292.13,3712.46,1800.00,5.32,1.44,0
"2020-06-02T16:00:00Z","2020-06-02T16:30:00Z",1.25,0.03,3.95,0.37,1800.00,0.08,0.01,0,285.16,3592.17,1800.00,5.29,1.41,0
"2020-06-02T16:30:00Z","2020-06-02T17:00:00Z",1.32,0.00,5.57,0.43,1800.00,0.13,0.02,0,304.58,3847.31,1800.00,5.34,1.46,0
"2020-06-02T17:00:00Z","2020-06-02T17:30:00Z",1.18,0.04,4.15,0.31,1800.00,0.09,0.01,0,273.31,3602.05,1800.00,5.29,1.41,0
"2020-06-02T17:30:00Z","2020-06-02T18:00:00Z",1.21,0.02,4.65,0.36,1800.00,0.10,0.01,0,296.64,4473.12,1800.00,5.47,1.58,0
"2020-06-02T18:00:00Z","2020-06-02T18:30:00Z",1.10,0.01,4.36,0.34,1800.00,0.09,0.01,0,286.54,4459.63,1800.00,5.47,1.57,0
"2020-06-02T18:30:00Z","2020-06-02T19:00:00Z",1.01,0.03,3.90,0.33,1800.00,0.08,0.01,0,271.23,5088.40,1800.00,5.60,1.68,0
"2020-06-02T19:00:00Z","2020-06-02T19:30:00Z",1.15,0.01,3.34,0.32,1794.00,0.07,0.01,0,254.94,3902.18,1794.00,5.36,1.47,0
"2020-06-02T19:30:00Z","2020-06-02T20:00:00Z",0.97,0.01,3.21,0.24,1800.00,0.07,0.01,0,280.58,4359.82,1800.00,5.45,1.56,0
"2020-06-02T20:00:00Z","2020-06-02T20:30:00Z",1.08,0.01,3.44,0.31,1800.00,0.07,0.01,0,273.85,4521.62,1800.00,5.48,1.58,0
"2020-06-02T20:30:00Z","2020-06-02T21:00:00Z",1.15,0.04,6.16,0.39,1800.00,0.17,0.01,0,291.74,4084.62,1800.00,5.39,1.51,0
"2020-06-02T21:00:00Z","2020-06-02T21:30:00Z",0.96,0.01,3.14,0.22,1800.00,0.07,0.01,0,258.03,3899.09,1800.00,5.35,1.47,1
"2020-06-02T21:30:00Z","2020-06-02T22:00:00Z",0.93,0.02,4.30,0.28,1800.00,0.09,0.01,0,272.69,4128.51,1800.00,5.40,1.51,0
"2020-06-02T22:00:00Z","2020-06-02T22:30:00Z",0.95,0.03,3.89,0.25,1800.00,0.08,0.01,0,257.87,4249.86,1800.00,5.43,1.54,0
"2020-06-02T22:30:00Z","2020-06-02T23:00:00Z",0.86,0.02,3.16,0.21,1800.00,0.07,0.01,0,267.36,3795.36,1800.00,5.33,1.45,1
"2020-06-02T23:00:00Z","2020-06-02T23:30:00Z",0.72,0.02,2.28,0.09,1796.00,0.05,0.01,0,257.94,2442.05,1796.00,5.04,1.17,0
"2020-06-02T23:30:00Z","2020-06-03T00:00:00Z",0.67,0.01,2.44,0.08,1800.00,0.05,0.01,0,255.19,2921.15,1800.00,5.15,1.27,0
"2020-06-03T00:00:00Z","2020-06-03T00:30:00Z",0.66,0.01,2.43,0.09,1800.00,0.05,0.01,0,272.98,1781.47,1800.00,4.89,0.99,0
"2020-06-03T00:30:00Z","2020-06-03T01:00:00Z",0.70,0.00,2.04,0.10,1800.00,0.04,0.01,0,267.98,2310.04,1800.00,5.01,1.13,0
"2020-06-03T01:00:00Z","2020-06-03T01:30:00Z",0.75,0.03,3.03,0.14,1800.00,0.06,0.01,0,260.78,1785.71,1800.00,4.90,1.00,0
"2020-06-03T01:30:00Z","2020-06-03T02:00:00Z",0.75,0.01,2.39,0.13,1800.00,0.05,0.01,0,266.13,1604.31,1800.00,4.85,0.94,0
"2020-06-03T02:00:00Z","2020-06-03T02:30:00Z",0.65,0.00,2.22,0.10,1800.00,0.05,0.01,0,273.78,2104.63,1800.00,4.97,1.08,0
