HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100851,"Mountain Lake 2D Wind L1","2015-09-01T00:00:00Z","2017-05-03T16:29:59Z",TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,0.31,0.00,0.00,180.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.010",CFGLOC100851,"Mountain Lake 2D Wind L1","2017-05-03T16:30:00Z",,TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,0.31,0.00,0.00,0.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.020",CFGLOC100854,"Mountain Lake 2D Wind L2","2015-09-01T00:00:00Z","2017-05-03T15:59:59Z",TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,4.06,0.00,0.00,180.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.020",CFGLOC100854,"Mountain Lake 2D Wind L2","2017-05-03T16:00:00Z",,TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,4.06,0.00,0.00,0.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.030",CFGLOC100857,"Mountain Lake 2D Wind L3","2015-09-01T00:00:00Z","2017-05-03T13:59:59Z",TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,11.97,0.00,0.00,180.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.030",CFGLOC100857,"Mountain Lake 2D Wind L3","2017-05-03T14:00:00Z",,TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,11.97,0.00,0.00,0.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.040",CFGLOC100860,"Mountain Lake 2D Wind L4","2015-09-01T00:00:00Z","2017-05-03T12:59:59Z",TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.25,2.36,19.38,0.00,0.00,180.00,37.378306,-80.524836,1169.67,2.36,4.25,180.00,90.00
"000.040",CFGLOC100860,"Mountain Lake 2D Wind L4","2017-05-03T13:00:00Z",,TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.25,2.36,19.38,0.00,0.00,0.00,37.378306,-80.524836,1169.67,2.36,4.25,180.00,90.00
"000.050",CFGLOC100863,"Mountain Lake 2D Wind L5","2015-09-01T00:00:00Z","2017-05-03T11:59:59Z",TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,24.18,0.00,0.00,180.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
"000.050",CFGLOC100863,"Mountain Lake 2D Wind L5","2017-05-03T12:00:00Z",,TOWER100823,"Mountain Lake Tower","2010-01-01T00:00:00Z",,-4.24,2.36,24.18,0.00,0.00,0.00,37.378306,-80.524836,1169.67,2.36,4.24,180.00,90.00
