startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.38,0.00,1.27,0.04,1800.00,0.03,0.00,0,348.29,4506.13,1800.00,5.48,1.58,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.37,0.02,0.90,0.02,1800.00,0.02,0.00,0,347.34,1152.78,1800.00,4.75,0.80,1
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.38,0.03,1.03,0.03,1800.00,0.03,0.00,0,333.82,1747.14,1800.00,4.89,0.99,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.38,0.00,0.72,0.03,1800.00,0.02,0.00,0,328.87,1372.10,1800.00,4.80,0.87,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.35,0.00,0.97,0.03,1800.00,0.02,0.00,0,354.50,1039.56,1800.00,4.72,0.76,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.34,0.00,0.83,0.02,1797.00,0.02,0.00,0,5.99,1748.78,1797.00,4.89,0.99,1
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.50,0.00,1.05,0.04,1800.00,0.03,0.00,0,348.70,633.04,1800.00,4.63,0.59,1
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.42,0.01,0.94,0.03,1800.00,0.02,0.00,0,354.95,1046.09,1800.00,4.72,0.76,1
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.42,0.00,1.19,0.04,1800.00,0.03,0.00,0,358.24,2630.39,1800.00,5.08,1.21,1
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.42,0.01,1.13,0.04,1800.00,0.03,0.00,0,1.01,2321.36,1800.00,5.02,1.14,1
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.44,0.00,1.34,0.04,1800.00,0.03,0.00,0,25.50,1543.90,1800.00,4.84,0.93,1
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.49,0.01,1.29,0.05,1800.00,0.03,0.01,0,41.38,2006.15,1800.00,4.95,1.06,1
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.41,0.01,1.00,0.03,1800.00,0.02,0.00,0,109.48,3109.83,1800.00,5.19,1.31,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.61,0.02,1.12,0.04,1794.00,0.03,0.00,0,342.63,273.18,1794.00,4.54,0.39,1
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.74,0.12,1.18,0.02,1800.00,0.03,0.00,0,343.10,120.60,1800.00,4.50,0.26,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.59,0.00,1.26,0.04,1800.00,0.03,0.00,0,348.77,516.72,1800.00,4.60,0.54,1
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.58,0.00,1.16,0.05,1800.00,0.03,0.01,0,352.97,559.16,1800.00,4.61,0.56,1
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.41,0.00,1.06,0.04,1800.00,0.03,0.00,0,2.87,1949.60,1800.00,4.93,1.04,1
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.46,0.01,0.99,0.03,1800.00,0.02,0.00,0,2.84,775.60,1800.00,4.66,0.66,1
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.59,0.02,1.19,0.04,1800.00,0.03,0.00,0,355.38,505.85,1800.00,4.60,0.53,1
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.48,0.01,1.34,0.04,1800.00,0.03,0.00,0,9.15,1296.41,1800.00,4.78,0.85,1
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.45,0.00,0.98,0.03,1796.00,0.02,0.00,0,3.22,1421.83,1796.00,4.81,0.89,1
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.44,0.00,1.30,0.05,1800.00,0.03,0.01,0,21.06,2062.33,1800.00,4.96,1.07,1
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.52,0.01,1.16,0.04,1800.00,0.03,0.00,0,358.18,971.77,1800.00,4.71,0.73,1
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.46,0.00,1.32,0.05,1800.00,0.03,0.01,0,357.36,3320.08,1800.00,5.23,1.36,1
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.47,0.00,1.65,0.06,1800.00,0.04,0.01,0,92.01,5086.89,1800.00,5.60,1.68,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.51,0.01,1.72,0.09,1800.00,0.04,0.01,0,92.31,7599.54,1800.00,6.07,2.05,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.54,0.02,1.50,0.07,1800.00,0.03,0.01,0,95.49,7209.03,1800.00,6.00,2.00,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.68,0.01,1.48,0.09,1800.00,0.03,0.01,0,151.71,4672.81,1800.00,5.51,1.61,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.56,0.01,1.38,0.06,1795.00,0.03,0.01,0,11.47,5697.37,1795.00,5.72,1.78,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.60,0.02,1.60,0.07,1800.00,0.04,0.01,0,19.72,4957.18,1800.00,5.57,1.66,1
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",0.47,0.01,1.61,0.07,1800.00,0.04,0.01,0,65.80,8026.57,1800.00,6.15,2.11,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",0.57,0.00,1.29,0.07,1800.00,0.03,0.01,0,53.71,7118.49,1800.00,5.98,1.99,1
