HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100798,"Oak Ridge 2D Wind L1","2015-04-01T00:00:00Z","2017-04-10T13:59:59Z",TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,0.24,0.00,0.00,1.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.010",CFGLOC100798,"Oak Ridge 2D Wind L1","2017-04-10T14:00:00Z",,TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,0.24,0.00,0.00,181.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.020",CFGLOC100801,"Oak Ridge 2D Wind L2","2015-04-01T00:00:00Z","2017-04-10T18:29:59Z",TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,6.04,0.00,0.00,1.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.020",CFGLOC100801,"Oak Ridge 2D Wind L2","2017-04-10T18:30:00Z",,TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,6.04,0.00,0.00,181.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.030",CFGLOC100804,"Oak Ridge 2D Wind L3","2015-04-01T00:00:00Z","2017-04-10T17:29:59Z",TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.97,0.00,0.00,1.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.030",CFGLOC100804,"Oak Ridge 2D Wind L3","2017-04-10T17:30:00Z",,TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.97,0.00,0.00,181.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.040",CFGLOC100807,"Oak Ridge 2D Wind L4","2015-04-01T00:00:00Z","2017-04-10T15:59:59Z",TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,25.32,0.00,0.00,1.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.040",CFGLOC100807,"Oak Ridge 2D Wind L4","2017-04-10T16:00:00Z",,TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.22,25.32,0.00,0.00,181.00,35.964135,-84.282592,343.79,-2.47,-6.18,271.00,181.00
"000.050",CFGLOC100810,"Oak Ridge 2D Wind L5","2015-04-01T00:00:00Z","2017-04-10T15:29:59Z",TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.24,31.32,0.00,0.00,1.00,35.964135,-84.282592,343.79,-2.47,-6.20,271.00,181.00
"000.050",CFGLOC100810,"Oak Ridge 2D Wind L5","2017-04-10T15:30:00Z",,TOWER100775,"Oak Ridge Tower","2010-01-01T00:00:00Z",,2.36,6.24,31.32,0.00,0.00,181.00,35.964135,-84.282592,343.79,-2.47,-6.20,271.00,181.00
