startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.16,0.00,0.42,0.01,1800.00,0.02,0.00,0,273.28,7199.27,1800.00,6.00,2.00,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.15,0.01,0.31,0.00,1800.00,0.02,0.00,0,261.98,2713.80,1800.00,5.10,1.23,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.24,0.01,0.56,0.01,1800.00,0.02,0.00,0,328.39,757.02,1800.00,4.66,0.65,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.19,0.03,0.36,0.00,1800.00,0.01,0.00,0,262.29,1642.49,1800.00,4.86,0.96,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.17,0.05,0.41,0.00,1797.00,0.01,0.00,0,291.70,1645.61,1797.00,4.86,0.96,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.17,0.03,0.36,0.00,1800.00,0.01,0.00,0,309.12,669.65,1800.00,4.64,0.61,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.19,0.00,0.40,0.00,1800.00,0.02,0.00,0,318.45,435.03,1800.00,4.58,0.49,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.22,0.06,0.44,0.00,1800.00,0.01,0.00,0,327.23,356.43,1800.00,4.56,0.44,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.21,0.00,0.47,0.01,1800.00,0.02,0.00,0,292.65,2058.57,1800.00,4.96,1.07,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.19,0.03,0.40,0.00,1800.00,0.01,0.00,0,290.57,1095.28,1800.00,4.74,0.78,0
