HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100570,"Dead Lake 2D Wind L1","2014-12-12T00:00:00Z","2017-04-12T23:59:59Z",TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,0.28,0.00,0.00,10.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.010",CFGLOC100570,"Dead Lake 2D Wind L1","2017-04-13T00:00:00Z",,TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,0.28,0.00,0.00,190.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.020",CFGLOC100573,"Dead Lake 2D Wind L2","2014-12-12T00:00:00Z","2017-04-12T23:59:59Z",TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,4.50,0.00,0.00,10.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.020",CFGLOC100573,"Dead Lake 2D Wind L2","2017-04-13T00:00:00Z",,TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,4.50,0.00,0.00,190.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.030",CFGLOC100576,"Dead Lake 2D Wind L3","2014-12-12T00:00:00Z","2017-04-12T23:59:59Z",TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,18.61,0.00,0.00,10.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.030",CFGLOC100576,"Dead Lake 2D Wind L3","2017-04-13T00:00:00Z",,TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.26,18.61,0.00,0.00,190.00,32.541733,-87.803883,25.01,-3.41,-5.76,280.00,190.00
"000.040",CFGLOC100579,"Dead Lake 2D Wind L4","2014-12-12T00:00:00Z","2017-04-12T23:59:59Z",TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.22,32.44,0.00,0.00,10.00,32.541733,-87.803883,25.01,-3.40,-5.72,280.00,190.00
"000.040",CFGLOC100579,"Dead Lake 2D Wind L4","2017-04-13T00:00:00Z",,TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.22,32.44,0.00,0.00,190.00,32.541733,-87.803883,25.01,-3.40,-5.72,280.00,190.00
"000.050",CFGLOC100582,"Dead Lake 2D Wind L5","2014-12-12T00:00:00Z","2017-04-12T23:59:59Z",TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.28,37.53,0.00,0.00,10.00,32.541733,-87.803883,25.01,-3.41,-5.77,280.00,190.00
"000.050",CFGLOC100582,"Dead Lake 2D Wind L5","2017-04-13T00:00:00Z",,TOWER100552,"Dead Lake Tower","2010-01-01T00:00:00Z",,2.36,6.28,37.53,0.00,0.00,190.00,32.541733,-87.803883,25.01,-3.41,-5.77,280.00,190.00
