HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC102540,"Lenoir Landing 2D Wind L1","2015-12-18T00:00:00Z","2017-04-12T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.37,0.28,0.00,0.00,135.00,31.853860,-88.161180,13.25,-6.08,2.73,315.00,225.00
"000.010",CFGLOC102540,"Lenoir Landing 2D Wind L1","2017-04-13T00:00:00Z",,TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.37,0.28,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.08,2.73,315.00,225.00
"000.020",CFGLOC102546,"Lenoir Landing 2D Wind L2","2015-12-18T00:00:00Z","2017-04-12T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.37,3.29,0.00,0.00,135.00,31.853860,-88.161180,13.25,-6.08,2.73,315.00,225.00
"000.020",CFGLOC102546,"Lenoir Landing 2D Wind L2","2017-04-13T00:00:00Z",,TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.37,3.29,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.08,2.73,315.00,225.00
"000.030",CFGLOC102552,"Lenoir Landing 2D Wind L3","2015-12-18T00:00:00Z","2017-04-12T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,20.06,0.00,0.00,135.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.030",CFGLOC102552,"Lenoir Landing 2D Wind L3","2017-04-13T00:00:00Z",,TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,20.06,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.040",CFGLOC102558,"Lenoir Landing 2D Wind L4","2015-12-18T00:00:00Z","2017-04-12T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,36.71,0.00,0.00,135.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.040",CFGLOC102558,"Lenoir Landing 2D Wind L4","2017-04-13T00:00:00Z","2019-05-23T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,36.71,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.040",CFGLOC102558,"Lenoir Landing 2D Wind L4","2019-05-24T00:00:00Z","2020-08-19T20:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,36.71,0.00,0.00,225.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.040",CFGLOC102558,"Lenoir Landing 2D Wind L4","2020-08-19T21:00:00Z",,TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,36.71,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.050",CFGLOC102564,"Lenoir Landing 2D Wind L5","2015-12-18T00:00:00Z","2017-04-12T23:59:59Z",TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,42.75,0.00,0.00,135.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
"000.050",CFGLOC102564,"Lenoir Landing 2D Wind L5","2017-04-13T00:00:00Z",,TOWER102535,"Lenoir Landing Tower","2010-01-01T00:00:00Z",,6.23,2.36,42.75,0.00,0.00,315.00,31.853860,-88.161180,13.25,-6.07,2.74,315.00,225.00
