startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",2.50,0.92,4.65,0.47,1800.00,0.10,0.02,0,358.60,204.15,1800.00,4.52,0.34,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",3.09,0.92,5.48,0.54,1800.00,0.13,0.02,0,358.37,147.47,1800.00,4.51,0.29,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",3.31,1.18,5.51,0.57,1795.00,0.13,0.02,0,357.62,152.77,1795.00,4.51,0.29,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",2.94,0.63,5.66,0.65,1800.00,0.14,0.02,0,6.99,230.78,1800.00,4.53,0.36,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",2.90,0.89,5.37,0.69,1800.00,0.13,0.02,0,7.87,243.13,1800.00,4.53,0.37,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",3.63,1.08,5.81,0.84,1800.00,0.15,0.02,0,14.84,199.40,1800.00,4.52,0.33,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",3.70,1.54,6.63,0.63,1800.00,0.19,0.02,0,19.74,132.75,1800.00,4.50,0.27,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",3.75,0.95,7.30,0.84,1800.00,0.23,0.02,0,27.33,115.22,1800.00,4.50,0.25,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",3.58,0.98,6.10,0.84,1800.00,0.17,0.02,0,30.70,122.27,1800.00,4.50,0.26,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",4.01,1.30,6.48,0.72,1800.00,0.18,0.02,0,27.65,100.22,1800.00,4.50,0.24,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",3.61,1.13,5.90,0.83,1800.00,0.15,0.02,0,32.63,133.14,1800.00,4.51,0.27,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",3.70,0.87,6.62,0.98,1800.00,0.19,0.02,0,31.34,133.85,1800.00,4.51,0.27,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",3.24,0.17,7.39,1.09,1794.00,0.23,0.02,0,39.12,138.78,1794.00,4.51,0.28,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",3.63,0.64,6.70,1.14,1800.00,0.20,0.03,0,38.29,152.95,1800.00,4.51,0.29,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",3.60,1.10,6.37,0.97,1800.00,0.18,0.02,0,42.44,117.80,1800.00,4.50,0.26,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",3.21,0.67,6.10,1.01,1800.00,0.17,0.02,0,44.35,176.99,1800.00,4.52,0.31,1
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",2.84,0.40,5.62,0.91,1800.00,0.14,0.02,0,43.26,171.11,1800.00,4.51,0.31,1
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",3.03,0.48,5.14,0.83,1800.00,0.12,0.02,0,45.96,141.22,1800.00,4.51,0.28,1
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",2.69,0.54,5.32,0.71,1800.00,0.12,0.02,0,37.90,188.74,1800.00,4.52,0.32,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",2.74,0.74,4.59,0.53,1800.00,0.10,0.02,0,42.37,99.92,1800.00,4.50,0.24,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",3.26,0.53,5.68,0.58,1800.00,0.14,0.02,0,40.94,93.03,1800.00,4.50,0.23,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",3.32,0.70,5.31,0.72,1793.00,0.12,0.02,0,38.85,132.58,1793.00,4.51,0.27,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",3.08,0.82,5.11,0.56,1800.00,0.11,0.02,0,43.17,106.03,1800.00,4.50,0.24,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",2.68,0.42,4.52,0.42,1800.00,0.10,0.02,0,46.77,98.85,1800.00,4.50,0.23,1
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",2.35,0.45,4.59,0.76,1800.00,0.10,0.02,0,48.79,206.29,1800.00,4.52,0.34,1
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",1.79,0.15,4.49,0.66,1800.00,0.10,0.02,0,58.25,302.59,1800.00,4.55,0.41,1
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",1.97,0.08,5.21,0.93,1800.00,0.12,0.02,0,60.13,350.03,1800.00,4.56,0.44,1
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",1.74,0.06,5.14,1.06,1800.00,0.12,0.02,0,62.73,889.33,1800.00,4.69,0.70,1
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",1.15,0.02,3.05,0.32,1800.00,0.07,0.01,0,54.41,948.24,1800.00,4.70,0.73,1
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",1.60,0.00,4.68,0.74,1800.00,0.10,0.02,0,67.82,592.24,1800.00,4.62,0.57,1
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",1.10,0.01,4.25,0.36,1800.00,0.09,0.01,0,72.73,996.76,1800.00,4.71,0.74,1
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",1.13,0.00,3.38,0.32,1794.00,0.07,0.01,0,88.80,2408.06,1794.00,5.04,1.16,1
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",1.13,0.02,4.61,0.64,1800.00,0.10,0.02,0,112.22,3994.34,1800.00,5.37,1.49,1
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",2.11,0.07,4.95,0.64,1800.00,0.11,0.02,0,127.11,1447.58,1800.00,4.82,0.90,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",2.33,0.08,4.97,0.81,1800.00,0.11,0.02,0,145.96,774.20,1800.00,4.66,0.66,0
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",2.06,0.04,5.15,0.95,1800.00,0.12,0.02,0,91.33,728.46,1800.00,4.65,0.64,1
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",1.72,0.00,4.56,1.05,1800.00,0.10,0.02,0,139.59,3284.36,1800.00,5.22,1.35,0
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",2.25,0.01,5.45,1.17,1800.00,0.13,0.03,0,114.31,950.85,1800.00,4.70,0.73,1
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",1.39,0.01,4.16,0.48,1800.00,0.09,0.02,0,112.25,5891.15,1800.00,5.75,1.81,1
"2020-06-01T19:30:00Z","2020-06-01T20:00:00Z",1.25,0.02,3.99,0.50,1796.00,0.09,0.02,0,100.79,2021.44,1796.00,4.95,1.06,1
"2020-06-01T20:00:00Z","2020-06-01T20:30:00Z",1.96,0.06,4.90,0.97,1800.00,0.11,0.02,0,115.40,989.49,1800.00,4.71,0.74,1
"2020-06-01T20:30:00Z","2020-06-01T21:00:00Z",2.36,0.09,5.98,1.18,1800.00,0.16,0.03,0,125.46,775.75,1800.00,4.66,0.66,0
"2020-06-01T21:00:00Z","2020-06-01T21:30:00Z",1.98,0.04,5.61,1.08,1800.00,0.14,0.02,0,142.97,937.28,1800.00,4.70,0.72,0
"2020-06-01T21:30:00Z","2020-06-01T22:00:00Z",2.51,0.20,6.29,1.39,1800.00,0.18,0.03,0,152.67,485.47,1800.00,4.59,0.52,0
"2020-06-01T22:00:00Z","2020-06-01T22:30:00Z",2.44,0.24,5.15,0.82,1800.00,0.12,0.02,0,139.71,332.17,1800.00,4.55,0.43,0
"2020-06-01T22:30:00Z","2020-06-01T23:00:00Z",2.15,0.04,5.30,1.40,1800.00,0.13,0.03,0,145.64,638.32,1800.00,4.63,0.60,0
"2020-06-01T23:00:00Z","2020-06-01T23:30:00Z",1.00,0.15,2.02,0.16,1800.00,0.05,0.01,0,130.35,294.38,1800.00,4.54,0.40,0
"2020-06-01T23:30:00Z","2020-06-02T00:00:00Z",1.21,0.27,2.46,0.15,1800.00,0.05,0.01,0,95.63,151.97,1800.00,4.51,0.29,1
"2020-06-02T00:00:00Z","2020-06-02T00:30:00Z",0.93,0.33,1.77,0.03,1795.00,0.04,0.00,0,68.22,49.28,1795.00,4.48,0.17,1
