startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",6.41,3.50,10.62,2.28,120.00,0.49,0.14,0,155.92,78.11,120.00,4.75,0.81,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",6.69,3.63,12.13,3.67,120.00,0.60,0.17,0,149.04,52.79,120.00,4.66,0.66,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",7.23,4.14,11.18,2.70,120.00,0.53,0.15,0,149.87,79.08,120.00,4.76,0.81,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",7.47,3.78,11.05,2.12,120.00,0.50,0.13,0,143.75,53.10,120.00,4.67,0.67,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",6.84,3.57,10.79,2.44,120.00,0.50,0.14,0,149.61,68.33,120.00,4.72,0.75,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",6.17,3.35,9.94,2.53,120.00,0.47,0.15,0,145.36,82.83,120.00,4.77,0.83,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",5.85,3.39,9.42,1.69,120.00,0.41,0.12,0,155.70,123.77,120.00,4.91,1.02,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",7.16,4.36,10.51,1.77,120.00,0.47,0.12,0,166.91,112.90,120.00,4.87,0.97,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",6.59,3.77,9.75,1.49,120.00,0.42,0.11,0,164.16,86.40,120.00,4.78,0.85,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",6.08,2.77,11.38,2.67,120.00,0.54,0.15,0,148.11,132.21,120.00,4.94,1.05,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",6.27,2.92,9.94,2.43,120.00,0.46,0.14,0,153.69,126.79,120.00,4.92,1.03,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",6.68,3.13,9.84,1.64,120.00,0.43,0.12,0,149.58,79.88,120.00,4.76,0.82,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",6.61,4.21,9.45,1.40,120.00,0.40,0.11,0,148.87,67.79,120.00,4.72,0.75,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",6.86,4.27,10.25,1.51,120.00,0.44,0.11,0,149.09,67.02,120.00,4.72,0.75,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",6.54,3.62,9.30,1.64,120.00,0.41,0.12,0,149.44,73.68,120.00,4.74,0.78,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",7.40,3.94,11.76,2.53,120.00,0.55,0.15,0,146.99,72.98,120.00,4.74,0.78,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",6.75,4.42,10.09,1.71,120.00,0.45,0.12,0,152.05,69.13,120.00,4.72,0.76,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",7.06,4.08,9.88,1.89,120.00,0.44,0.13,0,147.12,95.24,120.00,4.81,0.89,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",6.43,3.34,10.28,1.68,120.00,0.45,0.12,0,159.50,80.35,120.00,4.76,0.82,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",6.58,2.95,10.53,3.38,120.00,0.52,0.17,0,155.08,95.10,120.00,4.81,0.89,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",6.91,3.69,10.43,2.24,120.00,0.48,0.14,0,155.49,113.03,120.00,4.88,0.97,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",7.33,3.62,11.37,2.16,120.00,0.52,0.13,0,154.13,68.69,120.00,4.72,0.76,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",6.77,3.70,11.47,2.67,120.00,0.54,0.15,0,162.29,77.91,120.00,4.75,0.81,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",6.84,3.77,13.51,2.74,120.00,0.66,0.15,0,157.58,98.22,120.00,4.82,0.90,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",5.97,2.99,10.52,2.01,120.00,0.48,0.13,0,164.79,89.80,120.00,4.80,0.87,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",5.81,3.20,8.59,1.40,120.00,0.37,0.11,0,161.62,85.40,120.00,4.78,0.84,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",5.34,2.76,8.61,1.76,120.00,0.38,0.12,0,154.87,67.51,120.00,4.72,0.75,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",6.91,3.43,10.84,2.80,120.00,0.52,0.15,0,154.11,65.87,120.00,4.71,0.74,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",5.72,2.71,8.20,1.34,120.00,0.35,0.11,0,157.07,83.81,120.00,4.77,0.84,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",6.64,3.94,9.26,1.13,120.00,0.38,0.10,0,161.52,77.97,120.00,4.75,0.81,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",6.67,4.04,10.80,2.42,120.00,0.50,0.14,0,160.70,74.87,120.00,4.74,0.79,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",6.43,3.12,8.80,1.34,120.00,0.37,0.11,0,153.63,74.85,120.00,4.74,0.79,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",6.15,3.31,9.65,2.14,120.00,0.44,0.13,0,155.30,71.30,120.00,4.73,0.77,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",6.66,4.01,9.68,1.85,120.00,0.43,0.12,0,154.44,93.91,120.00,4.81,0.88,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",6.72,3.58,10.87,2.32,120.00,0.50,0.14,0,153.76,67.49,120.00,4.72,0.75,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",6.97,3.59,10.39,1.86,120.00,0.46,0.12,0,149.35,77.57,120.00,4.75,0.80,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",5.93,3.64,8.63,1.35,120.00,0.36,0.11,0,146.60,41.49,120.00,4.62,0.59,0
