startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",6.57,3.76,11.60,2.05,120.00,0.53,0.13,0,144.97,73.43,120.00,4.74,0.78,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",6.29,3.57,10.95,2.75,120.00,0.52,0.15,0,149.21,127.04,120.00,4.92,1.03,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",5.81,3.33,9.08,1.68,120.00,0.40,0.12,0,162.16,92.86,120.00,4.81,0.88,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",6.59,2.74,11.58,2.69,120.00,0.55,0.15,0,162.16,82.69,120.00,4.77,0.83,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",7.15,4.08,11.33,3.04,120.00,0.55,0.16,0,164.54,65.97,120.00,4.71,0.74,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",6.66,4.05,10.50,2.26,120.00,0.48,0.14,0,161.59,54.58,120.00,4.67,0.67,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",6.81,2.84,10.65,2.29,120.00,0.49,0.14,0,156.56,69.16,120.00,4.72,0.76,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",6.93,3.81,10.56,1.65,120.00,0.46,0.12,0,157.01,85.10,120.00,4.78,0.84,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",7.15,3.05,10.19,2.47,120.00,0.48,0.14,0,153.19,86.28,120.00,4.78,0.85,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",6.63,3.09,11.33,3.26,120.00,0.55,0.16,0,157.64,68.13,120.00,4.72,0.75,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",6.50,2.87,9.84,2.22,120.00,0.45,0.14,0,153.22,105.46,120.00,4.85,0.94,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",6.61,3.22,10.44,2.03,120.00,0.47,0.13,0,160.35,78.22,120.00,4.75,0.81,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",6.32,3.47,9.17,1.58,120.00,0.40,0.11,0,152.17,83.99,120.00,4.77,0.84,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",7.05,3.46,10.24,2.28,120.00,0.47,0.14,0,146.28,68.32,120.00,4.72,0.75,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",6.68,3.94,10.51,2.00,120.00,0.47,0.13,0,146.85,90.50,120.00,4.80,0.87,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",6.70,4.19,9.42,1.36,120.00,0.40,0.11,0,154.40,83.62,120.00,4.77,0.83,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",5.80,2.72,8.89,1.98,120.00,0.40,0.13,0,156.07,75.16,120.00,4.74,0.79,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",7.12,3.64,10.25,2.36,120.00,0.48,0.14,0,151.61,53.45,120.00,4.67,0.67,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",6.49,3.32,9.27,1.63,120.00,0.40,0.12,0,149.59,88.55,120.00,4.79,0.86,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",6.58,3.65,10.75,1.85,120.00,0.48,0.12,0,146.59,75.74,120.00,4.75,0.79,0
