startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",9.46,5.28,14.93,2.58,1800.00,0.70,0.04,0,157.73,33.72,1800.00,4.48,0.14,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",8.28,4.34,13.47,2.28,1800.00,0.59,0.04,0,158.60,32.69,1800.00,4.48,0.13,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",8.03,4.15,12.25,1.96,1800.00,0.50,0.03,0,164.20,37.52,1800.00,4.48,0.14,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",7.24,3.74,11.23,1.73,1800.00,0.44,0.03,0,162.42,31.65,1800.00,4.48,0.13,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",6.27,3.01,11.83,1.22,1800.00,0.47,0.03,0,162.49,51.76,1800.00,4.48,0.17,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",5.18,2.59,8.58,1.14,1800.00,0.30,0.03,0,150.82,47.34,1800.00,4.48,0.16,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",3.53,1.95,5.81,0.39,1800.00,0.15,0.01,0,149.62,29.53,1800.00,4.48,0.13,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",3.19,1.73,5.17,0.35,1797.00,0.11,0.01,0,151.57,26.65,1797.00,4.48,0.12,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",3.87,2.27,5.89,0.38,1800.00,0.15,0.01,0,148.93,32.47,1800.00,4.48,0.13,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",3.64,1.98,5.91,0.38,1800.00,0.15,0.01,0,151.99,34.44,1800.00,4.48,0.14,0
