startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",7.48,3.67,11.63,2.04,1800.00,0.46,0.03,0,150.18,61.39,1800.00,4.49,0.18,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",7.46,3.57,11.87,2.00,1796.00,0.48,0.03,0,150.39,51.73,1796.00,4.48,0.17,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",6.62,3.11,11.91,2.41,1800.00,0.48,0.04,0,156.50,60.72,1800.00,4.49,0.18,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",6.09,3.12,10.66,1.73,1800.00,0.41,0.03,0,153.52,48.53,1800.00,4.48,0.16,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",5.33,2.49,8.96,1.28,1800.00,0.32,0.03,0,154.42,66.55,1800.00,4.49,0.19,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",4.30,1.73,7.81,0.79,1800.00,0.26,0.02,0,139.03,65.87,1800.00,4.49,0.19,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",3.47,1.76,5.68,0.44,1800.00,0.14,0.02,0,139.57,45.21,1800.00,4.48,0.16,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",2.90,1.47,4.86,0.34,1800.00,0.10,0.01,0,142.61,41.74,1800.00,4.48,0.15,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",3.77,2.06,5.99,0.51,1800.00,0.16,0.02,0,137.62,47.75,1800.00,4.48,0.16,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",3.37,1.73,6.16,0.48,1795.00,0.17,0.02,0,141.81,42.09,1795.00,4.48,0.15,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",3.47,1.44,6.53,0.89,1800.00,0.19,0.02,0,143.44,52.01,1800.00,4.49,0.17,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",3.76,2.00,6.08,0.54,1800.00,0.16,0.02,0,140.69,75.36,1800.00,4.49,0.20,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",3.95,2.00,7.00,0.58,1800.00,0.21,0.02,0,132.38,53.61,1800.00,4.49,0.17,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",3.87,1.90,6.90,0.63,1800.00,0.21,0.02,0,133.45,64.13,1800.00,4.49,0.19,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",4.59,2.12,7.91,0.95,1800.00,0.26,0.02,0,130.40,58.13,1800.00,4.49,0.18,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",3.87,1.42,7.59,0.85,1800.00,0.24,0.02,0,132.41,70.75,1800.00,4.49,0.20,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",2.74,1.10,5.33,0.41,1800.00,0.12,0.02,0,141.89,61.09,1800.00,4.49,0.18,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",2.21,1.06,3.64,0.22,1797.00,0.08,0.01,0,151.12,82.13,1797.00,4.49,0.21,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",2.17,0.72,3.95,0.47,1798.00,0.09,0.02,0,165.33,317.53,1798.00,4.55,0.42,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",2.54,1.23,4.33,0.24,1800.00,0.09,0.01,0,162.58,201.74,1800.00,4.52,0.33,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",2.61,1.21,4.06,0.25,1800.00,0.09,0.01,0,186.49,48.86,1800.00,4.48,0.16,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",1.38,0.04,3.67,0.55,1800.00,0.08,0.02,0,225.84,2889.83,1800.00,5.14,1.27,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",1.45,0.48,3.23,0.18,1800.00,0.07,0.01,0,228.92,532.37,1800.00,4.60,0.54,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",1.43,0.39,3.66,0.31,1800.00,0.08,0.01,0,235.04,441.06,1800.00,4.58,0.50,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",2.59,0.89,5.40,0.50,1800.00,0.13,0.02,0,280.16,206.53,1800.00,4.52,0.34,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",3.69,1.75,7.01,0.62,1800.00,0.21,0.02,0,274.25,111.08,1800.00,4.50,0.25,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",4.26,1.38,7.32,0.76,1794.00,0.23,0.02,0,258.23,131.69,1794.00,4.50,0.27,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",3.90,1.09,6.85,0.76,1800.00,0.20,0.02,0,272.20,115.50,1800.00,4.50,0.25,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",4.64,1.84,8.37,1.06,1800.00,0.29,0.02,0,279.54,116.63,1800.00,4.50,0.25,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",5.25,2.47,8.92,1.17,1800.00,0.32,0.03,0,293.22,109.25,1800.00,4.50,0.25,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",5.67,3.14,9.00,1.21,1800.00,0.32,0.03,0,309.19,157.80,1800.00,4.51,0.30,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",5.65,2.53,10.45,1.50,1800.00,0.40,0.03,0,325.54,136.37,1800.00,4.51,0.28,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",5.86,3.11,9.38,1.30,1800.00,0.34,0.03,0,327.77,152.05,1800.00,4.51,0.29,0
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",6.31,3.42,10.81,1.29,1800.00,0.42,0.03,0,341.37,153.38,1800.00,4.51,0.29,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",6.94,3.68,11.71,1.74,1795.00,0.47,0.03,0,355.28,63.24,1795.00,4.49,0.19,0
