startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",2.14,0.32,5.68,0.58,1800.00,0.14,0.02,0,201.05,112.97,1800.00,4.50,0.25,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",1.96,0.99,2.83,0.06,1800.00,0.06,0.01,0,201.21,32.06,1800.00,4.48,0.13,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",2.06,0.20,10.46,2.75,1800.00,0.40,0.04,0,236.86,1236.45,1800.00,4.77,0.83,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",3.05,1.07,9.40,2.41,1800.00,0.35,0.04,0,213.58,562.95,1800.00,4.61,0.56,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",2.18,0.90,3.28,0.10,1797.00,0.07,0.01,0,224.13,71.30,1797.00,4.49,0.20,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",1.93,0.97,2.92,0.09,1800.00,0.06,0.01,0,209.56,98.49,1800.00,4.50,0.23,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",1.36,0.43,2.42,0.14,1800.00,0.05,0.01,0,245.14,1374.97,1800.00,4.80,0.87,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",2.45,0.86,5.39,0.58,1800.00,0.13,0.02,0,261.84,1067.31,1800.00,4.73,0.77,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",1.58,0.05,3.70,0.34,1796.00,0.08,0.01,0,322.34,2175.60,1796.00,4.98,1.10,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",1.28,0.02,3.26,0.46,1800.00,0.07,0.02,0,42.64,4189.13,1800.00,5.41,1.53,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",1.09,0.00,2.33,0.21,1800.00,0.05,0.01,0,138.29,8051.79,1800.00,6.16,2.11,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.81,0.20,1.72,0.09,1800.00,0.04,0.01,0,249.17,1981.20,1800.00,4.94,1.05,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.85,0.00,1.77,0.13,1800.00,0.04,0.01,0,261.01,5682.06,1800.00,5.71,1.78,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",1.21,0.40,2.23,0.12,1796.00,0.05,0.01,0,271.74,664.95,1796.00,4.63,0.61,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",1.06,0.10,2.30,0.16,1800.00,0.05,0.01,0,170.60,4409.08,1800.00,5.46,1.57,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",1.99,0.00,6.60,2.71,1800.00,0.20,0.04,0,266.29,3240.93,1800.00,5.22,1.34,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",2.84,0.30,5.03,0.48,1800.00,0.11,0.02,0,237.49,363.41,1800.00,4.56,0.45,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",2.06,0.39,3.97,0.27,1797.00,0.08,0.01,0,278.54,217.04,1797.00,4.53,0.35,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",2.44,1.15,5.84,0.60,1800.00,0.15,0.02,0,232.44,292.34,1800.00,4.54,0.40,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.93,0.02,3.70,0.33,1800.00,0.08,0.01,0,277.74,1253.08,1800.00,4.77,0.83,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",1.01,0.01,4.34,0.95,1800.00,0.10,0.02,0,271.36,1994.19,1800.00,4.94,1.05,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",2.54,1.36,4.50,0.23,1800.00,0.09,0.01,0,230.13,109.91,1800.00,4.50,0.25,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",1.24,0.01,2.68,0.38,1797.00,0.06,0.01,0,265.75,3562.00,1797.00,5.28,1.41,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",1.96,0.47,3.70,0.26,1800.00,0.08,0.01,0,244.93,1119.65,1800.00,4.74,0.79,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",1.71,0.01,3.61,0.43,1800.00,0.08,0.02,0,218.62,768.50,1800.00,4.66,0.65,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",1.44,0.03,3.29,0.40,1800.00,0.07,0.01,0,204.66,1633.21,1800.00,4.86,0.95,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",1.72,0.13,2.76,0.21,1798.00,0.06,0.01,0,218.31,270.02,1798.00,4.54,0.39,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",1.47,0.09,3.77,0.58,1800.00,0.08,0.02,0,296.34,4564.15,1800.00,5.49,1.59,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",1.22,0.01,3.85,1.14,1800.00,0.09,0.03,0,224.08,5478.45,1800.00,5.67,1.74,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",2.93,0.50,6.71,0.87,1800.00,0.20,0.02,0,248.45,677.75,1800.00,4.64,0.61,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",4.08,1.73,6.71,0.86,1800.00,0.20,0.02,0,242.05,224.57,1800.00,4.53,0.35,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",3.26,0.76,6.63,0.94,1798.00,0.19,0.02,0,234.36,342.22,1798.00,4.56,0.44,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",2.06,0.01,5.77,1.24,1800.00,0.15,0.03,0,280.77,2360.16,1800.00,5.02,1.15,0
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",2.04,0.30,3.74,0.32,1800.00,0.08,0.01,0,299.84,424.38,1800.00,4.58,0.49,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",1.56,0.04,4.66,0.74,1800.00,0.10,0.02,0,284.80,3324.49,1800.00,5.23,1.36,0
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",2.37,0.07,6.04,1.33,1797.00,0.17,0.03,0,271.46,3346.69,1797.00,5.24,1.36,0
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",2.37,0.10,5.47,1.13,1800.00,0.14,0.03,0,313.12,1204.06,1800.00,4.76,0.82,0
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",2.87,0.03,6.63,1.73,1800.00,0.20,0.03,0,324.35,1524.38,1800.00,4.84,0.92,0
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",2.59,0.09,7.50,2.65,1800.00,0.25,0.04,0,160.04,6093.82,1800.00,5.79,1.84,0
"2020-06-01T19:30:00Z","2020-06-01T20:00:00Z",1.74,0.00,7.08,0.98,1797.00,0.22,0.02,0,160.06,6302.92,1797.00,5.83,1.87,0
"2020-06-01T20:00:00Z","2020-06-01T20:30:00Z",2.42,0.21,5.61,1.19,1800.00,0.14,0.03,0,139.55,1924.39,1800.00,4.93,1.03,0
"2020-06-01T20:30:00Z","2020-06-01T21:00:00Z",2.88,0.13,8.20,1.86,1800.00,0.28,0.03,0,156.70,2303.82,1800.00,5.01,1.13,0
"2020-06-01T21:00:00Z","2020-06-01T21:30:00Z",3.76,0.65,7.81,1.45,1800.00,0.26,0.03,0,189.07,1596.65,1800.00,4.85,0.94,0
"2020-06-01T21:30:00Z","2020-06-01T22:00:00Z",3.12,0.13,7.44,1.58,1800.00,0.24,0.03,0,187.35,446.08,1800.00,4.58,0.50,0
"2020-06-01T22:00:00Z","2020-06-01T22:30:00Z",3.23,0.09,7.70,2.49,1799.00,0.26,0.04,0,160.13,1081.41,1799.00,4.73,0.78,0
"2020-06-01T22:30:00Z","2020-06-01T23:00:00Z",3.65,0.27,7.89,2.19,1800.00,0.27,0.03,0,179.16,1208.54,1800.00,4.76,0.82,0
"2020-06-01T23:00:00Z","2020-06-01T23:30:00Z",2.71,0.28,5.77,0.84,1800.00,0.15,0.02,0,182.28,1580.98,1800.00,4.85,0.94,0
"2020-06-01T23:30:00Z","2020-06-02T00:00:00Z",1.97,0.50,3.93,0.35,1800.00,0.08,0.01,0,168.43,528.54,1800.00,4.60,0.54,0
"2020-06-02T00:00:00Z","2020-06-02T00:30:00Z",1.78,0.26,5.60,0.77,1797.00,0.14,0.02,0,158.20,449.03,1797.00,4.58,0.50,0
"2020-06-02T00:30:00Z","2020-06-02T01:00:00Z",0.91,0.02,2.74,0.23,1800.00,0.06,0.01,0,59.42,5341.00,1800.00,5.65,1.72,0
"2020-06-02T01:00:00Z","2020-06-02T01:30:00Z",0.83,0.00,2.74,0.23,1800.00,0.06,0.01,0,56.25,8393.58,1800.00,6.22,2.16,0
"2020-06-02T01:30:00Z","2020-06-02T02:00:00Z",2.89,0.01,10.03,2.32,1800.00,0.38,0.04,0,138.62,991.40,1800.00,4.71,0.74,0
"2020-06-02T02:00:00Z","2020-06-02T02:30:00Z",3.62,0.13,10.69,2.72,1798.00,0.42,0.04,0,141.44,1500.07,1798.00,4.83,0.91,0
"2020-06-02T02:30:00Z","2020-06-02T03:00:00Z",2.42,0.05,5.51,1.22,1800.00,0.14,0.03,0,163.22,869.89,1800.00,4.68,0.70,0
"2020-06-02T03:00:00Z","2020-06-02T03:30:00Z",2.83,0.08,7.37,2.20,1800.00,0.24,0.03,0,205.20,583.81,1800.00,4.61,0.57,0
