startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",5.03,3.31,6.63,0.51,120.00,0.23,0.07,0,219.39,47.86,120.00,4.65,0.63,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",4.15,2.48,5.64,0.39,120.00,0.18,0.06,0,210.87,51.07,120.00,4.66,0.65,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",4.83,3.18,5.96,0.46,120.00,0.20,0.06,0,212.79,27.70,120.00,4.57,0.48,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",4.88,3.28,6.36,0.49,120.00,0.22,0.06,0,211.55,29.79,120.00,4.58,0.50,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",4.93,3.03,6.77,0.55,120.00,0.24,0.07,0,216.13,24.00,120.00,4.56,0.45,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",4.56,3.22,6.83,0.51,120.00,0.24,0.07,0,208.31,63.43,120.00,4.70,0.73,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",7.07,4.68,9.97,1.41,120.00,0.43,0.11,0,202.62,43.27,120.00,4.63,0.60,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",9.38,7.54,11.36,0.64,120.00,0.47,0.07,0,188.31,21.75,120.00,4.55,0.43,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",7.76,4.76,10.36,1.33,120.00,0.44,0.11,0,184.39,27.39,120.00,4.57,0.48,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",8.46,6.64,10.46,0.91,120.00,0.43,0.09,0,185.56,29.39,120.00,4.58,0.49,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",7.42,5.21,10.10,1.52,120.00,0.44,0.11,0,178.01,36.67,120.00,4.61,0.55,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",8.92,6.42,12.06,1.60,120.00,0.54,0.12,0,176.96,30.22,120.00,4.58,0.50,0
