HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100666,"Rocky Mountain 2D Wind L1","2016-03-21T00:00:00Z","2017-04-18T20:29:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,0.28,0.00,0.00,33.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.010",CFGLOC100666,"Rocky Mountain 2D Wind L1","2017-04-18T20:30:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,0.28,0.00,0.00,213.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.010",CFGLOC100666,"Rocky Mountain 2D Wind L1","2000-01-01T00:00:00Z","2016-03-20T23:59:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,0.28,0.00,0.00,303.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.020",CFGLOC100669,"Rocky Mountain 2D Wind L2","2016-03-21T00:00:00Z","2017-04-18T20:29:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,4.24,0.00,0.00,33.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.020",CFGLOC100669,"Rocky Mountain 2D Wind L2","2017-04-18T20:30:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,4.24,0.00,0.00,213.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.020",CFGLOC100669,"Rocky Mountain 2D Wind L2","2000-01-01T00:00:00Z","2016-03-20T23:59:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.37,6.24,4.24,0.00,0.00,303.00,40.275903,-105.545955,2741.57,-5.39,-3.94,303.00,213.00
"000.030",CFGLOC100672,"Rocky Mountain 2D Wind L3","2014-10-24T00:00:00Z","2017-04-17T23:59:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,6.23,10.53,0.00,0.00,33.00,40.275903,-105.545955,2741.57,-5.37,-3.94,303.00,213.00
"000.030",CFGLOC100672,"Rocky Mountain 2D Wind L3","2017-04-18T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,6.23,10.53,0.00,0.00,213.00,40.275903,-105.545955,2741.57,-5.37,-3.94,303.00,213.00
"000.040",CFGLOC100675,"Rocky Mountain 2D Wind L4","2014-10-24T00:00:00Z","2017-04-17T23:59:59Z",TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.60,0.00,0.00,33.00,40.275903,-105.545955,2741.57,-5.37,-3.93,303.00,213.00
"000.040",CFGLOC100675,"Rocky Mountain 2D Wind L4","2017-04-18T00:00:00Z",,TOWER100645,"Rocky Mountain Tower","2010-01-01T00:00:00Z",,2.36,6.22,15.60,0.00,0.00,213.00,40.275903,-105.545955,2741.57,-5.37,-3.93,303.00,213.00
