startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",2.49,1.76,3.67,0.14,120.00,0.10,0.03,0,131.77,37.92,120.00,10.83,0.56,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",3.18,2.22,4.32,0.21,120.00,0.12,0.04,0,136.50,78.47,120.00,10.89,0.81,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",3.70,2.71,5.07,0.27,120.00,0.14,0.05,0,143.07,29.18,120.00,10.82,0.49,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",3.31,2.11,4.53,0.25,120.00,0.13,0.05,0,140.67,23.17,120.00,10.81,0.44,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",3.59,2.48,5.20,0.38,120.00,0.16,0.06,0,139.53,29.06,120.00,10.82,0.49,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",3.46,2.31,5.20,0.43,120.00,0.16,0.06,0,137.55,37.66,120.00,10.83,0.56,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",4.17,2.86,5.80,0.46,120.00,0.19,0.06,0,146.42,52.13,120.00,10.85,0.66,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",4.21,3.09,5.38,0.22,120.00,0.15,0.04,0,143.91,30.92,120.00,10.82,0.51,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",4.22,3.11,5.81,0.35,120.00,0.18,0.05,0,146.30,30.49,120.00,10.82,0.50,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",4.09,3.13,5.97,0.30,120.00,0.18,0.05,0,140.01,45.22,120.00,10.84,0.61,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",3.98,2.78,5.74,0.39,120.00,0.18,0.06,0,141.01,30.62,120.00,10.82,0.51,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",3.37,2.58,4.51,0.23,120.00,0.13,0.04,0,143.82,23.96,120.00,10.81,0.45,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",3.44,2.42,4.38,0.18,120.00,0.12,0.04,0,147.11,25.32,120.00,10.81,0.46,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",3.37,2.48,4.36,0.22,120.00,0.12,0.04,0,144.06,47.21,120.00,10.84,0.63,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",3.64,2.62,4.45,0.18,120.00,0.12,0.04,0,146.47,26.91,120.00,10.81,0.47,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",3.57,2.74,4.57,0.16,120.00,0.12,0.04,0,146.27,32.23,120.00,10.82,0.52,0
