startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",0.09,0.00,0.29,0.00,1795.00,0.02,0.00,0,219.54,5190.24,1795.00,5.62,1.70,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",0.05,0.00,0.25,0.00,1800.00,0.02,0.00,0,242.20,7088.19,1800.00,5.98,1.98,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",0.06,0.00,0.18,0.00,1800.00,0.02,0.00,0,199.51,4686.51,1800.00,5.51,1.61,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",0.06,0.00,0.20,0.00,1800.00,0.02,0.00,0,199.20,4507.86,1800.00,5.48,1.58,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",0.05,0.00,0.13,0.00,1800.00,0.02,0.00,0,184.66,1965.70,1800.00,4.94,1.05,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",0.06,0.00,0.13,0.00,1800.00,0.02,0.00,0,189.45,682.54,1800.00,4.64,0.62,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.09,0.00,0.23,0.00,1800.00,0.02,0.00,0,189.80,1492.08,1800.00,4.83,0.91,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.07,0.00,0.19,0.00,1800.00,0.02,0.00,0,194.02,1398.67,1800.00,4.81,0.88,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",0.07,0.00,0.15,0.00,1795.00,0.02,0.00,0,188.83,1127.17,1795.00,4.74,0.79,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",0.06,0.00,0.17,0.00,1800.00,0.02,0.00,0,191.21,1179.46,1800.00,4.76,0.81,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",0.07,0.01,0.13,0.00,1800.00,0.02,0.00,0,180.62,205.40,1800.00,4.52,0.34,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.05,0.00,0.12,0.00,1800.00,0.02,0.00,0,182.44,781.41,1800.00,4.66,0.66,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.04,0.00,0.11,0.00,1800.00,0.02,0.00,0,204.57,2380.25,1800.00,5.03,1.15,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.03,0.00,0.10,0.00,1800.00,0.02,0.00,0,205.66,2481.41,1800.00,5.05,1.17,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.05,0.00,0.11,0.00,1800.00,0.02,0.00,0,186.34,1003.14,1800.00,4.71,0.75,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.06,0.00,0.13,0.00,1800.00,0.02,0.00,0,179.16,204.29,1800.00,4.52,0.34,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.05,0.00,0.12,0.00,1795.00,0.02,0.00,0,181.41,493.90,1795.00,4.59,0.52,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.05,0.00,0.12,0.00,1800.00,0.02,0.00,0,184.65,829.13,1800.00,4.67,0.68,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.06,0.00,0.12,0.00,1800.00,0.02,0.00,0,184.62,538.09,1800.00,4.60,0.55,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.05,0.00,0.12,0.00,1800.00,0.02,0.00,0,193.87,1598.15,1800.00,4.85,0.94,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.06,0.00,0.13,0.00,1800.00,0.02,0.00,0,185.80,615.05,1800.00,4.62,0.58,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.06,0.00,0.14,0.00,1800.00,0.02,0.00,0,196.99,1392.36,1800.00,4.81,0.88,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.06,0.00,0.17,0.00,1800.00,0.02,0.00,0,192.49,952.64,1800.00,4.70,0.73,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.05,0.00,0.15,0.00,1800.00,0.02,0.00,0,201.09,1318.63,1800.00,4.79,0.86,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.05,0.00,0.17,0.00,1796.00,0.02,0.00,0,247.71,4168.01,1796.00,5.41,1.52,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.05,0.00,0.18,0.00,1800.00,0.02,0.00,0,293.20,6163.67,1800.00,5.80,1.85,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.06,0.00,0.22,0.00,1800.00,0.02,0.00,0,234.79,6544.93,1800.00,5.88,1.91,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.10,0.00,0.39,0.00,1800.00,0.02,0.00,0,221.66,10337.69,1800.00,6.56,2.40,1
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.08,0.00,0.37,0.00,1800.00,0.02,0.00,0,223.44,5979.57,1800.00,5.77,1.82,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.09,0.00,0.55,0.00,1800.00,0.02,0.00,0,223.72,7458.08,1800.00,6.05,2.04,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.12,0.00,0.55,0.00,1800.00,0.02,0.00,0,219.99,6614.97,1800.00,5.89,1.92,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",0.13,0.00,0.55,0.00,1800.00,0.02,0.00,0,262.42,9163.57,1800.00,6.35,2.26,0
