startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",4.29,2.63,6.70,0.74,120.00,0.25,0.08,0,176.35,51.92,120.00,4.66,0.66,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",4.85,2.86,7.09,0.61,120.00,0.26,0.07,0,170.84,54.07,120.00,4.67,0.67,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",5.20,2.90,8.77,1.57,120.00,0.38,0.11,0,181.48,54.48,120.00,4.67,0.67,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",6.02,3.33,8.55,1.04,120.00,0.35,0.09,0,168.63,56.87,120.00,4.68,0.69,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",5.91,3.43,8.11,0.90,120.00,0.32,0.09,0,172.44,61.03,120.00,4.69,0.71,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",5.85,3.99,7.72,0.66,120.00,0.29,0.07,0,175.42,29.70,120.00,4.58,0.50,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",4.26,2.41,6.09,0.64,120.00,0.22,0.07,0,167.09,45.42,120.00,4.64,0.62,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",4.30,3.02,5.90,0.36,120.00,0.19,0.05,0,168.87,59.81,120.00,4.69,0.71,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",4.12,2.33,6.39,0.52,120.00,0.22,0.07,0,168.61,54.44,120.00,4.67,0.67,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",4.90,2.47,6.93,0.75,120.00,0.26,0.08,0,168.30,52.41,120.00,4.66,0.66,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",4.66,2.90,6.53,0.54,120.00,0.23,0.07,0,165.94,65.78,120.00,4.71,0.74,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",4.39,2.44,5.95,0.52,120.00,0.20,0.07,0,158.98,42.09,120.00,4.63,0.59,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",3.80,2.70,5.25,0.29,120.00,0.15,0.05,0,156.13,36.04,120.00,4.60,0.55,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",4.63,3.15,6.90,0.49,120.00,0.24,0.06,0,159.51,84.05,120.00,4.78,0.84,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",4.62,2.97,6.72,0.54,120.00,0.23,0.07,0,153.66,46.26,120.00,4.64,0.62,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",5.51,2.76,8.27,1.72,120.00,0.37,0.12,0,150.08,52.47,120.00,4.66,0.66,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",6.29,3.06,8.50,1.46,120.00,0.36,0.11,0,147.49,54.56,120.00,4.67,0.67,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",5.61,2.40,8.08,1.38,120.00,0.34,0.11,0,144.53,64.57,120.00,4.71,0.73,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",6.42,4.00,8.96,1.24,120.00,0.37,0.10,0,147.12,32.05,120.00,4.59,0.52,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",6.36,3.74,9.59,1.61,120.00,0.42,0.12,0,144.38,35.50,120.00,4.60,0.54,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",6.19,3.73,7.97,0.76,120.00,0.31,0.08,0,151.33,38.76,120.00,4.61,0.57,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",6.73,4.28,9.52,1.49,120.00,0.41,0.11,0,145.06,49.01,120.00,4.65,0.64,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",6.54,4.40,8.45,0.75,120.00,0.33,0.08,0,143.45,38.05,120.00,4.61,0.56,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",5.46,3.45,7.45,0.89,120.00,0.29,0.09,0,145.65,40.19,120.00,4.62,0.58,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",5.15,3.19,6.81,0.55,120.00,0.24,0.07,0,149.01,29.61,120.00,4.58,0.50,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",5.66,2.91,7.55,1.01,120.00,0.30,0.09,0,147.76,37.52,120.00,4.61,0.56,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",4.93,2.70,7.41,1.01,120.00,0.29,0.09,0,146.84,28.89,120.00,4.58,0.49,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",5.35,3.56,7.54,0.81,120.00,0.29,0.08,0,144.00,61.97,120.00,4.70,0.72,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",5.70,3.61,7.54,0.73,120.00,0.28,0.08,0,146.36,32.17,120.00,4.59,0.52,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",5.19,3.24,7.92,1.17,120.00,0.33,0.10,0,144.79,50.01,120.00,4.65,0.65,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",5.52,3.63,7.72,0.60,120.00,0.28,0.07,0,146.34,31.74,120.00,4.59,0.51,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",4.66,2.75,6.96,1.09,120.00,0.28,0.10,0,146.25,24.57,120.00,4.56,0.45,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",5.01,3.08,6.81,0.68,116.00,0.25,0.08,0,147.45,30.56,116.00,4.59,0.51,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",4.55,2.38,6.66,0.78,120.00,0.25,0.08,0,145.15,38.91,120.00,4.61,0.57,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",4.59,3.12,5.61,0.35,120.00,0.17,0.05,0,147.17,24.25,120.00,4.56,0.45,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",4.39,2.61,6.85,0.90,120.00,0.26,0.09,0,148.13,30.76,120.00,4.59,0.51,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",4.93,2.72,7.69,1.20,120.00,0.32,0.10,0,146.46,40.81,120.00,4.62,0.58,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",5.15,3.38,7.04,0.72,120.00,0.26,0.08,0,147.89,41.10,120.00,4.62,0.59,0
