startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.54,0.18,0.81,0.02,120.00,0.03,0.01,0,35.21,514.47,120.00,6.09,2.07,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.67,0.18,1.08,0.04,120.00,0.04,0.02,0,46.56,313.02,120.00,5.52,1.62,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.48,0.28,0.77,0.01,120.00,0.03,0.01,0,42.33,142.31,120.00,4.97,1.09,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.64,0.34,1.03,0.02,120.00,0.04,0.01,0,37.72,157.98,120.00,5.03,1.15,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.49,0.22,0.99,0.02,120.00,0.04,0.01,0,51.61,475.64,120.00,5.99,1.99,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.41,0.13,0.80,0.02,120.00,0.03,0.01,0,76.76,387.66,120.00,5.74,1.80,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.26,0.03,0.55,0.02,120.00,0.03,0.01,0,114.94,781.53,120.00,6.79,2.55,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.50,0.02,1.19,0.09,120.00,0.06,0.03,0,140.38,1449.52,120.00,8.27,3.48,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.59,0.04,1.19,0.07,120.00,0.06,0.02,0,162.12,1530.41,120.00,8.43,3.57,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.68,0.01,1.17,0.07,120.00,0.05,0.02,0,162.54,725.72,120.00,6.65,2.46,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.79,0.07,1.17,0.05,120.00,0.05,0.02,0,167.16,446.87,120.00,5.91,1.93,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.41,0.01,0.81,0.04,120.00,0.04,0.02,0,106.83,1161.23,120.00,7.66,3.11,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.43,0.01,0.63,0.02,120.00,0.04,0.01,0,112.84,793.31,120.00,6.81,2.57,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.46,0.25,0.65,0.01,120.00,0.03,0.01,0,160.59,282.66,120.00,5.42,1.53,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.57,0.29,0.72,0.01,120.00,0.02,0.01,0,188.12,50.54,120.00,4.66,0.65,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.43,0.22,0.55,0.01,120.00,0.02,0.01,0,195.44,180.74,120.00,5.10,1.23,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.34,0.09,0.67,0.02,120.00,0.03,0.01,0,191.50,536.20,120.00,6.15,2.11,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.32,0.01,0.71,0.03,120.00,0.04,0.02,0,253.67,3177.36,120.00,11.22,5.15,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.63,0.36,0.73,0.01,120.00,0.02,0.01,0,355.79,81.68,120.00,4.77,0.83,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.42,0.32,0.54,0.00,120.00,0.02,0.00,0,352.50,71.92,120.00,4.73,0.77,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.40,0.16,0.59,0.01,120.00,0.02,0.01,0,350.83,216.43,120.00,5.22,1.34,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.38,0.08,0.65,0.02,120.00,0.03,0.01,0,318.15,211.86,120.00,5.20,1.33,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.22,0.00,0.45,0.01,120.00,0.02,0.01,0,306.07,1853.48,120.00,9.04,3.93,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.15,0.01,0.34,0.01,120.00,0.03,0.01,0,227.10,3470.24,120.00,11.65,5.38,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.32,0.13,0.45,0.01,120.00,0.02,0.01,0,218.94,278.00,120.00,5.41,1.52,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.13,0.01,0.25,0.00,120.00,0.03,0.00,0,318.33,6201.31,120.00,15.06,7.19,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.16,0.03,0.26,0.00,120.00,0.02,0.00,0,64.99,1048.11,120.00,7.41,2.96,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.14,0.01,0.23,0.00,120.00,0.02,0.00,0,75.69,508.19,120.00,6.08,2.06,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.13,0.02,0.22,0.00,120.00,0.02,0.00,0,99.63,2254.08,120.00,9.75,4.33,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.11,0.00,0.20,0.00,120.00,0.03,0.00,0,163.99,3765.03,120.00,12.06,5.60,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.24,0.09,0.43,0.01,120.00,0.02,0.01,0,54.45,2228.52,120.00,9.71,4.31,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.49,0.37,0.56,0.00,120.00,0.02,0.00,0,352.88,112.91,120.00,4.87,0.97,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.35,0.18,0.51,0.01,120.00,0.02,0.01,0,324.94,43.71,120.00,4.63,0.60,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",0.14,0.01,0.33,0.01,120.00,0.03,0.01,0,313.08,415.56,120.00,5.82,1.86,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",0.27,0.12,0.39,0.01,120.00,0.02,0.01,0,318.16,166.64,120.00,5.06,1.18,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",0.15,0.05,0.25,0.00,120.00,0.01,0.00,0,8.03,477.53,120.00,5.99,1.99,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",0.13,0.00,0.36,0.01,120.00,0.03,0.01,0,283.29,2823.68,120.00,10.68,4.85,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",0.22,0.15,0.33,0.00,120.00,0.02,0.00,0,222.91,363.82,120.00,5.67,1.74,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",0.27,0.14,0.37,0.00,120.00,0.02,0.01,0,222.39,437.17,120.00,5.88,1.91,0
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",0.11,0.00,0.30,0.00,120.00,0.03,0.01,0,312.40,2997.46,120.00,10.95,5.00,0
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",0.35,0.14,0.52,0.01,120.00,0.02,0.01,0,39.54,162.42,120.00,5.04,1.16,0
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",0.32,0.15,0.46,0.00,120.00,0.02,0.01,0,8.23,869.88,120.00,7.00,2.69,0
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",0.28,0.07,0.54,0.02,120.00,0.03,0.01,0,310.83,607.82,120.00,6.35,2.25,0
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",0.39,0.24,0.53,0.01,120.00,0.02,0.01,0,275.88,21.17,120.00,4.55,0.42,0
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",0.26,0.15,0.33,0.00,120.00,0.02,0.00,0,274.32,29.23,120.00,4.58,0.49,0
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",0.12,0.01,0.20,0.00,120.00,0.02,0.00,0,311.17,1342.36,120.00,8.05,3.34,0
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",0.19,0.08,0.30,0.00,120.00,0.02,0.00,0,342.62,96.18,120.00,4.82,0.90,0
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",0.21,0.02,0.31,0.01,120.00,0.02,0.01,0,339.24,276.68,120.00,5.41,1.52,0
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",0.28,0.15,0.33,0.00,120.00,0.01,0.00,0,351.24,71.05,120.00,4.73,0.77,0
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",0.20,0.07,0.30,0.00,120.00,0.02,0.01,0,352.41,561.41,120.00,6.22,2.16,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",0.10,0.01,0.24,0.00,120.00,0.02,0.00,0,309.71,2083.11,120.00,9.46,4.17,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",0.07,0.01,0.20,0.00,120.00,0.02,0.00,0,343.66,1265.61,120.00,7.89,3.25,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",0.18,0.06,0.38,0.01,120.00,0.02,0.01,0,19.37,117.52,120.00,4.89,0.99,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",0.38,0.13,0.52,0.02,120.00,0.03,0.01,0,43.71,40.96,120.00,4.62,0.58,0
"2020-06-01T01:48:00Z","2020-06-01T01:50:00Z",0.18,0.03,0.41,0.01,120.00,0.02,0.01,0,174.78,3010.21,120.00,10.97,5.01,0
"2020-06-01T01:50:00Z","2020-06-01T01:52:00Z",0.11,0.02,0.20,0.00,120.00,0.01,0.00,0,118.01,896.21,120.00,7.06,2.73,0
"2020-06-01T01:52:00Z","2020-06-01T01:54:00Z",0.19,0.01,0.32,0.01,120.00,0.03,0.01,0,62.04,810.14,120.00,6.86,2.60,0
"2020-06-01T01:54:00Z","2020-06-01T01:56:00Z",0.34,0.19,0.51,0.01,120.00,0.02,0.01,0,17.28,37.45,120.00,4.61,0.56,0
"2020-06-01T01:56:00Z","2020-06-01T01:58:00Z",0.16,0.00,0.39,0.01,120.00,0.02,0.01,0,324.99,3968.40,120.00,12.34,5.75,0
"2020-06-01T01:58:00Z","2020-06-01T02:00:00Z",0.28,0.20,0.36,0.00,120.00,0.01,0.00,0,227.82,40.71,120.00,4.62,0.58,0
"2020-06-01T02:00:00Z","2020-06-01T02:02:00Z",0.19,0.04,0.31,0.01,120.00,0.02,0.01,0,231.85,363.46,120.00,5.67,1.74,0
"2020-06-01T02:02:00Z","2020-06-01T02:04:00Z",0.31,0.13,0.57,0.01,120.00,0.03,0.01,0,327.91,496.91,120.00,6.05,2.03,0
"2020-06-01T02:04:00Z","2020-06-01T02:06:00Z",0.34,0.17,0.56,0.01,120.00,0.03,0.01,0,336.12,103.19,120.00,4.84,0.93,0
"2020-06-01T02:06:00Z","2020-06-01T02:08:00Z",0.31,0.11,0.52,0.01,120.00,0.02,0.01,0,295.35,188.53,120.00,5.13,1.25,0
"2020-06-01T02:08:00Z","2020-06-01T02:10:00Z",0.27,0.14,0.40,0.00,120.00,0.02,0.01,0,253.57,64.26,120.00,4.71,0.73,0
"2020-06-01T02:10:00Z","2020-06-01T02:12:00Z",0.16,0.11,0.29,0.00,120.00,0.01,0.00,0,252.90,644.81,120.00,6.44,2.32,0
"2020-06-01T02:12:00Z","2020-06-01T02:14:00Z",0.19,0.02,0.37,0.01,120.00,0.02,0.01,0,332.18,907.42,120.00,7.09,2.75,0
"2020-06-01T02:14:00Z","2020-06-01T02:16:00Z",0.28,0.18,0.34,0.00,120.00,0.01,0.00,0,5.10,92.68,120.00,4.81,0.88,0
"2020-06-01T02:16:00Z","2020-06-01T02:18:00Z",0.28,0.18,0.39,0.00,120.00,0.02,0.01,0,335.10,209.66,120.00,5.20,1.32,0
"2020-06-01T02:18:00Z","2020-06-01T02:20:00Z",0.37,0.15,0.53,0.01,120.00,0.02,0.01,0,305.65,143.28,120.00,4.98,1.09,0
"2020-06-01T02:20:00Z","2020-06-01T02:22:00Z",0.29,0.12,0.42,0.01,120.00,0.02,0.01,0,282.39,27.16,120.00,4.57,0.48,0
"2020-06-01T02:22:00Z","2020-06-01T02:24:00Z",0.30,0.21,0.40,0.00,120.00,0.02,0.00,0,280.71,22.54,120.00,4.56,0.43,0
"2020-06-01T02:24:00Z","2020-06-01T02:26:00Z",0.23,0.11,0.39,0.01,120.00,0.02,0.01,0,287.14,146.33,120.00,4.99,1.10,0
"2020-06-01T02:26:00Z","2020-06-01T02:28:00Z",0.22,0.06,0.33,0.00,120.00,0.02,0.01,0,325.98,250.68,120.00,5.33,1.45,0
"2020-06-01T02:28:00Z","2020-06-01T02:30:00Z",0.27,0.17,0.37,0.00,120.00,0.02,0.00,0,22.26,269.01,120.00,5.38,1.50,0
"2020-06-01T02:30:00Z","2020-06-01T02:32:00Z",0.18,0.11,0.27,0.00,120.00,0.02,0.00,0,18.02,753.52,120.00,6.72,2.51,0
"2020-06-01T02:32:00Z","2020-06-01T02:34:00Z",0.19,0.03,0.30,0.01,120.00,0.02,0.01,0,293.25,3719.42,120.00,12.00,5.57,0
"2020-06-01T02:34:00Z","2020-06-01T02:36:00Z",0.22,0.13,0.32,0.00,120.00,0.02,0.00,0,219.14,157.90,120.00,5.03,1.15,0
"2020-06-01T02:36:00Z","2020-06-01T02:38:00Z",0.24,0.12,0.41,0.00,120.00,0.02,0.01,0,213.63,194.72,120.00,5.15,1.27,0
"2020-06-01T02:38:00Z","2020-06-01T02:40:00Z",0.10,0.00,0.21,0.00,120.00,0.02,0.00,0,272.47,1596.62,120.00,8.56,3.65,0
"2020-06-01T02:40:00Z","2020-06-01T02:42:00Z",0.13,0.06,0.19,0.00,120.00,0.01,0.00,0,357.94,344.96,120.00,5.61,1.70,0
"2020-06-01T02:42:00Z","2020-06-01T02:44:00Z",0.15,0.01,0.24,0.00,120.00,0.02,0.00,0,323.78,247.70,120.00,5.32,1.44,0
"2020-06-01T02:44:00Z","2020-06-01T02:46:00Z",0.20,0.06,0.30,0.00,120.00,0.02,0.00,0,302.01,166.62,120.00,5.06,1.18,0
"2020-06-01T02:46:00Z","2020-06-01T02:48:00Z",0.21,0.13,0.40,0.00,120.00,0.02,0.01,0,354.28,151.27,120.00,5.00,1.12,0
"2020-06-01T02:48:00Z","2020-06-01T02:50:00Z",0.37,0.25,0.51,0.01,120.00,0.02,0.01,0,341.43,19.25,120.00,4.54,0.40,0
"2020-06-01T02:50:00Z","2020-06-01T02:52:00Z",0.19,0.02,0.38,0.01,120.00,0.02,0.01,0,316.51,595.38,120.00,6.31,2.23,0
"2020-06-01T02:52:00Z","2020-06-01T02:54:00Z",0.26,0.11,0.38,0.00,120.00,0.02,0.00,0,292.53,114.70,120.00,4.88,0.98,0
"2020-06-01T02:54:00Z","2020-06-01T02:56:00Z",0.37,0.29,0.46,0.00,120.00,0.02,0.00,0,287.39,70.70,120.00,4.73,0.77,0
