startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",4.46,0.53,9.23,3.17,120.00,0.46,0.16,0,242.56,722.06,120.00,6.64,2.45,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",2.84,0.43,5.64,0.93,120.00,0.22,0.09,0,202.02,575.01,120.00,6.26,2.19,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",3.44,0.93,5.93,1.08,120.00,0.24,0.09,0,214.94,1024.58,120.00,7.36,2.92,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",3.07,1.57,4.19,0.26,120.00,0.13,0.05,0,190.69,165.91,120.00,5.05,1.18,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",2.19,0.01,4.82,1.09,120.00,0.21,0.10,0,199.70,1678.95,120.00,8.72,3.74,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",2.82,0.18,5.42,1.25,120.00,0.24,0.10,0,217.21,902.62,120.00,7.08,2.74,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",2.54,0.60,6.11,1.10,120.00,0.25,0.10,0,185.07,540.05,120.00,6.16,2.12,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",2.56,0.10,5.14,0.87,120.00,0.20,0.09,0,218.47,833.54,120.00,6.91,2.64,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",2.58,1.05,4.94,0.75,120.00,0.19,0.08,0,186.00,236.38,120.00,5.28,1.40,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",4.72,1.63,7.90,2.24,120.00,0.38,0.14,0,180.48,347.30,120.00,5.62,1.70,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",5.41,1.78,9.47,2.87,120.00,0.46,0.15,0,184.80,407.58,120.00,5.80,1.84,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",6.35,2.25,10.39,2.97,120.00,0.50,0.16,0,184.87,135.30,120.00,4.95,1.06,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.94,0.13,6.17,1.46,120.00,0.27,0.11,0,207.59,515.66,120.00,6.10,2.07,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",4.53,0.55,8.21,2.89,120.00,0.41,0.16,0,230.33,450.86,120.00,5.92,1.94,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",4.94,1.46,9.03,2.61,120.00,0.43,0.15,0,200.97,254.12,120.00,5.34,1.46,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",3.81,1.14,6.52,0.91,120.00,0.25,0.09,0,203.69,206.82,120.00,5.19,1.31,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",4.02,1.54,6.22,1.47,120.00,0.28,0.11,0,211.00,276.21,120.00,5.40,1.52,0
