startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-10-01T00:00:00Z","2020-10-01T00:30:00Z",2.84,0.06,6.74,1.54,1800.00,0.20,0.03,0,292.81,699.05,1800.00,4.64,0.62,0
"2020-10-01T00:30:00Z","2020-10-01T01:00:00Z",2.04,0.09,6.76,1.07,1800.00,0.20,0.02,0,280.38,1202.47,1800.00,4.76,0.82,0
"2020-10-01T01:00:00Z","2020-10-01T01:30:00Z",1.23,0.02,4.44,0.49,1800.00,0.10,0.02,0,300.93,1302.18,1800.00,4.78,0.85,1
"2020-10-01T01:30:00Z","2020-10-01T02:00:00Z",0.72,0.02,2.16,0.14,1798.00,0.05,0.01,0,269.10,1506.80,1798.00,4.83,0.92,0
"2020-10-01T02:00:00Z","2020-10-01T02:30:00Z",0.94,0.05,2.22,0.22,1800.00,0.05,0.01,0,165.25,1706.92,1800.00,4.88,0.97,0
"2020-10-01T02:30:00Z","2020-10-01T03:00:00Z",0.76,0.02,2.40,0.12,1800.00,0.05,0.01,0,131.47,3513.82,1800.00,5.27,1.40,0
"2020-10-01T03:00:00Z","2020-10-01T03:30:00Z",0.88,0.09,2.39,0.29,1800.00,0.06,0.01,0,137.31,765.92,1800.00,4.66,0.65,0
"2020-10-01T03:30:00Z","2020-10-01T04:00:00Z",1.58,0.28,3.08,0.23,1798.00,0.07,0.01,0,164.57,123.20,1798.00,4.50,0.26,0
"2020-10-01T04:00:00Z","2020-10-01T04:30:00Z",1.65,0.33,3.21,0.22,1799.00,0.07,0.01,0,160.90,124.74,1799.00,4.50,0.26,0
"2020-10-01T04:30:00Z","2020-10-01T05:00:00Z",1.68,0.28,2.75,0.17,1800.00,0.06,0.01,0,163.65,52.01,1800.00,4.49,0.17,0
"2020-10-01T05:00:00Z","2020-10-01T05:30:00Z",1.41,0.29,2.36,0.18,1800.00,0.05,0.01,0,155.44,98.52,1800.00,4.50,0.23,0
"2020-10-01T05:30:00Z","2020-10-01T06:00:00Z",1.39,0.43,2.33,0.14,1800.00,0.05,0.01,0,157.45,83.54,1800.00,4.49,0.22,0
"2020-10-01T06:00:00Z","2020-10-01T06:30:00Z",1.31,0.25,2.82,0.26,1798.00,0.06,0.01,0,160.25,141.27,1798.00,4.51,0.28,0
"2020-10-01T06:30:00Z","2020-10-01T07:00:00Z",1.34,0.36,2.20,0.12,1800.00,0.05,0.01,0,160.17,118.98,1800.00,4.50,0.26,0
"2020-10-01T07:00:00Z","2020-10-01T07:30:00Z",0.84,0.25,1.96,0.12,1800.00,0.04,0.01,0,164.44,190.97,1800.00,4.52,0.33,0
"2020-10-01T07:30:00Z","2020-10-01T08:00:00Z",1.35,0.32,2.14,0.09,1800.00,0.05,0.01,0,162.58,84.93,1800.00,4.49,0.22,0
"2020-10-01T08:00:00Z","2020-10-01T08:30:00Z",1.02,0.24,2.16,0.15,1800.00,0.05,0.01,0,156.67,137.20,1800.00,4.51,0.28,0
"2020-10-01T08:30:00Z","2020-10-01T09:00:00Z",1.20,0.17,2.41,0.25,1796.00,0.05,0.01,0,159.71,284.54,1796.00,4.54,0.40,0
"2020-10-01T09:00:00Z","2020-10-01T09:30:00Z",1.21,0.34,1.91,0.05,1800.00,0.04,0.01,0,159.99,72.62,1800.00,4.49,0.20,0
"2020-10-01T09:30:00Z","2020-10-01T10:00:00Z",1.11,0.12,1.94,0.11,1800.00,0.04,0.01,0,155.84,119.11,1800.00,4.50,0.26,0
"2020-10-01T10:00:00Z","2020-10-01T10:30:00Z",0.68,0.01,1.44,0.08,1800.00,0.03,0.01,0,159.71,349.00,1800.00,4.56,0.44,0
"2020-10-01T10:30:00Z","2020-10-01T11:00:00Z",1.14,0.17,2.29,0.18,1797.00,0.05,0.01,0,162.46,119.21,1797.00,4.50,0.26,0
"2020-10-01T11:00:00Z","2020-10-01T11:30:00Z",0.93,0.18,1.88,0.17,1800.00,0.04,0.01,0,146.61,769.83,1800.00,4.66,0.65,0
"2020-10-01T11:30:00Z","2020-10-01T12:00:00Z",1.37,0.73,2.07,0.05,1800.00,0.04,0.01,0,160.46,50.11,1800.00,4.48,0.17,0
