startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.27,0.04,0.63,0.01,120.00,0.03,0.01,0,77.70,2182.58,120.00,9.63,4.26,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.36,0.05,0.89,0.03,120.00,0.04,0.02,0,160.77,6939.04,120.00,15.85,7.60,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.25,0.00,0.50,0.02,120.00,0.03,0.01,0,255.96,2024.55,120.00,9.35,4.11,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.29,0.01,0.54,0.02,120.00,0.03,0.01,0,121.91,1628.75,120.00,8.62,3.68,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.17,0.02,0.35,0.01,120.00,0.02,0.01,0,128.47,7306.72,120.00,16.23,7.80,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.23,0.02,0.57,0.02,120.00,0.03,0.01,0,60.99,5164.36,120.00,13.86,6.56,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.22,0.01,0.48,0.01,120.00,0.02,0.01,0,60.26,8911.91,120.00,17.81,8.62,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.15,0.02,0.33,0.00,120.00,0.02,0.01,0,246.65,6247.08,120.00,15.11,7.22,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.29,0.02,0.60,0.03,120.00,0.04,0.02,0,242.67,1442.05,120.00,8.25,3.47,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.26,0.03,0.56,0.02,120.00,0.03,0.01,0,231.19,1417.91,120.00,8.20,3.44,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.15,0.01,0.31,0.01,120.00,0.02,0.01,0,336.79,4480.66,120.00,13.01,6.11,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.37,0.04,0.81,0.02,120.00,0.03,0.01,0,251.64,3227.71,120.00,11.30,5.19,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.27,0.02,0.52,0.01,120.00,0.03,0.01,0,214.87,5510.59,120.00,14.27,6.78,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.21,0.02,0.53,0.01,120.00,0.03,0.01,0,188.12,2912.69,120.00,10.82,4.93,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.21,0.02,0.43,0.01,120.00,0.02,0.01,0,252.48,2020.83,120.00,9.35,4.10,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.35,0.10,0.55,0.01,120.00,0.03,0.01,0,237.00,177.47,120.00,5.09,1.22,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.24,0.05,0.47,0.01,120.00,0.03,0.01,0,242.07,2522.12,120.00,10.20,4.58,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.21,0.02,0.55,0.01,120.00,0.03,0.01,0,274.15,3627.64,120.00,11.87,5.50,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.28,0.01,0.49,0.02,120.00,0.03,0.01,0,279.71,1886.95,120.00,9.10,3.97,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.31,0.00,1.41,0.04,120.00,0.05,0.02,0,240.29,3698.81,120.00,11.97,5.55,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.17,0.01,0.54,0.02,120.00,0.03,0.01,0,160.40,9092.15,120.00,17.97,8.70,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.25,0.10,0.44,0.01,120.00,0.02,0.01,0,268.24,515.07,120.00,6.10,2.07,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.25,0.11,0.43,0.01,120.00,0.02,0.01,0,289.94,303.70,120.00,5.49,1.59,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.28,0.19,0.43,0.00,120.00,0.02,0.01,0,288.66,95.90,120.00,4.82,0.89,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.25,0.17,0.38,0.00,120.00,0.02,0.00,0,256.16,101.42,120.00,4.84,0.92,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.31,0.21,0.42,0.00,120.00,0.02,0.00,0,277.80,218.47,120.00,5.22,1.35,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.32,0.24,0.47,0.00,120.00,0.02,0.01,0,285.53,98.82,120.00,4.83,0.91,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.24,0.19,0.29,0.00,120.00,0.01,0.00,0,275.70,30.98,120.00,4.59,0.51,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.26,0.18,0.33,0.00,120.00,0.01,0.00,0,278.88,20.45,120.00,4.55,0.41,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.28,0.18,0.40,0.00,120.00,0.02,0.00,0,276.06,45.51,120.00,4.64,0.62,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.33,0.26,0.40,0.00,120.00,0.02,0.00,0,265.78,13.09,120.00,4.52,0.33,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.36,0.28,0.46,0.00,120.00,0.02,0.00,0,269.60,15.62,120.00,4.53,0.36,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.36,0.27,0.45,0.00,118.00,0.02,0.00,0,271.58,29.17,118.00,4.58,0.50,0
