startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.82,0.76,3.13,0.17,120.00,0.10,0.04,0,100.03,200.50,120.00,5.17,1.29,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",2.15,1.11,3.47,0.25,120.00,0.11,0.05,0,116.20,220.55,120.00,5.23,1.36,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",2.51,1.17,3.88,0.34,120.00,0.13,0.05,0,118.35,129.04,120.00,4.93,1.04,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",2.48,1.10,4.43,0.37,120.00,0.14,0.06,0,117.02,139.75,120.00,4.97,1.08,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",2.34,1.02,4.14,0.50,120.00,0.15,0.06,0,105.64,132.68,120.00,4.94,1.05,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",2.11,1.07,3.28,0.22,120.00,0.11,0.04,0,107.16,187.57,120.00,5.12,1.25,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",2.00,0.78,3.43,0.23,120.00,0.11,0.04,0,105.09,205.67,120.00,5.18,1.31,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",2.52,0.83,3.70,0.30,120.00,0.12,0.05,0,106.15,127.86,120.00,4.93,1.03,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",2.75,1.51,4.45,0.47,120.00,0.15,0.06,0,89.08,112.40,120.00,4.87,0.97,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",3.38,2.02,5.46,0.42,120.00,0.17,0.06,0,84.17,93.11,120.00,4.81,0.88,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",2.98,1.57,4.53,0.35,120.00,0.14,0.05,0,81.26,123.88,120.00,4.91,1.02,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",2.67,1.54,5.11,0.46,120.00,0.16,0.06,0,76.69,136.59,120.00,4.96,1.07,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.35,1.41,3.59,0.21,120.00,0.11,0.04,0,92.50,108.24,120.00,4.86,0.95,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",1.81,0.88,3.21,0.14,120.00,0.09,0.03,0,85.83,197.80,120.00,5.16,1.28,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",2.62,1.40,4.27,0.37,120.00,0.14,0.06,0,87.59,99.51,120.00,4.83,0.91,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",2.75,1.55,5.08,0.62,120.00,0.18,0.07,0,75.16,67.25,120.00,4.72,0.75,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",3.17,2.04,5.44,0.44,120.00,0.17,0.06,0,81.66,70.69,120.00,4.73,0.77,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",2.88,1.73,4.34,0.33,120.00,0.14,0.05,0,76.77,90.39,120.00,4.80,0.87,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",2.66,1.41,4.51,0.47,117.00,0.16,0.06,0,75.87,112.05,117.00,4.88,0.98,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",2.49,1.44,3.90,0.33,117.00,0.13,0.05,0,81.26,120.84,117.00,4.91,1.02,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",2.14,1.44,3.24,0.14,120.00,0.09,0.03,0,84.29,96.77,120.00,4.82,0.90,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",2.01,1.29,3.53,0.16,120.00,0.10,0.04,0,91.72,82.30,120.00,4.77,0.83,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",2.30,1.38,3.98,0.26,120.00,0.12,0.05,0,88.29,118.44,120.00,4.89,0.99,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",2.26,1.20,4.36,0.36,120.00,0.14,0.05,0,100.76,174.40,120.00,5.08,1.21,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",1.77,0.59,2.81,0.16,120.00,0.09,0.04,0,109.73,135.52,120.00,4.95,1.06,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",1.61,0.73,2.60,0.15,120.00,0.09,0.03,0,123.33,204.09,120.00,5.18,1.30,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",1.45,0.76,2.50,0.12,120.00,0.08,0.03,0,126.21,212.93,120.00,5.21,1.33,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",1.40,0.53,2.59,0.16,120.00,0.09,0.04,0,135.11,176.42,120.00,5.09,1.21,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",1.53,0.78,2.87,0.15,120.00,0.09,0.04,0,140.93,198.84,120.00,5.16,1.29,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",1.42,0.48,2.29,0.14,120.00,0.08,0.03,0,140.13,232.81,120.00,5.27,1.39,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",1.33,0.47,2.23,0.13,120.00,0.08,0.03,0,158.19,174.60,120.00,5.08,1.21,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",1.87,0.68,2.84,0.24,120.00,0.11,0.04,0,178.75,181.90,120.00,5.11,1.23,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",2.71,0.73,4.91,0.68,120.00,0.18,0.08,0,183.08,153.14,120.00,5.01,1.13,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",2.90,1.25,4.95,0.75,120.00,0.19,0.08,0,167.30,159.75,120.00,5.03,1.15,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",3.03,1.15,5.28,0.69,120.00,0.19,0.08,0,163.33,91.72,120.00,4.80,0.87,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",2.95,1.39,5.18,0.59,120.00,0.18,0.07,0,164.18,139.95,120.00,4.97,1.08,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",2.55,0.88,4.48,0.42,120.00,0.15,0.06,0,151.57,186.79,120.00,5.12,1.25,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",2.29,0.97,4.38,0.46,120.00,0.15,0.06,0,158.13,154.47,120.00,5.01,1.13,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",2.44,1.07,4.43,0.47,120.00,0.15,0.06,0,151.78,118.92,120.00,4.90,1.00,0
