startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.93,0.32,3.23,0.33,120.00,0.12,0.05,0,233.82,229.48,120.00,5.26,1.38,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",1.58,0.47,3.04,0.27,120.00,0.11,0.05,0,185.29,646.46,120.00,6.45,2.32,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",2.80,1.00,4.97,0.68,115.00,0.18,0.08,0,200.43,278.88,115.00,5.45,1.56,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",2.52,0.39,5.96,1.10,120.00,0.24,0.10,0,208.37,418.55,120.00,5.83,1.87,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",3.73,1.36,7.65,1.73,120.00,0.34,0.12,0,224.99,352.62,120.00,5.64,1.71,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",2.86,0.87,5.45,1.29,120.00,0.24,0.10,0,191.79,204.91,120.00,5.18,1.31,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",3.02,0.77,5.95,1.33,120.00,0.26,0.11,0,197.46,221.33,120.00,5.23,1.36,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",2.70,0.62,5.52,1.44,120.00,0.25,0.11,0,199.02,217.59,120.00,5.22,1.35,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",2.97,1.11,4.75,0.68,120.00,0.18,0.08,0,212.51,279.46,120.00,5.41,1.53,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",3.06,0.80,5.75,0.85,120.00,0.22,0.08,0,210.03,146.19,120.00,4.99,1.10,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",2.53,0.67,5.07,0.93,120.00,0.20,0.09,0,209.76,209.32,120.00,5.19,1.32,0
