startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",5.75,2.27,9.03,1.73,120.00,0.40,0.12,0,261.24,136.38,120.00,4.95,1.07,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",5.21,1.50,9.02,3.03,120.00,0.45,0.16,0,267.29,187.87,120.00,5.12,1.25,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",5.91,2.53,9.14,2.09,120.00,0.42,0.13,0,254.07,390.49,120.00,5.75,1.80,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",4.53,1.71,8.23,2.09,120.00,0.38,0.13,0,255.80,214.06,120.00,5.21,1.34,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",6.64,2.12,13.46,6.95,120.00,0.76,0.24,0,251.85,119.79,120.00,4.90,1.00,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",5.46,1.83,8.75,2.64,120.00,0.42,0.15,0,252.38,170.21,120.00,5.07,1.19,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",5.43,0.34,10.24,3.04,120.00,0.50,0.16,0,253.52,243.02,120.00,5.30,1.42,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",5.57,2.31,8.86,2.29,120.00,0.41,0.14,0,258.09,139.76,120.00,4.97,1.08,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",5.40,1.32,9.49,2.97,120.00,0.47,0.16,0,251.08,154.19,120.00,5.01,1.13,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",5.18,1.80,9.93,4.26,120.00,0.53,0.19,0,239.76,142.35,120.00,4.97,1.09,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",5.29,1.73,10.75,3.17,120.00,0.52,0.16,0,242.65,142.48,120.00,4.97,1.09,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",4.86,1.44,10.27,3.64,120.00,0.52,0.17,0,241.35,181.89,120.00,5.11,1.23,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",5.58,1.69,9.61,3.01,120.00,0.47,0.16,0,197.07,210.50,120.00,5.20,1.32,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",4.23,1.66,7.05,1.62,120.00,0.31,0.12,0,161.33,145.04,120.00,4.98,1.10,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",5.98,2.05,10.64,4.06,115.00,0.55,0.19,0,148.63,283.53,115.00,5.46,1.57,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",4.17,0.52,8.70,4.29,120.00,0.48,0.19,0,180.72,1797.42,120.00,8.94,3.87,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",3.59,1.11,8.19,2.10,120.00,0.38,0.13,0,170.39,1518.54,120.00,8.40,3.56,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",4.27,1.51,6.67,1.49,120.00,0.29,0.11,0,151.75,233.87,120.00,5.27,1.40,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",5.92,2.53,9.76,2.74,120.00,0.47,0.15,0,181.41,349.16,120.00,5.62,1.71,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",4.81,1.81,8.69,2.70,120.00,0.42,0.15,0,191.28,166.01,120.00,5.05,1.18,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",4.16,1.17,6.98,1.60,120.00,0.31,0.12,0,180.06,242.42,120.00,5.30,1.42,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",5.83,2.33,10.40,3.16,120.00,0.51,0.16,0,167.49,184.60,120.00,5.11,1.24,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",5.17,2.54,8.57,2.38,120.00,0.41,0.14,0,177.19,120.11,120.00,4.90,1.00,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",4.95,1.93,7.81,1.75,120.00,0.35,0.12,0,180.90,119.97,120.00,4.90,1.00,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",4.61,1.55,7.48,1.57,120.00,0.33,0.11,0,178.18,158.03,120.00,5.03,1.15,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",4.47,0.69,7.49,1.59,120.00,0.33,0.12,0,180.80,161.90,120.00,5.04,1.16,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",3.87,1.14,5.62,0.92,120.00,0.22,0.09,0,182.35,162.28,120.00,5.04,1.16,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",4.14,2.05,6.56,1.01,120.00,0.26,0.09,0,186.34,140.77,120.00,4.97,1.08,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",4.23,1.39,8.15,1.54,120.00,0.35,0.11,0,181.39,151.36,120.00,5.00,1.12,0
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",4.77,1.61,8.78,1.70,120.00,0.39,0.12,0,176.50,197.39,120.00,5.16,1.28,0
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",4.88,2.16,7.78,1.82,120.00,0.35,0.12,0,177.51,132.84,120.00,4.94,1.05,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",4.02,2.19,7.40,1.14,120.00,0.30,0.10,0,191.78,217.37,120.00,5.22,1.35,0
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",4.09,2.16,6.74,0.97,120.00,0.26,0.09,0,176.76,162.35,120.00,5.04,1.16,0
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",4.31,1.66,8.37,1.54,120.00,0.36,0.11,0,176.99,186.71,120.00,5.12,1.25,0
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",4.30,1.42,6.32,0.94,120.00,0.25,0.09,0,180.17,148.41,120.00,4.99,1.11,0
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",5.15,1.58,7.96,1.98,120.00,0.37,0.13,0,186.89,139.50,120.00,4.96,1.08,0
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",4.43,1.33,7.32,1.48,120.00,0.32,0.11,0,189.89,140.24,120.00,4.97,1.08,0
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",4.61,2.38,7.61,1.34,120.00,0.32,0.11,0,201.01,126.17,120.00,4.92,1.03,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",3.80,1.34,6.65,1.28,120.00,0.28,0.10,0,189.54,141.01,120.00,4.97,1.08,0
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",4.20,0.79,7.23,1.87,120.00,0.33,0.12,0,184.41,169.38,120.00,5.06,1.19,0
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",4.01,1.96,6.58,0.98,120.00,0.26,0.09,0,192.07,136.92,120.00,4.96,1.07,0
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",4.69,2.20,6.96,1.33,120.00,0.29,0.11,0,196.41,150.87,120.00,5.00,1.12,0
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",5.16,3.34,7.97,1.10,120.00,0.32,0.10,0,191.93,83.17,120.00,4.77,0.83,0
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",4.16,2.21,6.51,0.83,120.00,0.25,0.08,0,182.23,130.75,120.00,4.94,1.04,0
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",4.23,2.09,6.68,1.04,120.00,0.27,0.09,0,180.31,117.22,120.00,4.89,0.99,0
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",4.12,1.41,6.57,1.34,120.00,0.28,0.11,0,193.74,173.29,120.00,5.08,1.20,0
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",4.09,1.03,7.44,1.84,120.00,0.34,0.12,0,190.12,190.17,120.00,5.13,1.26,0
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",4.41,1.58,6.76,1.07,120.00,0.27,0.09,0,185.26,207.16,120.00,5.19,1.31,0
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",4.39,1.79,6.99,1.20,120.00,0.29,0.10,0,189.61,160.06,120.00,5.03,1.15,0
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",4.34,1.80,8.03,1.69,120.00,0.36,0.12,0,194.30,122.68,120.00,4.91,1.01,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",3.96,1.32,6.96,1.58,120.00,0.31,0.11,0,196.19,228.11,120.00,5.25,1.38,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",3.92,1.85,6.55,0.88,120.00,0.25,0.09,0,191.78,185.85,120.00,5.12,1.24,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",4.61,1.82,7.82,1.37,120.00,0.33,0.11,0,186.03,93.58,120.00,4.81,0.88,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",4.13,2.01,6.83,1.05,120.00,0.27,0.09,0,176.98,116.79,120.00,4.89,0.99,0
