startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.62,0.48,3.11,0.50,120.00,0.14,0.06,0,75.57,985.37,120.00,7.27,2.87,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",1.36,0.06,3.00,0.38,120.00,0.13,0.06,0,4.53,5049.55,120.00,13.72,6.49,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",1.44,0.03,3.28,0.84,120.00,0.18,0.08,0,38.53,3766.31,120.00,12.06,5.60,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",1.31,0.09,3.33,0.48,120.00,0.14,0.06,0,88.36,2946.23,120.00,10.87,4.95,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",1.37,0.20,2.85,0.44,120.00,0.13,0.06,0,70.99,4774.03,120.00,13.38,6.31,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",1.15,0.02,2.34,0.23,120.00,0.10,0.04,0,84.00,3469.52,120.00,11.65,5.38,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.85,0.13,1.66,0.14,120.00,0.08,0.03,0,169.56,8177.32,120.00,17.10,8.25,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.93,0.05,2.01,0.17,120.00,0.09,0.04,0,321.62,6343.16,120.00,15.21,7.27,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",1.30,0.06,2.93,0.37,120.00,0.13,0.06,0,41.66,1524.36,120.00,8.41,3.56,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",1.27,0.06,2.24,0.28,120.00,0.11,0.05,0,52.29,1689.40,120.00,8.74,3.75,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.84,0.09,2.31,0.17,120.00,0.09,0.04,0,105.27,4122.96,120.00,12.55,5.86,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",1.37,0.32,2.45,0.27,120.00,0.11,0.05,0,44.85,557.60,120.00,6.21,2.16,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.08,0.29,3.91,0.56,120.00,0.16,0.07,0,58.70,535.39,120.00,6.15,2.11,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",1.31,0.37,2.42,0.23,120.00,0.10,0.04,0,43.82,630.89,120.00,6.41,2.29,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",1.09,0.21,2.41,0.33,120.00,0.12,0.05,0,110.61,2062.78,120.00,9.42,4.15,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",1.27,0.32,2.96,0.26,120.00,0.11,0.05,0,42.06,3043.47,120.00,11.02,5.04,0
