startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",6.58,2.71,10.25,2.71,120.00,0.49,0.15,0,219.01,281.88,120.00,5.42,1.53,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",6.28,2.01,12.14,3.33,120.00,0.59,0.17,0,212.47,199.81,120.00,5.16,1.29,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",5.84,2.95,8.97,2.23,120.00,0.42,0.14,0,212.43,131.41,120.00,4.94,1.05,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",5.19,1.86,8.63,2.60,120.00,0.42,0.15,0,201.28,171.53,120.00,5.07,1.20,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",6.74,2.78,11.61,3.45,120.00,0.57,0.17,0,198.62,195.46,120.00,5.15,1.28,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",5.41,1.96,8.85,2.02,120.00,0.40,0.13,0,215.90,183.90,120.00,5.11,1.24,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",6.24,3.15,11.30,3.33,120.00,0.55,0.17,0,216.25,94.30,120.00,4.81,0.89,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",6.32,1.73,13.75,6.30,120.00,0.76,0.23,0,210.54,114.04,120.00,4.88,0.97,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",5.40,2.51,9.95,1.77,120.00,0.44,0.12,0,205.34,128.50,120.00,4.93,1.03,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",5.44,1.74,8.57,2.15,120.00,0.40,0.13,0,213.54,105.44,120.00,4.85,0.94,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",6.47,1.37,10.41,3.10,120.00,0.51,0.16,0,194.89,169.92,120.00,5.07,1.19,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",7.00,2.12,11.33,3.84,120.00,0.57,0.18,0,205.44,153.00,120.00,5.01,1.13,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",5.56,2.25,10.49,2.61,120.00,0.49,0.15,0,208.35,119.10,120.00,4.90,1.00,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",6.01,2.29,10.13,3.24,120.00,0.50,0.16,0,215.84,160.66,120.00,5.04,1.16,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",5.70,1.62,12.14,3.87,120.00,0.61,0.18,0,207.67,215.02,120.00,5.21,1.34,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",6.13,2.07,12.21,3.23,120.00,0.59,0.16,0,188.69,98.74,120.00,4.83,0.91,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",5.66,2.05,9.06,2.98,120.00,0.45,0.16,0,186.06,117.36,120.00,4.89,0.99,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",6.86,2.65,11.81,4.62,120.00,0.61,0.20,0,186.45,185.73,120.00,5.12,1.24,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",7.83,2.33,12.36,3.44,120.00,0.61,0.17,0,216.90,78.67,120.00,4.76,0.81,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",6.60,2.42,10.57,2.96,120.00,0.51,0.16,0,212.34,108.57,120.00,4.86,0.95,0
