startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",0.63,0.35,1.61,0.20,7.00,0.34,0.17,1,290.53,1375.48,7.00,28.39,14.02,1
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.45,0.45,0.45,0.00,1.00,0.01,,1,303.34,0.00,1.00,4.47,,1
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",1.23,0.80,1.67,0.37,2.00,0.86,0.43,1,143.79,300.27,2.00,24.91,12.25,1
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",1.08,1.08,1.08,0.00,1.00,0.02,,1,131.99,0.00,1.00,4.47,,1
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.50,0.05,1.16,0.03,707.00,0.03,0.01,1,160.40,1193.51,707.00,5.17,1.30,1
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.92,0.16,1.85,0.07,1800.00,0.04,0.01,0,170.64,152.80,1800.00,4.51,0.29,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.73,0.03,1.31,0.05,1800.00,0.03,0.01,0,185.73,2333.54,1800.00,5.02,1.14,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.82,0.20,1.32,0.03,1800.00,0.03,0.00,0,186.62,1087.28,1800.00,4.73,0.78,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.78,0.13,1.70,0.06,1800.00,0.04,0.01,0,160.64,1376.85,1800.00,4.80,0.87,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.55,0.00,1.27,0.09,1800.00,0.03,0.01,0,200.34,8944.02,1800.00,6.31,2.23,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.46,0.02,1.15,0.06,1800.00,0.03,0.01,0,113.20,1195.14,1800.00,4.76,0.81,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.32,0.01,0.90,0.04,1800.00,0.02,0.00,0,309.47,8063.15,1800.00,6.16,2.12,1
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.36,0.00,1.12,0.04,1795.00,0.03,0.00,0,337.05,4601.90,1795.00,5.50,1.60,1
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.61,0.00,1.72,0.08,1800.00,0.04,0.01,0,38.05,3661.78,1800.00,5.30,1.43,1
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",0.72,0.01,1.75,0.12,992.00,0.04,0.01,1,13.82,5374.49,992.00,6.46,2.33,1
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",0.91,0.57,1.25,0.23,2.00,0.68,0.34,1,319.90,2724.08,2.00,73.95,36.91,1
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T19:30:00Z","2020-06-01T20:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T20:00:00Z","2020-06-01T20:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T20:30:00Z","2020-06-01T21:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T21:00:00Z","2020-06-01T21:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T21:30:00Z","2020-06-01T22:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T22:00:00Z","2020-06-01T22:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T22:30:00Z","2020-06-01T23:00:00Z",,,,,,,,1,,,,,,1
"2020-06-01T23:00:00Z","2020-06-01T23:30:00Z",,,,,,,,1,,,,,,1
"2020-06-01T23:30:00Z","2020-06-02T00:00:00Z",,,,,,,,1,,,,,,1
"2020-06-02T00:00:00Z","2020-06-02T00:30:00Z",2.91,2.81,2.97,0.00,4.00,0.09,0.03,1,315.59,1.66,4.00,4.65,0.64,1
"2020-06-02T00:30:00Z","2020-06-02T01:00:00Z",,,,,,,,1,,,,,,1
"2020-06-02T01:00:00Z","2020-06-02T01:30:00Z",,,,,,,,1,,,,,,1
"2020-06-02T01:30:00Z","2020-06-02T02:00:00Z",,,,,,,,1,,,,,,1
"2020-06-02T02:00:00Z","2020-06-02T02:30:00Z",,,,,,,,1,,,,,,1
"2020-06-02T02:30:00Z","2020-06-02T03:00:00Z",,,,,,,,1,,,,,,1
"2020-06-02T03:00:00Z","2020-06-02T03:30:00Z",0.87,0.62,1.19,0.03,14.00,0.10,0.05,1,314.31,116.25,14.00,7.29,2.88,1
"2020-06-02T03:30:00Z","2020-06-02T04:00:00Z",0.54,0.12,1.26,0.04,870.00,0.03,0.01,1,144.85,456.54,870.00,4.70,0.72,1
"2020-06-02T04:00:00Z","2020-06-02T04:30:00Z",0.90,0.00,1.77,0.09,1800.00,0.04,0.01,0,143.29,473.34,1800.00,4.59,0.51,0
"2020-06-02T04:30:00Z","2020-06-02T05:00:00Z",1.35,0.19,2.61,0.25,1800.00,0.06,0.01,0,135.42,472.72,1800.00,4.59,0.51,0
"2020-06-02T05:00:00Z","2020-06-02T05:30:00Z",1.08,0.39,2.17,0.07,1800.00,0.05,0.01,0,152.57,262.05,1800.00,4.54,0.38,0
"2020-06-02T05:30:00Z","2020-06-02T06:00:00Z",1.12,0.55,1.75,0.04,1800.00,0.04,0.00,0,159.68,231.78,1800.00,4.53,0.36,0
"2020-06-02T06:00:00Z","2020-06-02T06:30:00Z",0.75,0.13,1.48,0.05,1800.00,0.03,0.01,0,179.13,190.25,1800.00,4.52,0.33,0
"2020-06-02T06:30:00Z","2020-06-02T07:00:00Z",0.88,0.16,1.53,0.06,1794.00,0.03,0.01,0,178.22,296.24,1794.00,4.55,0.41,0
"2020-06-02T07:00:00Z","2020-06-02T07:30:00Z",0.66,0.15,1.34,0.06,1800.00,0.03,0.01,0,169.16,319.91,1800.00,4.55,0.42,0
"2020-06-02T07:30:00Z","2020-06-02T08:00:00Z",0.76,0.08,1.23,0.04,1800.00,0.03,0.00,0,187.13,653.98,1800.00,4.63,0.60,0
"2020-06-02T08:00:00Z","2020-06-02T08:30:00Z",0.76,0.31,1.30,0.04,1800.00,0.03,0.00,0,175.05,408.77,1800.00,4.57,0.48,0
"2020-06-02T08:30:00Z","2020-06-02T09:00:00Z",0.78,0.29,1.26,0.04,1800.00,0.03,0.00,0,197.16,289.68,1800.00,4.54,0.40,0
"2020-06-02T09:00:00Z","2020-06-02T09:30:00Z",0.63,0.09,1.17,0.05,1800.00,0.03,0.01,0,167.95,679.50,1800.00,4.64,0.61,0
"2020-06-02T09:30:00Z","2020-06-02T10:00:00Z",0.79,0.21,1.70,0.07,1800.00,0.04,0.01,0,169.96,303.76,1800.00,4.55,0.41,0
"2020-06-02T10:00:00Z","2020-06-02T10:30:00Z",0.67,0.01,1.57,0.11,1800.00,0.04,0.01,0,189.88,1326.77,1800.00,4.79,0.86,0
"2020-06-02T10:30:00Z","2020-06-02T11:00:00Z",0.41,0.02,0.87,0.03,1800.00,0.02,0.00,0,189.68,1256.95,1800.00,4.77,0.84,0
"2020-06-02T11:00:00Z","2020-06-02T11:30:00Z",0.72,0.30,1.35,0.03,1795.00,0.03,0.00,0,188.74,837.41,1795.00,4.68,0.68,0
"2020-06-02T11:30:00Z","2020-06-02T12:00:00Z",0.83,0.32,1.27,0.03,1800.00,0.03,0.00,0,178.71,700.89,1800.00,4.64,0.62,0
