startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",2.95,0.15,6.88,1.55,1800.00,0.21,0.03,0,269.16,732.09,1800.00,4.65,0.64,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",2.48,0.06,7.30,1.87,1800.00,0.23,0.03,0,287.79,1258.40,1800.00,4.77,0.84,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",2.50,0.09,5.64,1.27,1800.00,0.15,0.03,0,271.60,958.27,1800.00,4.70,0.73,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",1.97,0.02,5.45,1.07,1800.00,0.13,0.02,0,278.07,885.07,1800.00,4.69,0.70,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",2.56,0.12,6.88,1.35,1800.00,0.21,0.03,0,288.10,575.49,1800.00,4.61,0.57,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",1.71,0.08,4.60,0.74,1800.00,0.10,0.02,0,290.45,681.68,1800.00,4.64,0.62,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",1.33,0.00,3.82,0.57,1796.00,0.09,0.02,0,266.27,1077.06,1796.00,4.73,0.77,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",0.99,0.01,3.59,0.47,1800.00,0.08,0.02,0,297.81,2383.23,1800.00,5.03,1.15,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",1.45,0.02,3.56,0.60,1800.00,0.08,0.02,0,295.97,1157.17,1800.00,4.75,0.80,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",1.06,0.00,3.20,0.34,1800.00,0.07,0.01,0,318.33,2543.21,1800.00,5.06,1.19,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",1.92,0.28,4.40,0.67,1800.00,0.10,0.02,0,317.67,747.16,1800.00,4.65,0.64,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.98,0.13,2.50,0.21,1800.00,0.06,0.01,0,315.50,710.40,1800.00,4.65,0.63,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.96,0.11,1.91,0.13,1800.00,0.04,0.01,0,315.68,1109.73,1800.00,4.74,0.79,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.73,0.00,1.91,0.09,1800.00,0.04,0.01,0,343.83,1143.32,1800.00,4.75,0.80,1
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.56,0.03,1.98,0.12,1797.00,0.04,0.01,0,273.96,4754.22,1797.00,5.53,1.63,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.76,0.01,1.58,0.09,1800.00,0.04,0.01,0,311.18,3386.91,1800.00,5.25,1.37,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",1.11,0.14,3.04,0.26,1800.00,0.07,0.01,0,284.47,1515.45,1800.00,4.83,0.92,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",1.40,0.15,3.53,0.38,1800.00,0.08,0.01,0,311.75,916.61,1800.00,4.69,0.71,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.87,0.02,1.82,0.19,1800.00,0.04,0.01,0,4.42,494.63,1800.00,4.59,0.52,1
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.46,0.00,1.29,0.06,1800.00,0.03,0.01,0,16.36,3260.51,1800.00,5.22,1.35,1
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.32,0.00,0.93,0.03,1800.00,0.02,0.00,0,36.94,7097.66,1800.00,5.98,1.99,1
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.78,0.00,2.84,0.22,1800.00,0.06,0.01,0,322.32,1463.00,1800.00,4.82,0.90,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.82,0.01,2.09,0.13,1794.00,0.05,0.01,0,337.06,927.37,1794.00,4.70,0.72,1
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.41,0.00,1.20,0.05,1791.00,0.03,0.01,0,26.88,3274.24,1791.00,5.23,1.35,1
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.62,0.00,2.49,0.25,1800.00,0.06,0.01,0,0.25,4620.05,1800.00,5.50,1.60,1
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.75,0.00,2.38,0.13,1800.00,0.05,0.01,0,329.87,998.50,1800.00,4.71,0.74,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.58,0.07,1.64,0.10,1800.00,0.04,0.01,0,14.22,491.79,1800.00,4.59,0.52,1
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.42,0.03,1.37,0.05,1800.00,0.03,0.01,0,29.46,2194.14,1800.00,4.99,1.10,1
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.61,0.03,1.73,0.07,1800.00,0.04,0.01,0,28.47,780.80,1800.00,4.66,0.66,1
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.48,0.00,1.44,0.06,1800.00,0.03,0.01,0,15.34,1636.29,1800.00,4.86,0.95,1
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.49,0.02,1.30,0.05,1800.00,0.03,0.01,0,45.63,3306.15,1800.00,5.23,1.36,1
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",0.85,0.01,1.69,0.09,1774.00,0.04,0.01,0,109.35,1650.19,1774.00,4.87,0.96,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",1.26,0.14,2.66,0.31,1800.00,0.06,0.01,0,74.98,1627.80,1800.00,4.86,0.95,1
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",1.48,0.04,4.50,0.61,1800.00,0.10,0.02,0,118.80,1902.12,1800.00,4.92,1.03,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",1.99,0.07,4.42,0.73,1800.00,0.10,0.02,0,121.74,1219.17,1800.00,4.77,0.82,0
