startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.58,0.40,3.02,0.45,120.00,0.14,0.06,0,269.36,230.22,120.00,5.26,1.39,1
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",1.71,0.52,3.61,0.55,120.00,0.15,0.07,0,256.69,225.49,120.00,5.25,1.37,1
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",1.52,0.42,2.72,0.22,120.00,0.10,0.04,0,248.19,391.83,120.00,5.75,1.81,1
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",2.90,0.64,5.00,1.16,120.00,0.22,0.10,0,237.11,219.45,120.00,5.23,1.35,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",1.45,0.31,3.84,0.51,120.00,0.15,0.07,0,313.32,552.40,120.00,6.20,2.15,1
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",3.35,1.36,4.42,0.63,120.00,0.17,0.07,0,306.77,42.86,120.00,4.63,0.60,1
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",2.26,0.89,3.89,0.43,120.00,0.14,0.06,0,290.59,239.29,120.00,5.29,1.41,1
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",1.97,0.44,4.34,1.05,120.00,0.21,0.09,0,264.29,266.30,120.00,5.37,1.49,1
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",2.63,1.58,4.55,0.28,120.00,0.13,0.05,0,264.85,98.97,120.00,4.83,0.91,1
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",1.44,0.21,2.94,0.31,120.00,0.12,0.05,0,267.87,444.40,120.00,5.90,1.92,1
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",2.00,0.78,3.39,0.44,120.00,0.14,0.06,0,266.26,296.63,120.00,5.47,1.57,1
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",2.29,0.80,4.63,0.42,120.00,0.15,0.06,0,278.51,361.46,120.00,5.66,1.74,1
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.06,0.76,3.67,0.35,120.00,0.13,0.05,0,290.31,210.69,120.00,5.20,1.33,1
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",2.02,0.48,4.29,0.64,120.00,0.17,0.07,0,304.55,188.75,120.00,5.13,1.25,1
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",2.31,0.84,4.82,0.48,120.00,0.16,0.06,0,299.49,56.40,120.00,4.68,0.69,1
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",2.00,1.05,3.84,0.44,120.00,0.14,0.06,0,299.18,64.95,120.00,4.71,0.74,1
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",1.74,0.54,3.70,0.50,120.00,0.15,0.06,0,284.10,423.20,120.00,5.84,1.88,1
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",1.80,0.58,3.11,0.44,120.00,0.14,0.06,0,287.25,334.22,120.00,5.58,1.67,1
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",1.08,0.41,1.82,0.10,120.00,0.07,0.03,0,285.35,163.52,120.00,5.04,1.17,1
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",1.33,0.35,3.05,0.38,120.00,0.13,0.06,0,289.27,212.17,120.00,5.20,1.33,1
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",2.69,1.17,3.96,0.46,120.00,0.15,0.06,0,317.05,89.06,120.00,4.79,0.86,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",2.63,1.41,3.89,0.42,120.00,0.14,0.06,0,319.41,269.50,120.00,5.38,1.50,1
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",2.04,0.37,3.51,0.56,120.00,0.15,0.07,0,302.63,143.74,120.00,4.98,1.09,1
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",2.33,1.02,4.33,0.50,120.00,0.16,0.06,0,301.00,148.55,120.00,5.00,1.11,1
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",2.07,0.39,4.28,1.61,120.00,0.25,0.12,0,297.20,368.15,120.00,5.68,1.75,1
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",1.65,0.61,3.30,0.32,120.00,0.12,0.05,0,293.20,296.54,120.00,5.47,1.57,1
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",2.16,0.74,3.60,0.52,120.00,0.15,0.07,0,295.95,246.50,120.00,5.31,1.43,1
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",2.99,1.02,5.00,1.17,120.00,0.22,0.10,0,297.88,174.04,120.00,5.08,1.20,1
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",2.56,0.84,4.57,1.09,120.00,0.21,0.10,0,295.68,184.78,120.00,5.11,1.24,1
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",1.62,0.86,2.72,0.17,120.00,0.09,0.04,0,271.18,384.15,120.00,5.73,1.79,1
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",1.99,0.53,3.60,0.48,120.00,0.15,0.06,0,255.53,328.62,120.00,5.56,1.65,1
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",1.78,0.75,3.19,0.20,120.00,0.10,0.04,0,281.51,125.50,120.00,4.92,1.02,1
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",1.65,0.38,3.53,0.50,120.00,0.15,0.06,0,295.67,328.29,120.00,5.56,1.65,1
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",1.32,0.22,3.19,0.38,120.00,0.13,0.06,0,288.30,640.63,120.00,6.43,2.31,1
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",2.40,0.87,4.42,0.38,120.00,0.14,0.06,0,249.16,169.07,120.00,5.06,1.19,1
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",3.30,0.65,4.74,1.09,120.00,0.21,0.10,0,253.15,122.17,120.00,4.91,1.01,1
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",2.44,0.71,4.71,1.37,120.00,0.23,0.11,0,262.51,548.83,120.00,6.19,2.14,1
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",1.56,0.58,3.16,0.25,120.00,0.11,0.05,0,288.79,255.86,120.00,5.34,1.46,1
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",1.64,0.64,3.71,0.48,120.00,0.15,0.06,0,269.59,421.51,120.00,5.84,1.87,1
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",2.43,0.64,3.80,0.70,120.00,0.17,0.08,0,260.17,220.15,120.00,5.23,1.35,1
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",2.39,0.79,4.30,0.82,120.00,0.19,0.08,0,264.23,195.27,120.00,5.15,1.28,1
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",2.38,0.80,3.94,0.89,120.00,0.19,0.09,0,269.55,446.67,120.00,5.91,1.93,1
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",2.24,0.87,3.76,0.55,120.00,0.16,0.07,0,298.25,246.58,120.00,5.31,1.43,1
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",2.02,0.96,3.91,0.42,120.00,0.14,0.06,0,285.40,130.53,120.00,4.93,1.04,1
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",2.07,0.99,3.35,0.23,120.00,0.11,0.04,0,270.28,106.79,120.00,4.85,0.94,1
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",2.19,0.91,4.01,0.34,120.00,0.13,0.05,0,273.75,78.08,120.00,4.75,0.81,1
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",2.19,0.92,4.08,0.78,120.00,0.18,0.08,0,275.95,198.84,120.00,5.16,1.29,1
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",4.13,2.20,5.42,0.39,120.00,0.17,0.06,0,251.22,37.49,120.00,4.61,0.56,0
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",5.03,3.32,6.72,0.58,120.00,0.24,0.07,0,243.97,23.41,120.00,4.56,0.44,0
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",4.30,2.68,6.39,0.64,120.00,0.23,0.07,0,248.53,29.47,120.00,4.58,0.50,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",3.27,2.05,5.31,0.55,120.00,0.18,0.07,0,237.18,100.93,120.00,4.83,0.92,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",4.21,2.99,5.65,0.34,120.00,0.17,0.05,0,237.56,84.40,120.00,4.78,0.84,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",3.98,2.17,5.16,0.33,120.00,0.15,0.05,0,239.19,70.41,120.00,4.73,0.77,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",3.35,1.94,4.91,0.42,120.00,0.15,0.06,0,233.61,68.57,120.00,4.72,0.76,0
"2020-06-01T01:48:00Z","2020-06-01T01:50:00Z",3.46,1.71,5.92,1.28,120.00,0.25,0.10,0,231.14,269.72,120.00,5.38,1.50,0
"2020-06-01T01:50:00Z","2020-06-01T01:52:00Z",4.31,1.61,5.98,1.15,120.00,0.25,0.10,0,241.97,205.85,120.00,5.18,1.31,0
"2020-06-01T01:52:00Z","2020-06-01T01:54:00Z",2.58,0.92,4.37,0.71,120.00,0.18,0.08,0,270.18,137.86,120.00,4.96,1.07,1
"2020-06-01T01:54:00Z","2020-06-01T01:56:00Z",1.98,0.69,3.74,0.47,120.00,0.15,0.06,0,272.71,388.05,120.00,5.74,1.80,1
"2020-06-01T01:56:00Z","2020-06-01T01:58:00Z",2.95,1.07,4.87,0.94,120.00,0.20,0.09,0,266.84,344.88,120.00,5.61,1.70,1
"2020-06-01T01:58:00Z","2020-06-01T02:00:00Z",1.80,0.64,3.68,0.42,120.00,0.14,0.06,0,283.38,220.85,120.00,5.23,1.36,1
"2020-06-01T02:00:00Z","2020-06-01T02:02:00Z",2.31,0.57,4.10,0.93,120.00,0.19,0.09,0,256.87,494.63,120.00,6.04,2.03,1
"2020-06-01T02:02:00Z","2020-06-01T02:04:00Z",2.36,0.61,4.46,1.17,120.00,0.22,0.10,0,261.15,341.85,120.00,5.60,1.69,1
"2020-06-01T02:04:00Z","2020-06-01T02:06:00Z",1.89,0.64,4.19,0.39,120.00,0.14,0.06,0,281.69,358.97,120.00,5.65,1.73,1
"2020-06-01T02:06:00Z","2020-06-01T02:08:00Z",2.24,1.17,4.23,0.42,120.00,0.15,0.06,0,305.37,161.88,120.00,5.04,1.16,1
"2020-06-01T02:08:00Z","2020-06-01T02:10:00Z",2.26,0.85,3.94,0.54,120.00,0.16,0.07,0,309.29,294.13,120.00,5.46,1.57,1
"2020-06-01T02:10:00Z","2020-06-01T02:12:00Z",1.42,0.65,2.50,0.16,120.00,0.09,0.04,0,287.88,441.34,120.00,5.89,1.92,1
"2020-06-01T02:12:00Z","2020-06-01T02:14:00Z",1.48,0.61,2.35,0.20,120.00,0.09,0.04,0,270.18,421.03,120.00,5.83,1.87,1
"2020-06-01T02:14:00Z","2020-06-01T02:16:00Z",1.37,0.68,2.59,0.18,120.00,0.09,0.04,0,278.69,558.90,120.00,6.22,2.16,1
"2020-06-01T02:16:00Z","2020-06-01T02:18:00Z",1.23,0.19,3.27,0.34,120.00,0.13,0.05,0,277.91,427.98,120.00,5.85,1.89,1
"2020-06-01T02:18:00Z","2020-06-01T02:20:00Z",2.22,0.75,4.31,0.63,120.00,0.17,0.07,0,275.24,192.81,120.00,5.14,1.27,1
"2020-06-01T02:20:00Z","2020-06-01T02:22:00Z",2.09,0.38,3.94,0.94,120.00,0.19,0.09,0,275.33,231.88,120.00,5.27,1.39,1
"2020-06-01T02:22:00Z","2020-06-01T02:24:00Z",2.10,0.97,4.25,0.54,120.00,0.16,0.07,0,271.40,122.88,120.00,4.91,1.01,1
"2020-06-01T02:24:00Z","2020-06-01T02:26:00Z",2.31,1.13,3.96,0.51,120.00,0.15,0.07,0,276.37,226.25,120.00,5.25,1.37,1
"2020-06-01T02:26:00Z","2020-06-01T02:28:00Z",2.39,0.79,3.99,0.38,120.00,0.14,0.06,0,272.17,80.41,120.00,4.76,0.82,1
"2020-06-01T02:28:00Z","2020-06-01T02:30:00Z",1.47,0.70,3.22,0.22,120.00,0.11,0.04,0,294.52,234.18,120.00,5.27,1.40,1
"2020-06-01T02:30:00Z","2020-06-01T02:32:00Z",1.44,0.48,3.23,0.36,120.00,0.13,0.05,0,280.70,455.86,120.00,5.93,1.95,1
"2020-06-01T02:32:00Z","2020-06-01T02:34:00Z",1.17,0.28,2.52,0.21,120.00,0.10,0.04,0,284.15,638.98,120.00,6.43,2.31,1
"2020-06-01T02:34:00Z","2020-06-01T02:36:00Z",1.02,0.35,2.45,0.11,120.00,0.08,0.03,0,310.82,437.65,120.00,5.88,1.91,1
