startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.60,0.07,1.01,0.04,120.00,0.05,0.02,0,177.30,509.61,120.00,6.08,2.06,1
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.71,0.22,1.44,0.10,120.00,0.07,0.03,0,165.96,461.09,120.00,5.95,1.96,1
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",1.17,0.42,2.05,0.12,120.00,0.08,0.03,0,172.75,183.20,120.00,5.11,1.24,1
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.61,0.12,1.30,0.09,120.00,0.06,0.03,0,171.10,723.70,120.00,6.64,2.46,1
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.57,0.21,1.17,0.06,120.00,0.05,0.02,0,127.11,473.16,120.00,5.98,1.99,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.80,0.04,1.86,0.19,120.00,0.09,0.04,0,186.05,792.22,120.00,6.81,2.57,1
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",1.01,0.51,1.64,0.08,120.00,0.06,0.03,0,178.42,236.73,120.00,5.28,1.40,1
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.66,0.06,1.34,0.08,120.00,0.06,0.03,0,169.44,5721.06,120.00,14.52,6.90,1
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",1.66,0.78,2.43,0.13,120.00,0.08,0.03,0,62.32,191.81,120.00,5.14,1.26,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",1.41,0.72,2.26,0.07,120.00,0.07,0.02,0,82.53,189.55,120.00,5.13,1.26,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",1.09,0.27,1.86,0.14,119.00,0.08,0.03,0,121.64,277.01,119.00,5.41,1.53,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",1.42,0.26,2.21,0.30,116.00,0.11,0.05,0,74.14,496.08,116.00,6.09,2.07,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.12,1.60,3.09,0.11,120.00,0.09,0.03,0,41.59,46.66,120.00,4.64,0.62,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",2.05,1.30,3.07,0.07,120.00,0.08,0.02,0,36.00,72.39,120.00,4.73,0.78,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",1.98,1.16,3.05,0.25,120.00,0.11,0.05,0,38.21,130.51,120.00,4.93,1.04,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",1.68,1.07,2.50,0.13,120.00,0.08,0.03,0,29.38,129.82,120.00,4.93,1.04,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",1.71,1.08,2.56,0.10,120.00,0.08,0.03,0,20.76,126.31,120.00,4.92,1.03,0
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",1.71,0.89,2.63,0.17,120.00,0.09,0.04,0,25.54,101.03,120.00,4.83,0.92,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",1.98,1.44,2.47,0.08,120.00,0.07,0.03,0,32.47,61.35,120.00,4.70,0.72,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",1.06,0.47,1.73,0.07,120.00,0.06,0.02,0,6.76,267.24,120.00,5.38,1.49,0
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",1.85,1.14,2.80,0.17,120.00,0.09,0.04,0,2.28,115.60,120.00,4.88,0.98,0
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",2.72,1.61,3.84,0.31,120.00,0.13,0.05,0,355.38,120.36,120.00,4.90,1.00,0
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",2.04,1.05,3.65,0.50,120.00,0.15,0.06,0,357.90,770.51,120.00,6.76,2.53,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",1.76,0.75,3.16,0.32,120.00,0.12,0.05,0,335.21,96.61,120.00,4.82,0.90,0
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",1.40,0.47,3.04,0.38,120.00,0.13,0.06,0,292.50,959.79,120.00,7.21,2.83,0
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",1.37,0.70,2.11,0.10,120.00,0.07,0.03,0,240.65,466.81,120.00,5.96,1.97,0
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",2.00,1.35,3.01,0.17,120.00,0.10,0.04,0,226.35,34.15,120.00,4.60,0.53,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",2.65,1.11,4.07,0.82,120.00,0.18,0.08,0,222.01,57.06,120.00,4.68,0.69,0
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",3.06,1.67,4.21,0.35,120.00,0.14,0.05,0,216.46,69.66,120.00,4.72,0.76,1
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",3.71,1.25,5.06,0.75,120.00,0.19,0.08,0,218.64,67.80,120.00,4.72,0.75,1
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",3.44,2.48,4.22,0.14,120.00,0.11,0.03,0,224.76,43.99,120.00,4.63,0.61,0
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",2.33,0.68,4.61,1.01,120.00,0.21,0.09,0,212.67,263.63,120.00,5.37,1.48,1
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",2.14,0.97,4.30,0.43,120.00,0.15,0.06,0,197.72,303.40,120.00,5.49,1.59,1
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",2.42,0.83,4.01,0.40,120.00,0.14,0.06,0,181.71,118.49,120.00,4.89,0.99,1
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",3.80,2.22,5.26,0.45,120.00,0.17,0.06,0,183.80,55.24,120.00,4.67,0.68,1
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",3.82,2.80,4.69,0.19,120.00,0.12,0.04,0,188.94,38.43,120.00,4.61,0.57,1
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",2.66,0.74,4.83,0.56,120.00,0.17,0.07,0,197.57,126.03,120.00,4.92,1.02,1
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",3.25,0.84,6.22,2.40,120.00,0.33,0.14,0,210.93,98.47,120.00,4.83,0.91,1
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",2.15,0.84,3.76,0.49,120.00,0.15,0.06,0,200.74,155.39,120.00,5.02,1.14,1
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",2.58,1.34,4.27,0.51,120.00,0.16,0.07,0,195.03,144.54,120.00,4.98,1.10,1
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",2.70,1.22,5.09,0.61,120.00,0.18,0.07,0,195.63,128.37,120.00,4.93,1.03,1
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",3.07,0.64,4.83,0.74,120.00,0.18,0.08,0,186.99,145.65,120.00,4.99,1.10,1
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",3.34,0.97,5.29,0.51,120.00,0.17,0.06,0,186.52,86.91,120.00,4.79,0.85,1
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",3.06,1.28,4.79,0.35,120.00,0.14,0.05,0,187.42,40.55,120.00,4.62,0.58,1
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",2.45,0.98,3.64,0.32,120.00,0.13,0.05,0,189.67,113.09,120.00,4.88,0.97,1
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",2.36,0.58,4.04,0.37,120.00,0.14,0.06,0,188.02,109.42,120.00,4.86,0.95,1
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",2.59,1.45,3.99,0.24,120.00,0.12,0.04,0,184.31,48.71,120.00,4.65,0.64,1
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",1.99,0.55,3.64,0.41,120.00,0.14,0.06,0,191.31,245.85,120.00,5.31,1.43,1
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",1.76,0.78,2.78,0.21,120.00,0.10,0.04,0,207.70,265.79,120.00,5.37,1.49,1
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",1.38,0.62,2.95,0.22,120.00,0.11,0.04,0,210.04,310.04,120.00,5.51,1.61,1
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",1.25,0.39,2.56,0.38,120.00,0.12,0.06,0,208.88,488.12,120.00,6.02,2.02,1
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",1.86,0.60,3.18,0.42,120.00,0.14,0.06,0,212.11,128.47,120.00,4.93,1.03,1
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",1.29,0.73,2.09,0.07,120.00,0.07,0.02,0,237.16,375.46,120.00,5.70,1.77,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",0.69,0.04,1.62,0.21,120.00,0.09,0.04,0,257.73,1863.19,120.00,9.06,3.94,0
