startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.48,0.06,0.79,0.02,120.00,0.03,0.01,0,273.76,527.92,120.00,6.13,2.10,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.52,0.23,0.91,0.03,120.00,0.04,0.02,0,276.89,316.30,120.00,5.53,1.62,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.61,0.32,0.91,0.02,120.00,0.04,0.01,0,281.36,207.80,120.00,5.19,1.32,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.55,0.25,0.98,0.04,120.00,0.04,0.02,0,270.70,438.67,120.00,5.88,1.91,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.47,0.06,0.75,0.02,120.00,0.03,0.01,0,245.89,663.33,120.00,6.49,2.35,0
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.47,0.07,0.69,0.02,120.00,0.03,0.01,0,237.51,431.36,120.00,5.86,1.90,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.22,0.03,0.50,0.01,120.00,0.02,0.01,0,294.15,619.17,120.00,6.37,2.27,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.29,0.01,0.52,0.02,120.00,0.03,0.01,0,274.45,1742.16,120.00,8.84,3.81,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.26,0.01,0.45,0.01,120.00,0.03,0.01,0,356.42,3023.15,120.00,10.99,5.02,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.18,0.01,0.38,0.01,120.00,0.03,0.01,0,348.11,5493.20,120.00,14.25,6.77,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.46,0.28,0.76,0.01,120.00,0.03,0.01,0,24.64,143.48,120.00,4.98,1.09,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.49,0.24,0.76,0.01,120.00,0.03,0.01,0,24.10,96.33,120.00,4.82,0.90,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.41,0.05,0.82,0.03,120.00,0.04,0.02,0,354.99,828.56,120.00,6.90,2.63,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.25,0.03,0.55,0.01,120.00,0.03,0.01,0,328.07,686.57,120.00,6.55,2.39,0
