startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",3.79,2.17,6.46,0.85,120.00,0.25,0.08,0,58.09,35.52,120.00,4.60,0.54,1
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",5.35,2.47,8.54,3.16,120.00,0.44,0.16,0,51.49,89.08,120.00,4.79,0.86,1
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",5.32,3.27,7.58,1.07,120.00,0.31,0.09,0,48.96,21.77,120.00,4.55,0.43,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",6.20,2.23,8.84,1.77,120.00,0.39,0.12,0,46.99,27.39,120.00,4.57,0.48,0
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",4.76,2.08,7.94,1.71,120.00,0.35,0.12,0,53.04,51.07,120.00,4.66,0.65,1
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",5.49,2.49,8.06,1.06,120.00,0.33,0.09,0,49.05,22.94,120.00,4.56,0.44,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",6.34,3.71,9.73,1.36,120.00,0.41,0.11,0,39.86,67.07,120.00,4.72,0.75,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",7.35,5.51,9.28,0.69,120.00,0.37,0.08,0,32.93,17.21,120.00,4.54,0.38,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",6.25,4.12,8.51,0.93,120.00,0.34,0.09,0,40.95,58.09,120.00,4.68,0.70,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",6.05,4.49,7.96,0.57,120.00,0.29,0.07,0,41.30,40.19,120.00,4.62,0.58,0
