startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",1.66,0.47,3.02,0.47,120.00,0.14,0.06,0,62.45,703.58,120.00,6.59,2.42,1
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",1.56,0.58,3.54,0.40,120.00,0.14,0.06,0,83.59,862.92,120.00,6.98,2.68,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",1.86,0.59,5.64,1.02,120.00,0.23,0.09,0,83.46,883.00,120.00,7.03,2.71,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",1.92,0.07,4.49,0.86,120.00,0.19,0.08,0,44.43,1485.30,120.00,8.34,3.52,1
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",1.45,0.10,3.99,0.48,120.00,0.15,0.06,0,36.38,1352.01,120.00,8.07,3.36,1
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",1.21,0.11,3.36,0.55,120.00,0.15,0.07,0,46.45,1558.92,120.00,8.48,3.60,1
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",1.18,0.03,2.79,0.31,120.00,0.12,0.05,0,47.48,1474.42,120.00,8.32,3.51,1
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",1.77,0.43,3.69,0.43,120.00,0.14,0.06,0,72.35,648.63,120.00,6.45,2.32,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",1.61,0.04,3.53,0.59,120.00,0.16,0.07,0,74.55,1162.86,120.00,7.67,3.11,1
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",2.06,0.46,4.50,0.78,120.00,0.19,0.08,0,89.00,892.11,120.00,7.05,2.73,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",2.13,0.40,5.13,1.00,120.00,0.21,0.09,0,96.63,536.14,120.00,6.15,2.11,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",2.18,0.54,4.52,0.79,120.00,0.19,0.08,0,78.70,311.16,120.00,5.51,1.61,0
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",2.01,0.14,6.64,1.48,120.00,0.29,0.11,0,70.52,784.14,120.00,6.79,2.56,1
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",1.80,0.43,4.45,0.70,120.00,0.18,0.08,0,90.76,599.25,120.00,6.32,2.23,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",1.75,0.40,5.68,1.32,120.00,0.25,0.10,0,81.74,403.17,120.00,5.78,1.83,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",2.23,0.29,4.73,1.14,120.00,0.22,0.10,0,73.87,599.58,120.00,6.32,2.24,0
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",1.84,0.57,5.39,0.72,120.00,0.20,0.08,0,65.22,763.26,120.00,6.74,2.52,1
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",1.87,0.09,5.25,1.15,120.00,0.23,0.10,0,73.99,1089.28,120.00,7.50,3.01,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",2.07,0.51,5.30,0.92,120.00,0.21,0.09,0,73.00,1343.90,120.00,8.05,3.35,1
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",1.96,0.56,5.08,0.76,120.00,0.19,0.08,0,54.89,1544.87,120.00,8.46,3.59,1
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",1.82,0.31,3.97,0.65,120.00,0.17,0.07,0,56.43,946.27,120.00,7.18,2.81,1
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",1.43,0.01,4.30,0.79,120.00,0.18,0.08,0,48.23,2716.09,120.00,10.51,4.76,1
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",1.70,0.45,4.13,0.51,120.00,0.15,0.07,0,78.64,680.47,120.00,6.53,2.38,0
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",1.93,0.81,4.47,0.45,120.00,0.15,0.06,0,61.90,471.63,120.00,5.98,1.98,1
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",1.71,0.02,3.64,0.73,120.00,0.17,0.08,0,47.36,1139.67,120.00,7.62,3.08,1
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",1.87,0.43,4.56,0.73,120.00,0.18,0.08,0,57.04,922.74,120.00,7.12,2.77,1
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",2.19,0.85,5.20,0.71,120.00,0.19,0.08,0,72.36,504.63,120.00,6.07,2.05,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",1.49,0.25,3.90,0.63,120.00,0.16,0.07,0,45.08,1012.59,120.00,7.33,2.90,1
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",1.15,0.03,3.23,0.41,120.00,0.13,0.06,0,66.15,1694.05,120.00,8.74,3.76,1
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",1.65,0.30,4.00,0.73,120.00,0.18,0.08,0,52.70,1004.15,120.00,7.31,2.89,1
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",1.31,0.16,2.87,0.36,120.00,0.12,0.05,0,44.17,1839.84,120.00,9.02,3.92,1
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",1.90,0.43,3.81,0.49,120.00,0.15,0.06,0,49.80,931.38,120.00,7.14,2.79,1
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",2.57,0.48,6.22,1.51,120.00,0.28,0.11,0,79.93,733.92,120.00,6.67,2.47,0
