startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",2.27,0.06,6.38,1.09,1791.00,0.18,0.02,0,70.17,1082.32,1791.00,4.73,0.78,0
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",2.39,0.01,6.81,0.95,1800.00,0.20,0.02,0,65.72,863.96,1800.00,4.68,0.69,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",2.57,0.01,8.29,1.44,1800.00,0.28,0.03,0,58.82,967.90,1800.00,4.71,0.73,0
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",2.33,0.17,7.58,1.23,1800.00,0.25,0.03,0,70.76,816.83,1800.00,4.67,0.67,0
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",2.57,0.06,6.75,1.21,1800.00,0.20,0.03,0,58.05,738.42,1800.00,4.65,0.64,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",2.07,0.04,6.63,1.13,1800.00,0.19,0.03,0,96.50,4766.55,1800.00,5.53,1.63,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",1.95,0.01,8.86,1.26,1800.00,0.31,0.03,0,211.55,1210.53,1800.00,4.76,0.82,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",1.27,0.08,4.24,0.43,1800.00,0.09,0.02,0,221.49,898.30,1800.00,4.69,0.71,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",1.39,0.19,3.68,0.26,1791.00,0.08,0.01,0,233.57,435.12,1791.00,4.58,0.49,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",1.67,0.01,5.36,1.11,1800.00,0.13,0.02,0,223.40,1610.24,1800.00,4.86,0.95,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",1.39,0.08,4.48,0.58,1800.00,0.10,0.02,0,238.01,904.88,1800.00,4.69,0.71,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",0.28,0.00,1.29,0.03,1800.00,0.03,0.00,0,341.34,5940.74,1800.00,5.76,1.82,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",0.41,0.00,1.03,0.04,1800.00,0.03,0.00,0,296.79,3835.80,1800.00,5.34,1.46,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",0.42,0.00,1.25,0.05,1800.00,0.03,0.01,0,279.54,3707.63,1800.00,5.31,1.44,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",0.49,0.00,1.40,0.05,1800.00,0.03,0.01,0,279.74,4857.89,1800.00,5.55,1.64,0
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.52,0.00,1.67,0.08,1800.00,0.04,0.01,0,275.90,3224.10,1800.00,5.21,1.34,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.47,0.02,0.91,0.02,1800.00,0.02,0.00,0,279.24,2221.60,1800.00,4.99,1.11,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.47,0.02,1.16,0.03,1790.00,0.03,0.00,0,266.20,1081.31,1790.00,4.73,0.78,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",0.37,0.01,1.07,0.03,1800.00,0.03,0.00,0,268.60,674.90,1800.00,4.64,0.61,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",0.45,0.02,1.20,0.03,1800.00,0.03,0.00,0,262.22,638.72,1800.00,4.63,0.60,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",0.45,0.01,1.04,0.04,1800.00,0.03,0.00,0,273.49,1115.86,1800.00,4.74,0.79,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",0.41,0.02,1.02,0.03,1800.00,0.02,0.00,0,268.61,757.55,1800.00,4.66,0.65,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",0.43,0.04,1.08,0.03,1800.00,0.03,0.00,0,263.91,440.70,1800.00,4.58,0.49,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",0.47,0.01,1.31,0.04,1800.00,0.03,0.00,0,264.82,648.29,1800.00,4.63,0.60,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",0.38,0.06,1.03,0.03,1800.00,0.02,0.00,0,257.32,3287.64,1800.00,5.23,1.35,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",0.29,0.01,0.76,0.02,1789.00,0.02,0.00,0,274.61,3859.85,1789.00,5.35,1.47,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",0.32,0.00,0.81,0.02,1800.00,0.02,0.00,0,261.88,3683.22,1800.00,5.31,1.43,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",0.20,0.00,0.67,0.01,1800.00,0.02,0.00,0,76.77,5475.53,1800.00,5.67,1.74,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",0.24,0.00,0.79,0.02,1800.00,0.02,0.00,0,259.44,5751.24,1800.00,5.73,1.79,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",0.32,0.00,0.94,0.03,1800.00,0.02,0.00,0,71.30,3158.39,1800.00,5.20,1.32,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.47,0.01,1.33,0.06,1800.00,0.03,0.01,0,205.06,4106.44,1800.00,5.40,1.51,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",0.51,0.00,1.27,0.05,1800.00,0.03,0.01,0,236.33,2030.76,1800.00,4.95,1.06,0
