startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:30:00Z",3.88,0.59,8.34,2.03,1800.00,0.29,0.03,0,59.85,796.81,1800.00,4.67,0.67,1
"2020-06-01T00:30:00Z","2020-06-01T01:00:00Z",4.83,1.95,10.49,2.72,1800.00,0.40,0.04,0,64.46,144.08,1800.00,4.51,0.28,0
"2020-06-01T01:00:00Z","2020-06-01T01:30:00Z",5.96,1.94,11.65,2.93,1800.00,0.47,0.04,0,44.84,184.34,1800.00,4.52,0.32,1
"2020-06-01T01:30:00Z","2020-06-01T02:00:00Z",7.01,1.27,13.53,4.36,1800.00,0.60,0.05,0,42.16,105.79,1800.00,4.50,0.24,1
"2020-06-01T02:00:00Z","2020-06-01T02:30:00Z",8.64,3.43,15.11,3.22,1800.00,0.71,0.04,0,52.07,86.38,1800.00,4.49,0.22,0
"2020-06-01T02:30:00Z","2020-06-01T03:00:00Z",6.50,2.39,12.33,3.38,1800.00,0.51,0.04,0,55.11,113.31,1800.00,4.50,0.25,0
"2020-06-01T03:00:00Z","2020-06-01T03:30:00Z",5.44,1.73,8.92,1.26,1800.00,0.32,0.03,0,60.82,152.21,1800.00,4.51,0.29,0
"2020-06-01T03:30:00Z","2020-06-01T04:00:00Z",3.66,1.73,6.35,0.58,1792.00,0.18,0.02,0,79.53,59.36,1792.00,4.49,0.18,0
"2020-06-01T04:00:00Z","2020-06-01T04:30:00Z",2.94,1.46,5.51,0.39,1800.00,0.13,0.01,0,96.54,231.27,1800.00,4.53,0.36,0
"2020-06-01T04:30:00Z","2020-06-01T05:00:00Z",2.31,0.96,4.04,0.25,1800.00,0.08,0.01,0,82.32,408.50,1800.00,4.57,0.48,0
"2020-06-01T05:00:00Z","2020-06-01T05:30:00Z",2.00,0.37,3.77,0.30,1800.00,0.08,0.01,0,66.79,388.10,1800.00,4.57,0.46,0
"2020-06-01T05:30:00Z","2020-06-01T06:00:00Z",2.32,1.17,3.84,0.22,1800.00,0.08,0.01,0,96.25,197.06,1800.00,4.52,0.33,0
"2020-06-01T06:00:00Z","2020-06-01T06:30:00Z",2.21,0.83,3.94,0.29,1800.00,0.08,0.01,0,78.24,120.45,1800.00,4.50,0.26,0
"2020-06-01T06:30:00Z","2020-06-01T07:00:00Z",1.72,0.76,3.26,0.16,1800.00,0.07,0.01,0,75.08,206.24,1800.00,4.52,0.34,0
"2020-06-01T07:00:00Z","2020-06-01T07:30:00Z",1.17,0.30,2.72,0.16,1800.00,0.06,0.01,0,86.40,3522.67,1800.00,5.28,1.40,1
"2020-06-01T07:30:00Z","2020-06-01T08:00:00Z",0.74,0.01,2.04,0.20,1800.00,0.05,0.01,0,320.41,8222.86,1800.00,6.19,2.14,0
"2020-06-01T08:00:00Z","2020-06-01T08:30:00Z",0.94,0.06,2.00,0.14,1791.00,0.05,0.01,0,295.23,1912.90,1791.00,4.93,1.03,0
"2020-06-01T08:30:00Z","2020-06-01T09:00:00Z",0.91,0.00,1.88,0.19,1800.00,0.04,0.01,0,249.75,1376.04,1800.00,4.80,0.87,0
"2020-06-01T09:00:00Z","2020-06-01T09:30:00Z",1.53,0.69,2.56,0.10,1800.00,0.05,0.01,0,226.09,389.89,1800.00,4.57,0.47,0
"2020-06-01T09:30:00Z","2020-06-01T10:00:00Z",1.66,0.90,2.41,0.07,1800.00,0.05,0.01,0,214.91,43.27,1800.00,4.48,0.16,0
"2020-06-01T10:00:00Z","2020-06-01T10:30:00Z",1.77,0.90,2.62,0.08,1800.00,0.06,0.01,0,210.71,67.85,1800.00,4.49,0.19,0
"2020-06-01T10:30:00Z","2020-06-01T11:00:00Z",1.98,0.80,3.06,0.10,1800.00,0.06,0.01,0,225.58,84.04,1800.00,4.49,0.22,0
"2020-06-01T11:00:00Z","2020-06-01T11:30:00Z",1.67,0.64,2.47,0.09,1800.00,0.05,0.01,0,220.27,88.72,1800.00,4.49,0.22,0
"2020-06-01T11:30:00Z","2020-06-01T12:00:00Z",1.98,1.31,2.56,0.05,1800.00,0.05,0.01,0,217.44,51.64,1800.00,4.48,0.17,0
"2020-06-01T12:00:00Z","2020-06-01T12:30:00Z",2.15,1.23,2.98,0.08,1790.00,0.06,0.01,0,225.97,91.78,1790.00,4.50,0.23,0
"2020-06-01T12:30:00Z","2020-06-01T13:00:00Z",2.09,1.15,3.28,0.10,1800.00,0.07,0.01,0,224.62,241.36,1800.00,4.53,0.37,0
"2020-06-01T13:00:00Z","2020-06-01T13:30:00Z",2.03,1.04,3.08,0.14,1800.00,0.07,0.01,0,244.63,189.24,1800.00,4.52,0.32,0
"2020-06-01T13:30:00Z","2020-06-01T14:00:00Z",1.45,0.76,2.52,0.07,1800.00,0.05,0.01,0,222.49,155.82,1800.00,4.51,0.29,0
"2020-06-01T14:00:00Z","2020-06-01T14:30:00Z",1.21,0.71,1.93,0.04,1800.00,0.04,0.00,0,246.27,96.36,1800.00,4.50,0.23,0
"2020-06-01T14:30:00Z","2020-06-01T15:00:00Z",1.12,0.36,1.99,0.07,1800.00,0.04,0.01,0,244.39,847.53,1800.00,4.68,0.69,0
"2020-06-01T15:00:00Z","2020-06-01T15:30:00Z",0.58,0.00,1.44,0.09,1800.00,0.03,0.01,0,125.42,2384.33,1800.00,5.03,1.15,0
"2020-06-01T15:30:00Z","2020-06-01T16:00:00Z",1.39,0.05,2.82,0.31,1800.00,0.06,0.01,0,82.63,528.27,1800.00,4.60,0.54,0
"2020-06-01T16:00:00Z","2020-06-01T16:30:00Z",1.15,0.01,3.21,0.42,1800.00,0.07,0.02,0,235.53,6704.06,1800.00,5.91,1.93,0
"2020-06-01T16:30:00Z","2020-06-01T17:00:00Z",2.12,0.40,4.39,0.44,1794.00,0.09,0.02,0,254.30,381.13,1794.00,4.57,0.46,0
"2020-06-01T17:00:00Z","2020-06-01T17:30:00Z",2.51,0.53,4.90,0.58,1800.00,0.10,0.02,0,271.10,608.96,1800.00,4.62,0.58,0
"2020-06-01T17:30:00Z","2020-06-01T18:00:00Z",2.44,0.46,5.16,0.87,1800.00,0.12,0.02,0,259.64,225.60,1800.00,4.53,0.35,0
"2020-06-01T18:00:00Z","2020-06-01T18:30:00Z",2.89,1.11,5.06,0.46,1800.00,0.11,0.02,0,278.38,193.59,1800.00,4.52,0.33,0
"2020-06-01T18:30:00Z","2020-06-01T19:00:00Z",2.84,0.50,5.56,0.45,1800.00,0.13,0.02,0,278.33,350.73,1800.00,4.56,0.44,0
"2020-06-01T19:00:00Z","2020-06-01T19:30:00Z",2.93,0.80,5.11,0.58,1800.00,0.11,0.02,0,277.63,448.34,1800.00,4.58,0.50,0
