site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.23786298896624342,0.22993286186738196,0.09586257140389005,0.577975726488101,0.10377967295679577,0.647743942358637,0.5581121443692272,0.0690555758145355,1.1717029679843207,0.07202901617977035,0.08921859070761363,0.013848626855708736,0.004425110272436697,0.10306721756332239,0.05809369796079181,0.014235472850466563,0.004580764906088622,0.07232917081125842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.34479357811593636,0.41391249267429703,0.061885432831728836,0.5339374930443539,0.1826063614362701,0.7073841255089334,0.5951919155797883,0.08822237828544202,0.8196445853889789,0.17357944662523284,0.1242301751485632,0.009931837002551893,0.03967138876654844,0.13416201215111517,0.12070054035106899,0.0103816342556312,0.03778817227032793,0.13108217460670013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.22163816104787362,0.25382185969068893,0.14704541335201365,0.41937574808301986,0.05315583228044906,0.595195589000487,0.44471542751552356,0.15899361720814567,0.7801382917862159,0.0774656140309257,0.03959336717055398,0.02098279469057881,0.002268797919835078,0.060576161861132745,0.05544599813387406,0.014124624015980998,0.007855592685839003,0.06957062214985504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.3125876294841983,0.2430374478634036,0.10909357648409221,0.36874747135916935,0.04676049917512917,0.6224519191232876,0.7187537716166015,0.11401148167246646,0.6456683859881337,0.05007544310157164,0.038936883508259044,0.03338659917851002,0.00038044533668292983,0.07232348268676908,0.04182209586829655,0.034865403554551866,0.000866460547307498,0.07668749942284835,0.1897679264730518,0.157755673365148,0.05655949171604749,0.1753381160942609,0.08684338316351879,0.8182428556435412,0.6729336260416957,0.10887075042039783,0.6223971173374677,0.27110469717002866,0.06230724772441305,0.021283592886762594,0.00868008555926922,0.08359084061117569,0.1404087201215572,0.009486742833953125,0.09648980544446148,0.14989546295551018,0.1233380819578694,0.14378459310736094,0.044538375718902685,0.09160654162389807,0.06108718119041501,0.6250929922897359,0.4940025791866227,0.11224068821248323,0.42992205880758494,0.12734591684525562,0.05173173832514185,0.03398495970285304,0.001488923407214684,0.08571669802799493,0.09797788754739876,0.018955792335230932,0.01428805855029085,0.11693367988262966
CLBJ,0.19156286906803865,0.27961987595606946,0.04861120085679866,0.32705824483258505,0.12845228481552304,0.27729606001481905,0.4016133368726783,0.03602282016845756,0.4144617090868843,0.10535612317202354,0.09238876563740772,0.008824010205688074,0.019086199216429865,0.10121277584309592,0.07476731936885943,0.008802500471806337,0.019035520067497303,0.08356981984066585,0.1260865627704206,0.1285403242868385,0.03730015815889313,0.16333191134862007,0.06732349339290539,0.3890401091292005,0.3642118558197285,0.024145142086430586,0.43068362647050085,0.06874499268981199,0.05627105646677508,0.03038746273642167,0.0018853080042572801,0.08665851920319685,0.052335206780736214,0.023855786402536442,0.008422877018775532,0.07619099318327271,0.07271414457540062,0.11247372380502338,0.04417089156564916,0.11238136058894063,0.04949878622221991,0.34312597460745964,0.29124004990550234,0.030051660253065424,0.33583982382505967,0.06411085549548659,0.038291371894081216,0.030477685178496926,0.00033989963421076567,0.06876905707257806,0.05346565886723845,0.03457320255215856,0.0004870744540365709,0.08803886141939697
CPER,0.04686833671217032,0.08162332479553304,0.03499346615462632,0.09253090490254638,0.130785155311613,0.1272092494391819,0.22696898409142255,0.03301347187783089,0.3215417828488593,0.3934189983826615,0.10192752616383019,0.012704580788761174,0.010720558878542752,0.11463210695259145,0.2804261387788979,0.008310211975131059,0.08274990458099535,0.2887363507540292,0.07716084275986275,0.1040303414099875,0.03689330083890911,0.10806891123058142,0.10576341457422449,0.17139170112562227,0.2211635851067873,0.03277004352765999,0.3896142537295372,0.15825416908829604,0.07526228454630918,0.010527864518596334,0.01621297341530306,0.08579014906490545,0.08083096385425646,0.01101113796253135,0.05418146938633663,0.09184210181678773,0.09237349837554959,0.11825748069703311,0.03807254740408561,0.11818570540920331,0.051078061839969366,0.1765102969224616,0.22097083564821177,0.031559395772220056,0.38930990516812636,0.09206862905202805,0.040446108857937625,0.020688164999196335,0.0010752565856132657,0.061134273857133936,0.07136947022885227,0.008332954687007378,0.008639203159538223,0.07970242491585958
DCFS,0.037376651962245475,0.03918139131106316,0.020212592058104006,0.0824909690191249,0.03581369932743116,0.20100417967509854,0.36064152202313515,0.03797684034057568,0.39751551765741744,0.04726057000008805,0.02942337396210909,0.03504380810081788,0.000280287006750656,0.06446718206292693,0.04088154928444016,0.04650099548401834,0.00047446859285365974,0.08738254476845841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.19893668629442984,0.20600739855559017,0.09188647772101052,0.31591130134486634,0.03313919612812046,0.4750929788412944,0.5692838467249829,0.12342215933470964,0.6068396965364818,0.05043374958759905,0.026315961594334455,0.029639318741779188,0.00037846412137133704,0.055955280336113675,0.04266568985710911,0.03732314307816618,0.00048163132849744767,0.07998883293527535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.2405801219962607,0.29169314132908736,0.10037252335160653,0.5009137253672956,0.135908191145663,0.5035858933643821,0.5117589310449476,0.10163280517632424,0.85128958684721,0.1504692310402638,0.09892722920774424,0.0066606839919304715,0.022982420029076026,0.10558791319967459,0.11393063275894451,0.010107719216514426,0.023519483575887637,0.12403835197545898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSNY,0.15110059647490343,0.13173083706598274,0.038469782408696716,0.2863106263251687,0.039557449891974454,0.3188896666088451,0.42910837796394463,0.031249595232677247,0.5366375862849356,0.04441086118978235,0.031955886512147924,0.031501477726396915,0.0005357519840727834,0.06345736423854487,0.03636612909666217,0.027119879481497647,0.0009101943045717793,0.06348600857815984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
