site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.23440618063516153,0.22551700740004493,0.09332831684260767,0.5778933129891846,0.10480482012650896,0.6520110035761006,0.5573506265303083,0.0662939647651253,1.1612742908005844,0.07238927555555533,0.08951866632368692,0.013509933617658818,0.005125031287987612,0.10302859994134564,0.058069458829706905,0.01387289501451542,0.0049089905196976055,0.07194235384422233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.34217911143409224,0.407913236488445,0.06305709175360519,0.538367781654704,0.18091333730004455,0.7038920563324376,0.5889369181406772,0.08898609362706679,0.8298572285339012,0.1680342670478243,0.12518179501538423,0.01022793021975945,0.03724136083448119,0.13540972523514347,0.1184502350023367,0.01131371453829018,0.034957951142677385,0.12976394954062684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.22282591353683265,0.25300151528764636,0.14713095566847562,0.42183616488061804,0.05336835732847304,0.5943395138704007,0.44314022658942165,0.15694822403942046,0.7829754370329407,0.07717952224977052,0.03957060335959203,0.020857228308168576,0.002564573879890086,0.06042783166776061,0.055329071856517156,0.014707825297176558,0.007535889377943764,0.07003689715369377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.3123398130912816,0.24560185656214265,0.1108135876751694,0.36713992059999734,0.04701937363993604,0.6223433635553528,0.7230020057686474,0.1153372783466988,0.6315725805920104,0.050096666337069974,0.039346200565701914,0.03344696034386634,0.0003300218050271217,0.07279316090956824,0.04197050656030125,0.03509757442132277,0.0008221114780294414,0.0770680809816241,0.19015337177915795,0.1552806217021951,0.0552101507953573,0.17468411088809851,0.08715901195527749,0.8182719518426501,0.6736218748207531,0.10823671695312395,0.6300161811993459,0.26680138774224416,0.06287574173131633,0.02174472104286793,0.008623964914579467,0.08462046277418418,0.13887829018244832,0.009386969491910162,0.0941439221331422,0.1482652596743583,0.12309733220853274,0.14248601109520026,0.04467248269246243,0.0913001841690556,0.06350105096281958,0.6259479601058138,0.4951989621752714,0.11117070104876921,0.4304945242110289,0.12739168400284323,0.05399678346329096,0.034756176574283204,0.0014937191861418067,0.08875296003757417,0.0983840722369171,0.01907573764571982,0.013786592023320896,0.11745980988263681
CLBJ,0.18855057422109156,0.2788192508473894,0.04886911036182639,0.32146097804368806,0.12633071658230896,0.2792697821924685,0.41620403525535987,0.03696576037001497,0.4203294411026041,0.1042816060617162,0.09175986628562066,0.00827503592038916,0.018287501270002126,0.10003490220600994,0.07451025028421801,0.008755220269198196,0.018802527170664968,0.08326547055341632,0.12347124630643762,0.1294478188676574,0.03797772283848349,0.16320242637998178,0.06777718429990211,0.3871054975666487,0.3651767623243697,0.023065319044300852,0.43214804143026875,0.0697295586846261,0.05671738784530862,0.029699423392509014,0.0019005411259325306,0.08641681123781754,0.05284350106917837,0.024279546629043035,0.008817326042477525,0.07712304769822144,0.07319241378016633,0.11239757242639474,0.043911817737227396,0.11232262369248462,0.04982685995096574,0.3411504201904329,0.2889105339787519,0.02959732601467217,0.3337136053519861,0.06313467568689772,0.03852193978553594,0.030527021921644037,0.00033925618344976863,0.06904896170717993,0.052544426242640094,0.03500570020976013,0.0004634163965704538,0.0875501264524002
CPER,0.047760384992814056,0.0822539121696277,0.0339230755103473,0.09300944177755233,0.13093943780951103,0.12373276775190409,0.22159708686668642,0.03296403420628208,0.32019090701539815,0.38971708297442315,0.10234508106021774,0.012112219238619168,0.010438331803991188,0.11445730029883693,0.2793438295889463,0.008441563597836904,0.08039531148181697,0.2877853931867833,0.07899062192917236,0.10623774135496358,0.03599004705448249,0.10578975180888464,0.11018618525147118,0.17146170785811785,0.22163073473096875,0.03306487111942661,0.38441011242854434,0.16000270363430252,0.0779172586168339,0.01031471144064167,0.017366748445103906,0.08823197005747568,0.08166452629642848,0.011357024225675296,0.0546739482589084,0.09302155052210387,0.09344430866779392,0.11970676188701053,0.037721275304396826,0.12262089892774168,0.05011192177125549,0.17509852505638374,0.22390421833180602,0.03268257723414116,0.39282708357945056,0.08992236316613678,0.039529789596797156,0.02114792839279814,0.000993539526810191,0.06067771798959528,0.06980023432931992,0.008625116898127278,0.008164749894736768,0.07842535122744715
DCFS,0.037644226490181024,0.03980998594931695,0.020137440563298074,0.08292784362484643,0.03691728025631822,0.20066363739611492,0.3613502610985823,0.03750137828110461,0.396810208426458,0.04724579714367799,0.03047977208100052,0.03531389056692685,0.00029065398726808183,0.06579366264792742,0.040735442657092336,0.04647452394746517,0.0004685265143203068,0.08720996660455747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.19405530226774217,0.205754980712644,0.08997930489339438,0.30809146976971535,0.03365462038066036,0.468949508419387,0.5663751701112198,0.11803435610397531,0.5991586819108229,0.050908584820390734,0.02678248720454993,0.029752553613799606,0.00039920199822874805,0.05653504081834957,0.04329915695167181,0.03696138645601783,0.0004930089985077087,0.08026054340768968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.2458105644751258,0.2954740903869386,0.09952650846615722,0.5109455957965099,0.1385105188099858,0.5075639476823343,0.5160931684017042,0.10038840052355914,0.8701191550960886,0.15136968148437735,0.09977257999797651,0.006174511503511256,0.024377629890104727,0.1059470915014878,0.11329502759593711,0.009405261867764112,0.024900880059807517,0.12270028946370123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
