site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.23569035850778475,0.2319496700107984,0.09371455772541314,0.578465286021753,0.10340231691467142,0.6502301936964928,0.5659704047395526,0.06847305266934894,1.1687930516593035,0.07194028375697423,0.08871801048356798,0.014149659487243428,0.004599951510461108,0.10286766997081136,0.05791612887337169,0.015006934027512549,0.004449037643916486,0.07292306290088425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.34983187348477507,0.4131797499553126,0.06298550709683003,0.5374645493856914,0.1790543723118075,0.7115371927824203,0.5917900788148109,0.08807967987482815,0.830093499805949,0.168152790612457,0.12267709960281063,0.010154814501231844,0.03786575059349676,0.13283191410404227,0.11764739276555246,0.011046528572571579,0.03570474104733648,0.12869392133812405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.2237036908360884,0.25356238654104873,0.14476701960936333,0.4211210278661948,0.05575150377395506,0.5950972199191333,0.44168208165657746,0.15762568161773144,0.7839669755489593,0.07886017606758056,0.04134656136003723,0.020079841292846314,0.002736205208383344,0.06142640265288358,0.05679986169004468,0.013954441759500998,0.0075943190738450685,0.07075430344954567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.31275094983981133,0.2439541153464164,0.11023054922980828,0.3688494488962921,0.04622746735710273,0.6204990816392673,0.7202386522162542,0.11547800263972391,0.6375304890659488,0.051335158458638785,0.038422975699349986,0.03245488236248649,0.0003533925708940737,0.07087785806183652,0.04297169489058373,0.03398614525721762,0.000909945450288298,0.07695784014780142,0.19120788036783504,0.15653789354555414,0.05608927507722075,0.1749107029807465,0.08500478061960581,0.8190858476344526,0.6694247532155458,0.1098235274667743,0.626506298270702,0.26200518657237365,0.06155935153134886,0.022056002305528608,0.008142733088115214,0.0836153538368774,0.13707227666459568,0.0096711729990817,0.09121039346763046,0.14674344966367725,0.12254867072605338,0.1441047145503083,0.04359738514118019,0.08972375341492572,0.060350940536033876,0.636939735708793,0.4925359449710211,0.1136007284468255,0.4299605470463937,0.12662605217478487,0.05086602161788391,0.0346108648629228,0.0014894185731792386,0.0854768864808067,0.09683202710418361,0.018737989237263795,0.014222544318746814,0.1155700163414474
CLBJ,0.1875161439786612,0.27728508470316754,0.05054570196856171,0.3193790394847434,0.1270840441398987,0.2811308338342255,0.4097244787981588,0.03714026462681507,0.41619134316797785,0.10484298680058256,0.09225071165284625,0.008373507337657732,0.01834748138775964,0.10062421899050394,0.0750642548787786,0.008389224854517197,0.018581379177211563,0.0834534797332957,0.12428396827715942,0.1288097597551222,0.03708045844800583,0.1627454296209305,0.06705049594878142,0.38810079539704534,0.3655966258676278,0.023338802530023742,0.42673038823184956,0.06909852773158198,0.05617783934846558,0.02972180582751635,0.0018114669704446184,0.08589964517598202,0.052645685943727476,0.024298590762582086,0.00841713222838142,0.07694427670630959,0.07175717734006065,0.11239522056889284,0.043599780601907855,0.1100767960241091,0.049279092369976386,0.3417656621882435,0.29057148374770936,0.029829444577411733,0.32981519855354563,0.06431071917160641,0.03804973857306958,0.030784825263089254,0.0003406328895584223,0.06883456383615875,0.0535465933378709,0.0346904392929811,0.00047912219670400986,0.08823703263085202
CPER,0.04655073735819971,0.0808804810632846,0.034223518461720503,0.09508000615619278,0.13014265520927654,0.12419900136883107,0.22171014340799688,0.03404343575945678,0.3260069337934883,0.38819031982500635,0.10115480298417479,0.011864967355739699,0.010786319381684643,0.11301977033991445,0.2769668463494453,0.008366753208070486,0.08128668669407262,0.2853335995575156,0.07994351734694477,0.10761557101148168,0.036668899409400976,0.1076086275905919,0.10966324216485654,0.16910509374319185,0.2190759410500912,0.03331443882320146,0.38225129328699897,0.15876164973637497,0.07707931192449168,0.010391844930183743,0.017797203538941035,0.08747115685467544,0.08126621316433208,0.011289968448206109,0.05409661186764597,0.09255618161253826,0.0940156286706089,0.11982930545450915,0.03653359422838599,0.12109553066838369,0.0524411254446361,0.17587715706011614,0.22022292127899049,0.03179222311718599,0.3989207175012407,0.0927249672436752,0.04146526703057831,0.020531983987108926,0.0010939264646451677,0.061997251017687244,0.0720410872551614,0.008881909462691566,0.008727143752498265,0.080922996717853
DCFS,0.037106621928828964,0.03980307464710708,0.01991022616103223,0.08136124616542052,0.036543719588332184,0.20155257155126413,0.36411819205155327,0.0375799372174008,0.40254378339374025,0.04832566447534952,0.030245939172855247,0.03551131621814191,0.0002847892481316607,0.06575725539099711,0.04169610079320269,0.04646134626345747,0.00048376801088314674,0.08815744705666008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.19649932715726476,0.20592159870666482,0.09332930598490627,0.3109516653028235,0.03351362958352723,0.47033623511880235,0.5656008659622319,0.12381130538598854,0.5921689242521836,0.050983735301862156,0.026711164989104506,0.03011952626257307,0.0003434981184254016,0.05683069125167762,0.0434515140555751,0.03735360678224709,0.0004909131336285732,0.08080512083782218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.23973622148514928,0.2914381765147414,0.09911384550142995,0.5033110270334601,0.13359573268850344,0.5024760814670413,0.5067693170661719,0.10119546533528367,0.8597378078843352,0.15035807595649997,0.09700606722585968,0.006335209383867939,0.02258391650943735,0.10334127660972747,0.11407299558597611,0.010039769769649222,0.023375795821702367,0.12411276535562529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
